Diagnosis	Sample	cd8_subcluster	.n
Colitis	C1	s1	71
Colitis	C1	s2	200
Colitis	C1	s3	127
Colitis	C1	s4	1315
Colitis	C1	s5	170
Colitis	C1	s6	154
Colitis	C1	s7	39
Colitis	C1	s8	8
Colitis	C1	s9	15
Colitis	C2	s1	70
Colitis	C2	s2	73
Colitis	C2	s3	271
Colitis	C2	s4	1315
Colitis	C2	s5	367
Colitis	C2	s6	259
Colitis	C2	s7	42
Colitis	C2	s8	22
Colitis	C2	s9	7
Colitis	C3	s1	187
Colitis	C3	s2	346
Colitis	C3	s3	274
Colitis	C3	s4	151
Colitis	C3	s5	222
Colitis	C3	s6	277
Colitis	C3	s7	1024
Colitis	C3	s8	5
Colitis	C3	s9	33
Colitis	C4	s1	124
Colitis	C4	s2	310
Colitis	C4	s3	276
Colitis	C4	s4	65
Colitis	C4	s5	192
Colitis	C4	s6	138
Colitis	C4	s7	17
Colitis	C4	s8	10
Colitis	C4	s9	23
Colitis	C5	s1	126
Colitis	C5	s2	48
Colitis	C5	s3	251
Colitis	C5	s4	1861
Colitis	C5	s5	142
Colitis	C5	s6	120
Colitis	C5	s7	33
Colitis	C5	s8	49
Colitis	C5	s9	17
Colitis	C6	s1	345
Colitis	C6	s2	85
Colitis	C6	s3	483
Colitis	C6	s4	33
Colitis	C6	s5	123
Colitis	C6	s6	114
Colitis	C6	s7	9
Colitis	C6	s8	31
Colitis	C6	s9	85
Colitis	C7	s1	361
Colitis	C7	s2	108
Colitis	C7	s3	271
Colitis	C7	s4	96
Colitis	C7	s5	147
Colitis	C7	s6	173
Colitis	C7	s7	48
Colitis	C7	s8	27
Colitis	C7	s9	37
Colitis	C8	s1	37
Colitis	C8	s2	11
Colitis	C8	s3	184
Colitis	C8	s4	175
Colitis	C8	s5	253
Colitis	C8	s6	185
Colitis	C8	s7	121
Colitis	C8	s8	4
Colitis	C8	s9	9
Control	CT1	s1	381
Control	CT1	s2	823
Control	CT1	s3	183
Control	CT1	s4	10
Control	CT1	s5	15
Control	CT1	s6	15
Control	CT1	s7	1
Control	CT1	s8	49
Control	CT1	s9	39
Control	CT2	s1	286
Control	CT2	s2	211
Control	CT2	s3	102
Control	CT2	s4	2
Control	CT2	s5	11
Control	CT2	s6	30
Control	CT2	s8	67
Control	CT2	s9	25
Control	CT3	s1	611
Control	CT3	s2	132
Control	CT3	s3	421
Control	CT3	s4	2
Control	CT3	s5	5
Control	CT3	s6	13
Control	CT3	s8	24
Control	CT3	s9	45
Control	CT4	s1	420
Control	CT4	s2	218
Control	CT4	s3	336
Control	CT4	s4	35
Control	CT4	s5	6
Control	CT4	s6	6
Control	CT4	s8	21
Control	CT4	s9	19
Control	CT5	s1	407
Control	CT5	s2	512
Control	CT5	s3	216
Control	CT5	s5	10
Control	CT5	s6	16
Control	CT5	s8	3
Control	CT5	s9	6
Control	CT6	s1	703
Control	CT6	s2	344
Control	CT6	s3	147
Control	CT6	s5	3
Control	CT6	s6	3
Control	CT6	s8	30
Control	CT6	s9	51
Control	CT7	s1	751
Control	CT7	s2	727
Control	CT7	s3	306
Control	CT7	s4	1
Control	CT7	s5	7
Control	CT7	s6	25
Control	CT7	s8	6
Control	CT7	s9	27
Control	CT8	s1	440
Control	CT8	s2	207
Control	CT8	s3	125
Control	CT8	s4	1
Control	CT8	s5	6
Control	CT8	s6	21
Control	CT8	s8	154
Control	CT8	s9	38
NoColitis	NC1	s1	160
NoColitis	NC1	s2	177
NoColitis	NC1	s3	95
NoColitis	NC1	s4	7
NoColitis	NC1	s5	22
NoColitis	NC1	s6	25
NoColitis	NC1	s7	1
NoColitis	NC1	s8	4
NoColitis	NC1	s9	12
NoColitis	NC2	s1	359
NoColitis	NC2	s2	419
NoColitis	NC2	s3	391
NoColitis	NC2	s4	4
NoColitis	NC2	s5	12
NoColitis	NC2	s6	33
NoColitis	NC2	s8	21
NoColitis	NC2	s9	18
NoColitis	NC3	s1	301
NoColitis	NC3	s2	365
NoColitis	NC3	s3	106
NoColitis	NC3	s5	18
NoColitis	NC3	s6	52
NoColitis	NC3	s8	33
NoColitis	NC3	s9	16
NoColitis	NC4	s1	919
NoColitis	NC4	s2	193
NoColitis	NC4	s3	269
NoColitis	NC4	s4	4
NoColitis	NC4	s5	4
NoColitis	NC4	s6	11
NoColitis	NC4	s7	2
NoColitis	NC4	s8	19
NoColitis	NC4	s9	13
NoColitis	NC5	s1	764
NoColitis	NC5	s2	204
NoColitis	NC5	s3	200
NoColitis	NC5	s4	14
NoColitis	NC5	s5	18
NoColitis	NC5	s6	35
NoColitis	NC5	s8	34
NoColitis	NC5	s9	13
NoColitis	NC6	s1	711
NoColitis	NC6	s2	711
NoColitis	NC6	s3	202
NoColitis	NC6	s4	27
NoColitis	NC6	s5	37
NoColitis	NC6	s6	32
NoColitis	NC6	s7	2
NoColitis	NC6	s8	83
NoColitis	NC6	s9	36
