s1	s2	s3	s4	s5	s6	s7	s8	s9
Colitis	0.091729740990209	0.0820081938754253	0.148392472744948	0.347961947087008	0.112214429553503	0.0986042635928061	0.0925630164571905	0.010832581070759	0.0156933546281508
Control	0.40570153190626	0.322004666734301	0.186263569037232	0.00517398802881201	0.00639139697676778	0.0130871461905245	0.000101450745662981	0.0359135639646951	0.0253626864157452
NoColitis	0.445893451720311	0.28704217536071	0.175221975582686	0.00776914539400666	0.0153995560488346	0.0260821309655938	0.000693673695893452	0.0269145394006659	0.0149833518312986
