Sample	seurat_clusters	Diagnosis	.n	.frac
C1	c1	Colitis	173	0.054764165875277
C1	c2	Colitis	82	0.0259575815131371
C1	c3	Colitis	1383	0.437796771130104
C1	c4	Colitis	202	0.0639442861665084
C1	c5	Colitis	127	0.0402025957581513
C1	c6	Colitis	49	0.01551123773346
C1	c7	Colitis	165	0.0522317188983856
C1	c8	Colitis	219	0.0693257359924027
C1	c9	Colitis	108	0.0341880341880342
C1	c10	Colitis	296	0.0937005381449826
C1	c11	Colitis	296	0.0937005381449826
C1	c12	Colitis	34	0.0107628996517885
C1	c13	Colitis	8	0.00253244697689142
C1	c14	Colitis	1	0.000316555872111428
C1	c15	Colitis	16	0.00506489395378284
C2	c1	Colitis	82	0.0212987012987013
C2	c2	Colitis	75	0.0194805194805195
C2	c3	Colitis	1393	0.361818181818182
C2	c4	Colitis	82	0.0212987012987013
C2	c5	Colitis	271	0.0703896103896104
C2	c6	Colitis	64	0.0166233766233766
C2	c7	Colitis	402	0.104415584415584
C2	c8	Colitis	100	0.025974025974026
C2	c9	Colitis	72	0.0187012987012987
C2	c10	Colitis	624	0.162077922077922
C2	c11	Colitis	583	0.151428571428571
C2	c12	Colitis	61	0.0158441558441558
C2	c13	Colitis	22	0.00571428571428571
C2	c15	Colitis	19	0.00493506493506494
C3	c1	Colitis	301	0.0751560549313358
C3	c2	Colitis	214	0.0534332084893883
C3	c3	Colitis	1196	0.298626716604245
C3	c4	Colitis	346	0.0863920099875156
C3	c5	Colitis	275	0.0686641697877653
C3	c6	Colitis	190	0.0474406991260924
C3	c7	Colitis	233	0.0581772784019975
C3	c8	Colitis	414	0.103370786516854
C3	c9	Colitis	106	0.0264669163545568
C3	c10	Colitis	171	0.0426966292134831
C3	c11	Colitis	468	0.11685393258427
C3	c12	Colitis	49	0.0122347066167291
C3	c13	Colitis	5	0.00124843945068664
C3	c14	Colitis	15	0.00374531835205993
C3	c15	Colitis	22	0.00549313358302122
C4	c1	Colitis	458	0.146606914212548
C4	c2	Colitis	135	0.043213828425096
C4	c3	Colitis	89	0.0284891165172855
C4	c4	Colitis	310	0.0992317541613316
C4	c5	Colitis	286	0.0915492957746479
C4	c6	Colitis	197	0.0630601792573624
C4	c7	Colitis	365	0.116837387964149
C4	c8	Colitis	193	0.0617797695262484
C4	c9	Colitis	116	0.0371318822023047
C4	c10	Colitis	523	0.16741357234315
C4	c11	Colitis	300	0.0960307298335467
C4	c12	Colitis	106	0.0339308578745198
C4	c13	Colitis	10	0.00320102432778489
C4	c14	Colitis	25	0.00800256081946223
C4	c15	Colitis	11	0.00352112676056338
C5	c1	Colitis	186	0.0480744378392349
C5	c2	Colitis	134	0.0346342724218144
C5	c3	Colitis	1900	0.491082967174981
C5	c4	Colitis	58	0.0149909537348152
C5	c5	Colitis	252	0.0651331093305764
C5	c6	Colitis	68	0.017575600930473
C5	c7	Colitis	327	0.0845179632980098
C5	c8	Colitis	198	0.0511760144740243
C5	c9	Colitis	92	0.0237787542000517
C5	c10	Colitis	279	0.0721116567588524
C5	c11	Colitis	248	0.0640992504523133
C5	c12	Colitis	39	0.0100801240630654
C5	c13	Colitis	49	0.0126647712587232
C5	c14	Colitis	6	0.00155078831739468
C5	c15	Colitis	33	0.00852933574567072
C6	c1	Colitis	677	0.236630548759175
C6	c2	Colitis	425	0.148549458231388
C6	c3	Colitis	46	0.0160782943026914
C6	c4	Colitis	88	0.0307584760573226
C6	c5	Colitis	485	0.169521146452289
C6	c6	Colitis	169	0.05907025515554
C6	c7	Colitis	159	0.0555749737853897
C6	c8	Colitis	170	0.0594197832925551
C6	c9	Colitis	154	0.0538273331003146
C6	c10	Colitis	165	0.0576721426074799
C6	c11	Colitis	208	0.0727018524991262
C6	c12	Colitis	51	0.0178259349877665
C6	c13	Colitis	30	0.0104858441104509
C6	c14	Colitis	26	0.00908773156239077
C6	c15	Colitis	8	0.00279622509612024
C7	c1	Colitis	826	0.242157725007329
C7	c2	Colitis	379	0.111111111111111
C7	c3	Colitis	167	0.048959249486954
C7	c4	Colitis	111	0.0325417766051011
C7	c5	Colitis	273	0.0800351802990325
C7	c6	Colitis	319	0.0935209615948402
C7	c7	Colitis	400	0.117267663441806
C7	c8	Colitis	144	0.0422163588390501
C7	c9	Colitis	36	0.0105540897097625
C7	c10	Colitis	376	0.110231603635298
C7	c11	Colitis	295	0.0864849017883319
C7	c12	Colitis	40	0.0117267663441806
C7	c13	Colitis	27	0.0079155672823219
C7	c14	Colitis	16	0.00469070653767224
C7	c15	Colitis	2	0.00058633831720903
C8	c1	Colitis	285	0.0840212264150943
C8	c2	Colitis	44	0.0129716981132075
C8	c3	Colitis	302	0.0890330188679245
C8	c4	Colitis	14	0.00412735849056604
C8	c5	Colitis	184	0.0542452830188679
C8	c6	Colitis	105	0.0309551886792453
C8	c7	Colitis	334	0.0984669811320755
C8	c8	Colitis	335	0.0987617924528302
C8	c9	Colitis	161	0.0474646226415094
C8	c10	Colitis	1107	0.326356132075472
C8	c11	Colitis	431	0.127063679245283
C8	c12	Colitis	49	0.0144457547169811
C8	c13	Colitis	4	0.00117924528301887
C8	c15	Colitis	37	0.0109080188679245
CT1	c1	Control	505	0.144409493851873
CT1	c2	Control	400	0.114383757506434
CT1	c3	Control	10	0.00285959393766085
CT1	c4	Control	843	0.24106376894481
CT1	c5	Control	184	0.0526165284529597
CT1	c6	Control	371	0.106090935087218
CT1	c7	Control	241	0.0689162138976265
CT1	c8	Control	287	0.0820703460108665
CT1	c9	Control	526	0.150414641120961
CT1	c10	Control	12	0.00343151272519302
CT1	c11	Control	20	0.0057191878753217
CT1	c12	Control	26	0.00743494423791822
CT1	c13	Control	49	0.0140120102945382
CT1	c14	Control	10	0.00285959393766085
CT1	c15	Control	13	0.00371747211895911
CT2	c1	Control	670	0.269726247987118
CT2	c2	Control	303	0.121980676328502
CT2	c4	Control	220	0.0885668276972625
CT2	c5	Control	104	0.0418679549114332
CT2	c6	Control	198	0.0797101449275362
CT2	c7	Control	253	0.101851851851852
CT2	c8	Control	388	0.156199677938808
CT2	c9	Control	219	0.0881642512077295
CT2	c10	Control	4	0.00161030595813205
CT2	c11	Control	15	0.00603864734299517
CT2	c12	Control	9	0.0036231884057971
CT2	c13	Control	66	0.0265700483091787
CT2	c14	Control	26	0.0104669887278583
CT2	c15	Control	9	0.0036231884057971
CT3	c1	Control	1131	0.331963604343998
CT3	c2	Control	640	0.187848547108893
CT3	c3	Control	1	0.000293513354857646
CT3	c4	Control	149	0.0437334898737893
CT3	c5	Control	420	0.123275609040211
CT3	c6	Control	362	0.106251834458468
CT3	c7	Control	160	0.0469621367772234
CT3	c8	Control	337	0.0989140005870267
CT3	c9	Control	136	0.0399178162606399
CT3	c10	Control	10	0.00293513354857646
CT3	c11	Control	9	0.00264162019371881
CT3	c12	Control	16	0.00469621367772234
CT3	c13	Control	24	0.0070443205165835
CT3	c14	Control	10	0.00293513354857646
CT3	c15	Control	2	0.000587026709715292
CT4	c1	Control	535	0.228047740835465
CT4	c2	Control	440	0.187553282182438
CT4	c3	Control	27	0.0115089514066496
CT4	c4	Control	221	0.0942028985507246
CT4	c5	Control	340	0.144927536231884
CT4	c6	Control	117	0.0498721227621483
CT4	c7	Control	284	0.121057118499574
CT4	c8	Control	135	0.0575447570332481
CT4	c9	Control	158	0.0673486786018755
CT4	c10	Control	15	0.00639386189258312
CT4	c11	Control	11	0.00468883205456096
CT4	c12	Control	37	0.015771526001705
CT4	c13	Control	21	0.00895140664961637
CT4	c14	Control	1	0.000426257459505541
CT4	c15	Control	4	0.00170502983802217
CT5	c1	Control	408	0.181494661921708
CT5	c2	Control	404	0.179715302491103
CT5	c4	Control	514	0.22864768683274
CT5	c5	Control	222	0.0987544483985765
CT5	c6	Control	141	0.0627224199288256
CT5	c7	Control	223	0.0991992882562278
CT5	c8	Control	43	0.0191281138790036
CT5	c9	Control	220	0.097864768683274
CT5	c10	Control	17	0.00756227758007117
CT5	c11	Control	11	0.0048932384341637
CT5	c12	Control	16	0.00711743772241993
CT5	c13	Control	3	0.00133451957295374
CT5	c14	Control	16	0.00711743772241993
CT5	c15	Control	10	0.00444839857651246
CT6	c1	Control	1491	0.404942965779468
CT6	c2	Control	751	0.203965236284628
CT6	c4	Control	346	0.0939706681151548
CT6	c5	Control	149	0.0404671374253123
CT6	c6	Control	320	0.086909288430201
CT6	c7	Control	126	0.0342205323193916
CT6	c8	Control	194	0.0526887561108093
CT6	c9	Control	250	0.0678978815860945
CT6	c10	Control	1	0.000271591526344378
CT6	c11	Control	5	0.00135795763172189
CT6	c12	Control	16	0.00434546442151005
CT6	c13	Control	29	0.00787615426398696
CT6	c14	Control	1	0.000271591526344378
CT6	c15	Control	3	0.000814774579033134
CT7	c1	Control	685	0.228105228105228
CT7	c2	Control	777	0.258741258741259
CT7	c4	Control	729	0.242757242757243
CT7	c5	Control	307	0.102231102231102
CT7	c6	Control	151	0.0502830502830503
CT7	c7	Control	119	0.0396270396270396
CT7	c8	Control	92	0.0306360306360306
CT7	c9	Control	71	0.0236430236430236
CT7	c10	Control	5	0.00166500166500167
CT7	c11	Control	14	0.00466200466200466
CT7	c12	Control	29	0.00965700965700966
CT7	c13	Control	5	0.00166500166500167
CT7	c14	Control	18	0.00599400599400599
CT7	c15	Control	1	0.000333000333000333
CT8	c1	Control	586	0.210639827462257
CT8	c2	Control	473	0.170021567217829
CT8	c4	Control	209	0.0751258087706686
CT8	c5	Control	128	0.0460100647016535
CT8	c6	Control	279	0.100287562904385
CT8	c7	Control	187	0.0672178289000719
CT8	c8	Control	336	0.12077641984184
CT8	c9	Control	362	0.130122214234364
CT8	c10	Control	6	0.00215672178289001
CT8	c11	Control	11	0.00395398993529835
CT8	c12	Control	31	0.0111430625449317
CT8	c13	Control	154	0.0553558590941769
CT8	c14	Control	17	0.00611071171818835
CT8	c15	Control	3	0.001078360891445
NC1	c1	NoColitis	799	0.289597680318956
NC1	c2	NoColitis	162	0.0587169264226169
NC1	c3	NoColitis	7	0.00253715114171801
NC1	c4	NoColitis	183	0.0663283798477709
NC1	c5	NoColitis	99	0.0358825661471548
NC1	c6	NoColitis	261	0.0945994925697717
NC1	c7	NoColitis	247	0.0895251902863356
NC1	c8	NoColitis	529	0.191736136281261
NC1	c9	NoColitis	340	0.123233055454875
NC1	c10	NoColitis	21	0.00761145342515404
NC1	c11	NoColitis	36	0.0130482058716926
NC1	c12	NoColitis	57	0.0206596592968467
NC1	c13	NoColitis	5	0.00181225081551287
NC1	c14	NoColitis	11	0.00398695179412831
NC1	c15	NoColitis	2	0.000724900326205147
NC2	c1	NoColitis	879	0.274173424828447
NC2	c2	NoColitis	368	0.114784778540237
NC2	c3	NoColitis	2	0.000623830318153462
NC2	c4	NoColitis	422	0.131628197130381
NC2	c5	NoColitis	400	0.124766063630692
NC2	c6	NoColitis	523	0.16313162819713
NC2	c7	NoColitis	144	0.0449157829070493
NC2	c8	NoColitis	132	0.0411728009981285
NC2	c9	NoColitis	192	0.0598877105427324
NC2	c10	NoColitis	24	0.00748596381784155
NC2	c11	NoColitis	23	0.00717404865876482
NC2	c12	NoColitis	51	0.0159076731129133
NC2	c13	NoColitis	20	0.00623830318153462
NC2	c14	NoColitis	22	0.00686213349968808
NC2	c15	NoColitis	4	0.00124766063630692
NC3	c1	NoColitis	735	0.315180102915952
NC3	c2	NoColitis	308	0.132075471698113
NC3	c3	NoColitis	1	0.000428816466552316
NC3	c4	NoColitis	368	0.157804459691252
NC3	c5	NoColitis	112	0.0480274442538593
NC3	c6	NoColitis	263	0.112778730703259
NC3	c7	NoColitis	172	0.0737564322469983
NC3	c8	NoColitis	68	0.0291595197255575
NC3	c9	NoColitis	159	0.0681818181818182
NC3	c10	NoColitis	26	0.0111492281303602
NC3	c11	NoColitis	26	0.0111492281303602
NC3	c12	NoColitis	12	0.00514579759862779
NC3	c13	NoColitis	33	0.0141509433962264
NC3	c14	NoColitis	43	0.0184391080617496
NC3	c15	NoColitis	6	0.00257289879931389
NC4	c1	NoColitis	1284	0.401500938086304
NC4	c2	NoColitis	924	0.288930581613508
NC4	c3	NoColitis	5	0.00156347717323327
NC4	c4	NoColitis	196	0.0612883051907442
NC4	c5	NoColitis	274	0.0856785490931832
NC4	c6	NoColitis	191	0.0597248280175109
NC4	c7	NoColitis	109	0.0340838023764853
NC4	c8	NoColitis	54	0.0168855534709193
NC4	c9	NoColitis	71	0.0222013758599124
NC4	c10	NoColitis	17	0.00531582238899312
NC4	c11	NoColitis	8	0.00250156347717323
NC4	c12	NoColitis	35	0.0109443402126329
NC4	c13	NoColitis	19	0.00594121325828643
NC4	c14	NoColitis	8	0.00250156347717323
NC4	c15	NoColitis	3	0.000938086303939962
NC5	c1	NoColitis	873	0.2841796875
NC5	c2	NoColitis	768	0.25
NC5	c3	NoColitis	12	0.00390625
NC5	c4	NoColitis	211	0.0686848958333333
NC5	c5	NoColitis	204	0.06640625
NC5	c6	NoColitis	264	0.0859375
NC5	c7	NoColitis	167	0.0543619791666667
NC5	c8	NoColitis	62	0.0201822916666667
NC5	c9	NoColitis	358	0.116536458333333
NC5	c10	NoColitis	11	0.00358072916666667
NC5	c11	NoColitis	35	0.0113932291666667
NC5	c12	NoColitis	47	0.0152994791666667
NC5	c13	NoColitis	34	0.0110677083333333
NC5	c14	NoColitis	18	0.005859375
NC5	c15	NoColitis	8	0.00260416666666667
NC6	c1	NoColitis	922	0.249593936112615
NC6	c2	NoColitis	730	0.197617758527342
NC6	c3	NoColitis	22	0.00595560368164591
NC6	c4	NoColitis	731	0.197888467785598
NC6	c5	NoColitis	207	0.0560368164591229
NC6	c6	NoColitis	388	0.105035192203573
NC6	c7	NoColitis	162	0.0438548998375744
NC6	c8	NoColitis	160	0.0433134813210612
NC6	c9	NoColitis	146	0.0395235517054683
NC6	c10	NoColitis	32	0.00866269626421224
NC6	c11	NoColitis	51	0.0138061721710883
NC6	c12	NoColitis	38	0.010286951813752
NC6	c13	NoColitis	83	0.0224688684353005
NC6	c14	NoColitis	17	0.00460205739036275
NC6	c15	NoColitis	5	0.00135354629128316
