Sample	cd4_subcluster	Diagnosis	.n	.frac
C6	s7	Colitis	44	0.0283322601416613
C6	s8	Colitis	59	0.0379909851899549
C6	s9	Colitis	9	0.00579523502897617
C7	s1	Colitis	827	0.385907606159589
C7	s2	Colitis	317	0.147923471768549
C7	s3	Colitis	374	0.17452169855343
C7	s4	Colitis	430	0.200653289780681
C7	s5	Colitis	34	0.0158656089594027
C7	s6	Colitis	24	0.0111992533831078
C7	s7	Colitis	77	0.0359309379374708
C7	s8	Colitis	58	0.0270648623425105
C7	s9	Colitis	2	0.000933271115258983
C8	s1	Colitis	277	0.11479486116867
C8	s2	Colitis	108	0.0447575631993369
C8	s3	Colitis	326	0.135101533360961
C8	s4	Colitis	1191	0.493576460837132
C8	s5	Colitis	166	0.0687940323249068
C8	s6	Colitis	193	0.079983423124741
C8	s7	Colitis	63	0.0261085785329465
C8	s8	Colitis	49	0.0203066721922918
C8	s9	Colitis	40	0.0165768752590137
CT1	s1	Control	499	0.251892983341747
CT1	s2	Control	366	0.184755174154467
CT1	s3	Control	219	0.110550227158001
CT1	s4	Control	39	0.0196870267541646
CT1	s5	Control	533	0.269056032306916
CT1	s6	Control	200	0.100959111559818
CT1	s7	Control	64	0.0323069156991418
CT1	s8	Control	48	0.0242301867743564
CT1	s9	Control	13	0.00656234225138819
CT2	s1	Control	659	0.376571428571429
CT2	s2	Control	203	0.116
CT2	s3	Control	232	0.132571428571429
CT2	s4	Control	17	0.00971428571428571
CT2	s5	Control	224	0.128
CT2	s6	Control	241	0.137714285714286
CT2	s7	Control	137	0.0782857142857143
CT2	s8	Control	28	0.016
CT2	s9	Control	9	0.00514285714285714
CT3	s1	Control	1122	0.520891364902507
CT3	s2	Control	367	0.170380687093779
CT3	s3	Control	153	0.0710306406685237
CT3	s4	Control	23	0.010677808727948
CT3	s5	Control	140	0.0649953574744661
CT3	s6	Control	163	0.0756731662024141
CT3	s7	Control	161	0.074744661095636
CT3	s8	Control	23	0.010677808727948
CT3	s9	Control	2	0.000928505106778087
CT4	s1	Control	515	0.400778210116732
CT4	s2	Control	128	0.0996108949416342
CT4	s3	Control	257	0.2
CT4	s4	Control	45	0.0350194552529183
CT4	s5	Control	162	0.126070038910506
CT4	s6	Control	38	0.0295719844357977
CT4	s7	Control	67	0.0521400778210117
CT4	s8	Control	69	0.0536964980544747
CT4	s9	Control	4	0.00311284046692607
CT5	s1	Control	409	0.379406307977737
CT5	s2	Control	141	0.130797773654917
CT5	s3	Control	171	0.158627087198516
CT5	s4	Control	17	0.0157699443413729
CT5	s5	Control	221	0.205009276437848
CT5	s6	Control	16	0.0148423005565863
CT5	s7	Control	23	0.0213358070500928
CT5	s8	Control	70	0.0649350649350649
CT5	s9	Control	10	0.00927643784786642
CT6	s1	Control	1471	0.612661391087047
CT6	s2	Control	329	0.137026239067055
CT6	s3	Control	118	0.0491461890878801
CT6	s4	Control	10	0.0041649312786339
CT6	s5	Control	253	0.105372761349438
CT6	s6	Control	65	0.0270720533111204
CT6	s7	Control	128	0.053311120366514
CT6	s8	Control	24	0.00999583506872137
CT6	s9	Control	3	0.00124947938359017
CT7	s1	Control	681	0.590633130962706
CT7	s2	Control	153	0.132697311361665
CT7	s3	Control	115	0.0997398091934085
CT7	s4	Control	15	0.013009540329575
CT7	s5	Control	72	0.0624457935819601
CT7	s6	Control	47	0.0407632263660017
CT7	s7	Control	36	0.0312228967909801
CT7	s8	Control	33	0.028620988725065
CT7	s9	Control	1	0.000867302688638335
CT8	s1	Control	568	0.31731843575419
CT8	s2	Control	288	0.160893854748603
CT8	s3	Control	172	0.0960893854748603
CT8	s4	Control	19	0.0106145251396648
CT8	s5	Control	369	0.206145251396648
CT8	s6	Control	219	0.122346368715084
CT8	s7	Control	106	0.0592178770949721
CT8	s8	Control	46	0.0256983240223464
CT8	s9	Control	3	0.00167597765363128
NC1	s1	NoColitis	805	0.356826241134752
NC1	s2	NoColitis	254	0.112588652482269
NC1	s3	NoColitis	234	0.103723404255319
NC1	s4	NoColitis	35	0.0155141843971631
NC1	s5	NoColitis	342	0.151595744680851
NC1	s6	NoColitis	476	0.210992907801418
NC1	s7	NoColitis	37	0.0164007092198582
NC1	s8	NoColitis	71	0.0314716312056738
NC1	s9	NoColitis	2	0.000886524822695035
NC2	s1	NoColitis	876	0.449461262185736
NC2	s2	NoColitis	517	0.265264238070806
NC2	s3	NoColitis	130	0.0667008722421755
NC2	s4	NoColitis	42	0.021549512570549
NC2	s5	NoColitis	190	0.0974858902001026
NC2	s6	NoColitis	45	0.0230887634684454
NC2	s7	NoColitis	79	0.0405336069779374
NC2	s8	NoColitis	66	0.0338635197537199
NC2	s9	NoColitis	4	0.00205233453052848
NC3	s1	NoColitis	724	0.502428868841083
NC3	s2	NoColitis	264	0.183206106870229
NC3	s3	NoColitis	160	0.111034004163775
NC3	s4	NoColitis	29	0.0201249132546842
NC3	s5	NoColitis	168	0.116585704371964
NC3	s6	NoColitis	15	0.0104094378903539
NC3	s7	NoColitis	52	0.0360860513532269
NC3	s8	NoColitis	22	0.0152671755725191
NC3	s9	NoColitis	7	0.00485773768216516
NC4	s1	NoColitis	1273	0.721655328798186
NC4	s2	NoColitis	195	0.110544217687075
NC4	s3	NoColitis	101	0.0572562358276644
NC4	s4	NoColitis	27	0.0153061224489796
NC4	s5	NoColitis	77	0.0436507936507936
NC4	s6	NoColitis	15	0.00850340136054422
NC4	s7	NoColitis	31	0.0175736961451247
NC4	s8	NoColitis	42	0.0238095238095238
NC4	s9	NoColitis	3	0.00170068027210884
NC5	s1	NoColitis	869	0.485474860335196
NC5	s2	NoColitis	268	0.149720670391061
NC5	s3	NoColitis	135	0.0754189944134078
NC5	s4	NoColitis	20	0.0111731843575419
NC5	s5	NoColitis	356	0.198882681564246
NC5	s6	NoColitis	38	0.0212290502793296
NC5	s7	NoColitis	16	0.00893854748603352
NC5	s8	NoColitis	79	0.0441340782122905
NC5	s9	NoColitis	9	0.00502793296089385
NC6	s1	NoColitis	908	0.490016189962223
NC6	s2	NoColitis	390	0.210469508904479
NC6	s3	NoColitis	147	0.0793308148947652
NC6	s4	NoColitis	44	0.0237452779276848
NC6	s5	NoColitis	156	0.0841878035617917
NC6	s6	NoColitis	82	0.0442525634106854
NC6	s7	NoColitis	69	0.0372369131138694
NC6	s8	NoColitis	52	0.0280626011872639
NC6	s9	NoColitis	5	0.00269832703723691
