Sample	cd8_subcluster	Diagnosis	.n	.frac
C1	s1	Colitis	71	0.0338256312529776
C1	s2	Colitis	200	0.0952834683182468
C1	s3	Colitis	127	0.0605050023820867
C1	s4	Colitis	1315	0.626488804192473
C1	s5	Colitis	170	0.0809909480705098
C1	s6	Colitis	154	0.07336827060505
C1	s7	Colitis	39	0.0185802763220581
C1	s8	Colitis	8	0.00381133873272987
C1	s9	Colitis	15	0.00714626012386851
C2	s1	Colitis	70	0.0288540807914262
C2	s2	Colitis	73	0.0300906842539159
C2	s3	Colitis	271	0.111706512778236
C2	s4	Colitis	1315	0.54204451772465
C2	s5	Colitis	367	0.151277823577906
C2	s6	Colitis	259	0.106760098928277
C2	s7	Colitis	42	0.0173124484748557
C2	s8	Colitis	22	0.0090684253915911
C2	s9	Colitis	7	0.00288540807914262
C3	s1	Colitis	187	0.074235807860262
C3	s2	Colitis	346	0.137356093687971
C3	s3	Colitis	274	0.108773322747122
C3	s4	Colitis	151	0.0599444223898372
C3	s5	Colitis	222	0.0881302104009528
C3	s6	Colitis	277	0.109964271536324
C3	s7	Colitis	1024	0.406510520047638
C3	s8	Colitis	5	0.00198491464867011
C3	s9	Colitis	33	0.0131004366812227
C4	s1	Colitis	124	0.107359307359307
C4	s2	Colitis	310	0.268398268398268
C4	s3	Colitis	276	0.238961038961039
C4	s4	Colitis	65	0.0562770562770563
C4	s5	Colitis	192	0.166233766233766
C4	s6	Colitis	138	0.119480519480519
C4	s7	Colitis	17	0.0147186147186147
C4	s8	Colitis	10	0.00865800865800866
C4	s9	Colitis	23	0.0199134199134199
C5	s1	Colitis	126	0.0476010578012845
C5	s2	Colitis	48	0.0181337363052512
C5	s3	Colitis	251	0.0948243294295429
C5	s4	Colitis	1861	0.703060068001511
C5	s5	Colitis	142	0.0536456365697015
C5	s6	Colitis	120	0.0453343407631281
C5	s7	Colitis	33	0.0124669437098602
C5	s8	Colitis	49	0.0185115224782773
C5	s9	Colitis	17	0.00642236494144314
C6	s1	Colitis	345	0.263761467889908
C6	s2	Colitis	85	0.0649847094801223
C6	s3	Colitis	483	0.369266055045872
C6	s4	Colitis	33	0.0252293577981651
C6	s5	Colitis	123	0.0940366972477064
C6	s6	Colitis	114	0.0871559633027523
C6	s7	Colitis	9	0.00688073394495413
C6	s8	Colitis	31	0.0237003058103976
C6	s9	Colitis	85	0.0649847094801223
C7	s1	Colitis	361	0.284700315457413
C7	s2	Colitis	108	0.0851735015772871
C7	s3	Colitis	271	0.213722397476341
C7	s4	Colitis	96	0.0757097791798107
C7	s5	Colitis	147	0.115930599369085
C7	s6	Colitis	173	0.136435331230284
C7	s7	Colitis	48	0.0378548895899054
C7	s8	Colitis	27	0.0212933753943218
C7	s9	Colitis	37	0.029179810725552
C8	s1	Colitis	37	0.0377936670071502
C8	s2	Colitis	11	0.0112359550561798
C8	s3	Colitis	184	0.187946884576098
C8	s4	Colitis	175	0.178753830439224
C8	s5	Colitis	253	0.258426966292135
C8	s6	Colitis	185	0.188968335035751
C8	s7	Colitis	121	0.123595505617978
C8	s8	Colitis	4	0.00408580183861083
C8	s9	Colitis	9	0.00919305413687436
CT1	s1	Control	381	0.25131926121372
CT1	s2	Control	823	0.54287598944591
CT1	s3	Control	183	0.120712401055409
CT1	s4	Control	10	0.00659630606860158
CT1	s5	Control	15	0.00989445910290238
CT1	s6	Control	15	0.00989445910290238
CT1	s7	Control	1	0.000659630606860158
CT1	s8	Control	49	0.0323218997361478
CT1	s9	Control	39	0.0257255936675462
CT2	s1	Control	286	0.389645776566757
CT2	s2	Control	211	0.287465940054496
CT2	s3	Control	102	0.138964577656676
CT2	s4	Control	2	0.00272479564032698
CT2	s5	Control	11	0.0149863760217984
CT2	s6	Control	30	0.0408719346049046
CT2	s8	Control	67	0.0912806539509537
CT2	s9	Control	25	0.0340599455040872
CT3	s1	Control	611	0.487629688747007
CT3	s2	Control	132	0.105347166799681
CT3	s3	Control	421	0.335993615323224
CT3	s4	Control	2	0.00159616919393456
CT3	s5	Control	5	0.00399042298483639
CT3	s6	Control	13	0.0103750997605746
CT3	s8	Control	24	0.0191540303272147
CT3	s9	Control	45	0.0359138068635275
CT4	s1	Control	420	0.395852968897267
CT4	s2	Control	218	0.205466540999058
CT4	s3	Control	336	0.316682375117813
CT4	s4	Control	35	0.0329877474081056
CT4	s5	Control	6	0.0056550424128181
CT4	s6	Control	6	0.0056550424128181
CT4	s8	Control	21	0.0197926484448633
CT4	s9	Control	19	0.0179076343072573
CT5	s1	Control	407	0.347863247863248
CT5	s2	Control	512	0.437606837606838
CT5	s3	Control	216	0.184615384615385
CT5	s5	Control	10	0.00854700854700855
CT5	s6	Control	16	0.0136752136752137
CT5	s8	Control	3	0.00256410256410256
CT5	s9	Control	6	0.00512820512820513
CT6	s1	Control	703	0.548790007806401
CT6	s2	Control	344	0.268540202966432
CT6	s3	Control	147	0.114754098360656
CT6	s5	Control	3	0.00234192037470726
CT6	s6	Control	3	0.00234192037470726
CT6	s8	Control	30	0.0234192037470726
CT6	s9	Control	51	0.0398126463700234
CT7	s1	Control	751	0.405945945945946
CT7	s2	Control	727	0.392972972972973
CT7	s3	Control	306	0.165405405405405
CT7	s4	Control	1	0.000540540540540541
CT7	s5	Control	7	0.00378378378378378
CT7	s6	Control	25	0.0135135135135135
CT7	s8	Control	6	0.00324324324324324
CT7	s9	Control	27	0.0145945945945946
CT8	s1	Control	440	0.443548387096774
CT8	s2	Control	207	0.20866935483871
CT8	s3	Control	125	0.126008064516129
CT8	s4	Control	1	0.00100806451612903
CT8	s5	Control	6	0.00604838709677419
CT8	s6	Control	21	0.0211693548387097
CT8	s8	Control	154	0.155241935483871
CT8	s9	Control	38	0.0383064516129032
NC1	s1	NoColitis	160	0.318091451292247
NC1	s2	NoColitis	177	0.351888667992048
NC1	s3	NoColitis	95	0.188866799204771
NC1	s4	NoColitis	7	0.0139165009940358
NC1	s5	NoColitis	22	0.0437375745526839
NC1	s6	NoColitis	25	0.0497017892644135
NC1	s7	NoColitis	1	0.00198807157057654
NC1	s8	NoColitis	4	0.00795228628230616
NC1	s9	NoColitis	12	0.0238568588469185
NC2	s1	NoColitis	359	0.285600636435959
NC2	s2	NoColitis	419	0.333333333333333
NC2	s3	NoColitis	391	0.311058074781225
NC2	s4	NoColitis	4	0.00318217979315831
NC2	s5	NoColitis	12	0.00954653937947494
NC2	s6	NoColitis	33	0.0262529832935561
NC2	s8	NoColitis	21	0.0167064439140811
