cd8_subcluster	Diagnosis	.n	.frac
s1	Colitis	1321	0.154792594328568
s1	Control	3999	0.468596203421608
s1	NoColitis	3214	0.376611202249824
s2	Colitis	1181	0.183841843088418
s2	Control	3174	0.494084682440847
s2	NoColitis	2069	0.322073474470735
s3	Colitis	2137	0.408135981665393
s3	Control	1836	0.350649350649351
s3	NoColitis	1263	0.241214667685256
s4	Colitis	5011	0.979093395857757
s4	Control	51	0.00996483001172333
s4	NoColitis	56	0.0109417741305197
s5	Colitis	1616	0.902793296089386
s5	Control	63	0.035195530726257
s5	NoColitis	111	0.0620111731843575
s6	Colitis	1420	0.817501439263097
s6	Control	129	0.07426597582038
s6	NoColitis	188	0.108232584916523
s7	Colitis	1333	0.995519044062733
s7	Control	1	0.000746825989544436
s7	NoColitis	5	0.00373412994772218
s8	Colitis	156	0.221590909090909
s8	Control	354	0.502840909090909
s8	NoColitis	194	0.275568181818182
s9	Colitis	226	0.386986301369863
s9	Control	250	0.428082191780822
s9	NoColitis	108	0.184931506849315
