cd8_subcluster	Sample	.n	.frac
s1	C1	71	0.0338256312529776
s1	C2	70	0.0288540807914262
s1	C3	187	0.074235807860262
s1	C4	124	0.107359307359307
s1	C5	126	0.0476010578012845
s1	C6	345	0.263761467889908
s1	C7	361	0.284700315457413
s1	C8	37	0.0377936670071502
s1	CT1	381	0.25131926121372
s1	CT2	286	0.389645776566757
s1	CT3	611	0.487629688747007
s1	CT4	420	0.395852968897267
s1	CT5	407	0.347863247863248
s1	CT6	703	0.548790007806401
s1	CT7	751	0.405945945945946
s1	CT8	440	0.443548387096774
s1	NC1	160	0.318091451292247
s1	NC2	359	0.285600636435959
s1	NC3	301	0.337822671156005
s1	NC4	919	0.640864714086471
s1	NC5	764	0.59594383775351
s1	NC6	711	0.386203150461706
s2	C1	200	0.0952834683182468
s2	C2	73	0.0300906842539159
s2	C3	346	0.137356093687971
s2	C4	310	0.268398268398268
s2	C5	48	0.0181337363052512
s2	C6	85	0.0649847094801223
s2	C7	108	0.0851735015772871
s2	C8	11	0.0112359550561798
s2	CT1	823	0.54287598944591
s2	CT2	211	0.287465940054496
s2	CT3	132	0.105347166799681
s2	CT4	218	0.205466540999058
s2	CT5	512	0.437606837606838
s2	CT6	344	0.268540202966432
s2	CT7	727	0.392972972972973
s2	CT8	207	0.20866935483871
s2	NC1	177	0.351888667992048
s2	NC2	419	0.333333333333333
s2	NC3	365	0.409652076318743
s2	NC4	193	0.134588563458856
s2	NC5	204	0.159126365054602
s2	NC6	711	0.386203150461706
s3	C1	127	0.0605050023820867
s3	C2	271	0.111706512778236
s3	C3	274	0.108773322747122
s3	C4	276	0.238961038961039
s3	C5	251	0.0948243294295429
s3	C6	483	0.369266055045872
s3	C7	271	0.213722397476341
s3	C8	184	0.187946884576098
s3	CT1	183	0.120712401055409
s3	CT2	102	0.138964577656676
s3	CT3	421	0.335993615323224
s3	CT4	336	0.316682375117813
s3	CT5	216	0.184615384615385
s3	CT6	147	0.114754098360656
s3	CT7	306	0.165405405405405
s3	CT8	125	0.126008064516129
s3	NC1	95	0.188866799204771
s3	NC2	391	0.311058074781225
s3	NC3	106	0.118967452300786
s3	NC4	269	0.187587168758717
s3	NC5	200	0.15600624024961
s3	NC6	202	0.109722976643129
s4	C1	1315	0.626488804192473
s4	C2	1315	0.54204451772465
s4	C3	151	0.0599444223898372
s4	C4	65	0.0562770562770563
s4	C5	1861	0.703060068001511
s4	C6	33	0.0252293577981651
s4	C7	96	0.0757097791798107
s4	C8	175	0.178753830439224
s4	CT1	10	0.00659630606860158
s4	CT2	2	0.00272479564032698
s4	CT3	2	0.00159616919393456
s4	CT4	35	0.0329877474081056
s4	CT7	1	0.000540540540540541
s4	CT8	1	0.00100806451612903
s4	NC1	7	0.0139165009940358
s4	NC2	4	0.00318217979315831
s4	NC4	4	0.00278940027894003
s4	NC5	14	0.0109204368174727
s4	NC6	27	0.0146659424225964
s5	C1	170	0.0809909480705098
s5	C2	367	0.151277823577906
s5	C3	222	0.0881302104009528
s5	C4	192	0.166233766233766
s5	C5	142	0.0536456365697015
s5	C6	123	0.0940366972477064
s5	C7	147	0.115930599369085
s5	C8	253	0.258426966292135
s5	CT1	15	0.00989445910290238
s5	CT2	11	0.0149863760217984
s5	CT3	5	0.00399042298483639
s5	CT4	6	0.0056550424128181
s5	CT5	10	0.00854700854700855
s5	CT6	3	0.00234192037470726
s5	CT7	7	0.00378378378378378
s5	CT8	6	0.00604838709677419
s5	NC1	22	0.0437375745526839
s5	NC2	12	0.00954653937947494
s5	NC3	18	0.0202020202020202
s5	NC4	4	0.00278940027894003
s5	NC5	18	0.0140405616224649
s5	NC6	37	0.020097772949484
s6	C1	154	0.07336827060505
s6	C2	259	0.106760098928277
s6	C3	277	0.109964271536324
s6	C4	138	0.119480519480519
s6	C5	120	0.0453343407631281
s6	C6	114	0.0871559633027523
s6	C7	173	0.136435331230284
s6	C8	185	0.188968335035751
s6	CT1	15	0.00989445910290238
s6	CT2	30	0.0408719346049046
s6	CT3	13	0.0103750997605746
s6	CT4	6	0.0056550424128181
s6	CT5	16	0.0136752136752137
s6	CT6	3	0.00234192037470726
s6	CT7	25	0.0135135135135135
