cd8_subcluster	Sample	.n	.frac
s6	CT8	21	0.0211693548387097
s6	NC1	25	0.0497017892644135
s6	NC2	33	0.0262529832935561
s6	NC3	52	0.058361391694725
s6	NC4	11	0.00767085076708508
s6	NC5	35	0.0273010920436817
s6	NC6	32	0.0173818576860402
s7	C1	39	0.0185802763220581
s7	C2	42	0.0173124484748557
s7	C3	1024	0.406510520047638
s7	C4	17	0.0147186147186147
s7	C5	33	0.0124669437098602
s7	C6	9	0.00688073394495413
s7	C7	48	0.0378548895899054
s7	C8	121	0.123595505617978
s7	CT1	1	0.000659630606860158
s7	NC1	1	0.00198807157057654
s7	NC4	2	0.00139470013947001
s7	NC6	2	0.00108636610537751
s8	C1	8	0.00381133873272987
s8	C2	22	0.0090684253915911
s8	C3	5	0.00198491464867011
s8	C4	10	0.00865800865800866
s8	C5	49	0.0185115224782773
s8	C6	31	0.0237003058103976
s8	C7	27	0.0212933753943218
s8	C8	4	0.00408580183861083
s8	CT1	49	0.0323218997361478
s8	CT2	67	0.0912806539509537
s8	CT3	24	0.0191540303272147
s8	CT4	21	0.0197926484448633
s8	CT5	3	0.00256410256410256
s8	CT6	30	0.0234192037470726
s8	CT7	6	0.00324324324324324
s8	CT8	154	0.155241935483871
s8	NC1	4	0.00795228628230616
s8	NC2	21	0.0167064439140811
s8	NC3	33	0.037037037037037
s8	NC4	19	0.0132496513249651
s8	NC5	34	0.0265210608424337
s8	NC6	83	0.0450841933731668
s9	C1	15	0.00714626012386851
s9	C2	7	0.00288540807914262
s9	C3	33	0.0131004366812227
s9	C4	23	0.0199134199134199
s9	C5	17	0.00642236494144314
s9	C6	85	0.0649847094801223
s9	C7	37	0.029179810725552
s9	C8	9	0.00919305413687436
s9	CT1	39	0.0257255936675462
s9	CT2	25	0.0340599455040872
s9	CT3	45	0.0359138068635275
s9	CT4	19	0.0179076343072573
s9	CT5	6	0.00512820512820513
s9	CT6	51	0.0398126463700234
s9	CT7	27	0.0145945945945946
s9	CT8	38	0.0383064516129032
s9	NC1	12	0.0238568588469185
s9	NC2	18	0.0143198090692124
s9	NC3	16	0.0179573512906846
s9	NC4	13	0.00906555090655509
s9	NC5	13	0.0101404056162246
s9	NC6	36	0.0195545898967952
