p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	5.33484120062912	0.074	0.002	0	LGR6	c5
0	4.00730018636563	0.121	0.012	0	ENC1	c5
0	3.85659079939958	0.469	0.053	0	EOMES	c5
0	3.70502937255065	0.141	0.016	0	IFNG-AS1	c5
0	3.70483391163841	0.939	0.16	0	GZMK	c5
0	3.68005911623717	0.102	0.013	0	FGR	c5
0	3.66655149419303	0.125	0.008	0	MS4A1	c5
0	3.36028187139457	0.103	0.014	0	DKK3	c5
0	3.19062895948696	0.207	0.029	0	FCRL3	c5
0	3.0677087593208	0.515	0.103	0	PLEK	c5
0	2.79378270411694	0.166	0.034	0	LINC02084	c5
0	2.64295290617863	0.266	0.058	0	DTHD1	c5
0	2.58258911757175	0.556	0.178	0	KLRG1	c5
0	2.48605040081783	0.529	0.247	0	CMC1	c5
0	2.47180860118936	0.566	0.17	0	GZMH	c5
0	2.35306690411262	0.4	0.114	0	CRTAM	c5
0	2.32085975356025	0.53	0.18	0	CCL4L2	c5
0	2.30295997966558	0.529	0.168	0	SAMD3	c5
0	2.04556444615324	0.905	0.401	0	CCL4	c5
0	2.03680050343623	0.526	0.246	0	TNFSF9	c5
0	1.86450657305136	0.68	0.347	0	SH2D1A	c5
0	1.85629962952842	0.964	0.518	0	NKG7	c5
0	1.82234029500973	0.979	0.724	0	CST7	c5
0	1.624360851106	0.566	0.285	0	IFNG	c5
0	1.59364529189321	0.338	0.099	0	HLA-DQA1	c5
0	1.58208692654425	0.722	0.426	0	APOBEC3G	c5
0	1.56563265995766	0.826	0.453	0	CTSW	c5
0	1.5638916184481	0.338	0.122	0	HLA-DRB5	c5
0	1.47280451353987	0.746	0.315	0	HLA-DPB1	c5
0	1.42068492423885	0.442	0.18	0	XCL2	c5
0	1.36037643485228	0.559	0.36	0	APMAP	c5
0	1.31002219288858	0.777	0.37	0	HLA-DPA1	c5
0	1.30270606756256	0.866	0.593	0	ITGB2	c5
0	1.27288857584436	0.775	0.362	0	CD8B	c5
0	1.23133025866484	0.846	0.629	0	GZMM	c5
0	1.19134076135639	0.727	0.32	0	HLA-DRB1	c5
0	1.15523544352697	0.853	0.416	0	CD8A	c5
0	1.14908107910009	0.667	0.442	0	LITAF	c5
0	1.14183938263088	0.896	0.75	0	DUSP2	c5
0	1.02311995122805	0.986	0.887	0	CD74	c5
0	0.709885967974999	0.972	0.902	0	HCST	c5
0	0.587844734744818	1	0.998	0	HLA-A	c5
0	0.564448017908061	1	0.998	0	HLA-C	c5
0	0.558442939347207	0.989	0.74	0	CCL5	c5
0	0.550368843219296	1	0.999	0	HLA-B	c5
0	0.519221748175253	0.922	0.459	0	GZMA	c5
0	0.358323750305657	1	0.998	0	RPS27	c5
0	0.328097145696852	1	1	0	B2M	c5
4.79097887877014e-308	0.451155969270935	0.988	0.973	1.60679849636193e-303	PTPRC	c5
4.18401078944102e-297	1.68947068788792	0.405	0.198	1.40323353856273e-292	LYST	c5
7.15655330951166e-293	1.8246480753654	0.325	0.127	2.40016484894402e-288	CCL3	c5
1.04679582578952e-285	4.3620527437493	0.057	0.004	3.51074384053289e-281	S1PR5	c5
2.52236927537339e-280	0.897574703094989	0.705	0.481	8.45952207574728e-276	PRF1	c5
5.21577000637898e-280	2.09683206342633	0.261	0.094	1.74926494473938e-275	FCRL6	c5
3.0918652157544e-268	0.811196178099987	0.758	0.562	1.03694975605971e-263	CD27	c5
1.27198331226067e-264	2.8048323799474	0.15	0.037	4.26597763265985e-260	PDLIM1	c5
2.83231097054042e-263	0.368938632108279	0.997	0.992	9.49900453299847e-259	HLA-E	c5
4.42846292282655e-258	1.17004519011254	0.51	0.293	1.48521789505757e-253	AOAH	c5
1.89602851963892e-257	0.446955831183649	0.984	0.965	6.358900449165e-253	CYBA	c5
1.468129321943e-256	1.82909679832875	0.299	0.125	4.92381211993242e-252	OASL	c5
2.75507975532577e-255	0.975154210382967	0.672	0.477	9.23998648341156e-251	MT2A	c5
1.72472322380451e-254	1.23577194218355	0.357	0.164	5.78437674799557e-250	HLA-DQB1	c5
2.27454194712718e-253	1.50288252588184	0.393	0.2	7.62835878227513e-249	SLAMF7	c5
1.15546694598934e-251	0.384826100410953	0.993	0.974	3.87520504345906e-247	PTPRCAP	c5
1.18722269311843e-217	0.980120866531007	0.62	0.476	3.98170746818058e-213	ARPC5L	c5
1.27936359896104e-213	0.711205518719566	0.875	0.812	4.29072963819552e-209	TAGAP	c5
6.51361996089586e-200	1.74836207608899	0.23	0.091	2.18453786248526e-195	PTGDR	c5
1.09693104502486e-197	5.2479641136591	0.031	0.001	3.67888733880439e-193	KLRF1	c5
1.97595346204437e-195	0.452939459830534	0.948	0.908	6.62695272100441e-191	CD99	c5
3.33671467036054e-188	0.876708715493487	0.479	0.277	1.11906736614552e-183	KLF2	c5
1.41980256505701e-184	2.73301186852719	0.116	0.03	4.76173384268822e-180	C1orf21	c5
2.09134362906714e-176	0.49848804427163	0.908	0.828	7.01394826316538e-172	PSMB9	c5
4.56379130427425e-174	1.68997119729808	0.217	0.087	1.5306043276275e-169	CCL3L1	c5
5.37590551619812e-174	3.47271739453075	0.052	0.007	1.80297119202252e-169	TTC16	c5
6.65937571392473e-174	0.562564230648585	0.843	0.743	2.23342142693607e-169	GIMAP4	c5
1.75004790906531e-173	1.13602912090096	0.439	0.269	5.86931067742325e-169	LINC00861	c5
2.36408547564797e-168	1.17585103783402	0.357	0.202	7.92866986822816e-164	HLA-DMA	c5
3.83264516253092e-168	3.88485000991917	0.055	0.008	1.28539253460962e-163	CX3CR1	c5
3.06873539992069e-167	0.34553585429897	0.379	0.201	1.0291924784254e-162	HLA-DRA	c5
5.96525831521564e-166	0.702296311413678	0.561	0.368	2.00062833375702e-161	TIGIT	c5
7.20843371606603e-165	0.598709164012421	0.779	0.692	2.41756449969422e-160	CTSC	c5
1.78218278009003e-159	1.29403556972951	0.347	0.197	5.97708460786595e-155	F2R	c5
2.26480922039113e-157	0.387969851789806	0.927	0.88	7.59571716334777e-153	RARRES3	c5
5.44954581353097e-151	1.61392201414461	0.258	0.129	1.82766867494202e-146	LPCAT1	c5
1.86582965881899e-144	0.602111943087817	0.765	0.699	6.25761950974713e-140	HLA-F	c5
6.10678303582941e-142	0.215870566951448	0.999	0.995	2.04809289455647e-137	RPL23A	c5
6.59273013912616e-140	1.8109029331831	0.162	0.063	2.21106983406013e-135	ADRB2	c5
1.34920531773794e-139	2.84011735329868	0.057	0.01	4.5249647946295e-135	SLC4A4	c5
1.26172025739919e-137	0.480327849499887	0.876	0.75	4.23155739926539e-133	CXCR4	c5
