Stats	Cluster	Marker	Method	p_val_adj
0.475440322	1: IgA+ plasma B	ANKRD37	FindMarkers	0
0.470946173	1: IgA+ plasma B	DNAJB9	FindMarkers	0
0.470497771	1: IgA+ plasma B	JUN	FindMarkers	0
0.470346349	1: IgA+ plasma B	CHPF	FindMarkers	0
0.469828661	1: IgA+ plasma B	SELENOM	FindMarkers	0
0.467807069	1: IgA+ plasma B	AMPD1	FindMarkers	0
0.461928507	1: IgA+ plasma B	SPCS1	FindMarkers	0
0.45296783	1: IgA+ plasma B	PLPP5	FindMarkers	0
0.447146427	1: IgA+ plasma B	RRBP1	FindMarkers	0
0.437329966	1: IgA+ plasma B	RPN1	FindMarkers	0
0.433808643	1: IgA+ plasma B	POU2AF1	FindMarkers	0
0.427287803	1: IgA+ plasma B	SPINK2	FindMarkers	0
0.418631924	1: IgA+ plasma B	HSPA5	FindMarkers	0
0.40626478	1: IgA+ plasma B	TMEM59	FindMarkers	0
0.388175043	1: IgA+ plasma B	SELENOS	FindMarkers	0
0.384002419	1: IgA+ plasma B	CCPG1	FindMarkers	0
0.38382134	1: IgA+ plasma B	UAP1	FindMarkers	0
0.371426167	1: IgA+ plasma B	ITM2C	FindMarkers	0
0.366621452	1: IgA+ plasma B	TXNDC11	FindMarkers	0
0.363658796	1: IgA+ plasma B	TXNDC15	FindMarkers	0
0.351365959	1: IgA+ plasma B	TIMP1	FindMarkers	0
0.350768072	1: IgA+ plasma B	HDLBP	FindMarkers	0
0.34570691	1: IgA+ plasma B	SEC61B	FindMarkers	0
0.345527622	1: IgA+ plasma B	GNG7	FindMarkers	0
0.34232776	1: IgA+ plasma B	HM13	FindMarkers	0
0.335801838	1: IgA+ plasma B	FCRL5	FindMarkers	0
0.333327574	1: IgA+ plasma B	ATF5	FindMarkers	0
0.331343191	1: IgA+ plasma B	TRIB1	FindMarkers	0
0.324432114	1: IgA+ plasma B	CKAP4	FindMarkers	0
0.321422355	1: IgA+ plasma B	LMAN2	FindMarkers	0
0.321287128	1: IgA+ plasma B	RPN2	FindMarkers	0
0.319999114	1: IgA+ plasma B	NUCB2	FindMarkers	0
0.304872394	1: IgA+ plasma B	SPCS3	FindMarkers	0
0.302652902	1: IgA+ plasma B	MEI1	FindMarkers	0
0.300468682	1: IgA+ plasma B	RABAC1	FindMarkers	0
0.294268372	1: IgA+ plasma B	TNFRSF13B	FindMarkers	0
0.28131292	1: IgA+ plasma B	TMEM258	FindMarkers	0
0.278082805	1: IgA+ plasma B	KDELR1	FindMarkers	0
0.277555007	1: IgA+ plasma B	DDOST	FindMarkers	0
0.275756871	1: IgA+ plasma B	ERLEC1	FindMarkers	0
0.274289872	1: IgA+ plasma B	ERGIC3	FindMarkers	0
0.268460285	1: IgA+ plasma B	PIM2	FindMarkers	0
0.267775295	1: IgA+ plasma B	TRAM1	FindMarkers	0
0.259304619	1: IgA+ plasma B	WNT10A	FindMarkers	0
0.259034382	1: IgA+ plasma B	SMOC1	FindMarkers	0
0.25479979	1: IgA+ plasma B	PDK1	FindMarkers	0
