Cluster	CD14	CD3E	CD3D	CD3G	CD68	Cluster_Size	Clonotype_Pct	km_cluster	is_selected
c1	0.00606281203408389	15.128712882683	7.5369625787138	3.53278450139034	0.00978199379967453	5841	0.988015750727615	2	TRUE
c2	0.00570975021275141	14.611931913701	7.44308050050579	3.43356810585016	0.0150331276821263	5792	0.974620165745856	2	TRUE
c3	0.0015755010967136	16.4786481656587	9.66344434081484	4.18589773391186	0.0257057167058972	5290	0.896597353497164	2	TRUE
c4	0.00486610324734677	14.4136064766873	8.57576640915574	3.66902312919437	0.0143403063104576	4981	0.968480224854447	2	TRUE
c5	0.00370689369272759	16.4230680638972	8.72724426841659	4.3971433757225	0.0301679862805117	4512	0.935283687943262	2	TRUE
c6	0.00222128014149802	16.15260631912	10.9820983049563	3.62102992371627	0.010075374548958	3930	0.878371501272265	2	TRUE
c7	0.00288602172736147	15.8500500562413	9.65146582482721	4.69895329940543	0.024781739312061	3898	0.56054386865059	2	TRUE
c8	0.00320191123423442	18.222042273478	12.3530581743777	5.61493533140848	0.0457486650835514	3680	0.922010869565217	2	TRUE
c9	0.00184933920677409	13.4905979555235	8.53933339809524	3.62127775410768	0.00799677168099134	3365	0.938187221396731	2	TRUE
c10	0.00526366155412222	14.5110042355317	9.10752734561269	3.44687051512545	0.0339386922662071	2875	0.975304347826087	2	TRUE
c11	0.000221923173348696	19.0455890027838	17.4748491685816	6.0325227509882	0.0165821306570115	2867	0.682246250435996	2	TRUE
c12	0.00681097989282207	14.6781353083337	7.55533901617838	3.05831016706831	0.00433774046488426	2599	0.9772989611389	2	TRUE
c13	0.000335300429184549	18.6042122892114	14.4899890477449	5.3149319689207	0.00644765506835577	2560	0.773828125	2	TRUE
c14	0.0023035877054182	15.1949747708608	11.1099262366558	4.99573097502185	0.053853193721289	2485	0.267203219315895	2	TRUE
c15	0	21.1217622862502	13.6379903660337	5.64812646312003	0.0191399137351424	2297	0.835002176752286	2	TRUE
c16	0.00609749944349211	13.2416424467924	7.91106200433067	3.23891879327163	0.00686892365978108	2005	0.957605985037406	2	TRUE
c17	0.00374470745960521	15.7824636186883	12.4025253719728	3.73474076279194	0.0132387333849022	1850	0.947567567567568	2	TRUE
c18	0.000988022930494557	12.6777082076787	11.0702834992348	4.22612356553249	0.0310875245965383	1764	0.701814058956916	2	TRUE
c19	0.00102184118557929	12.1597488944393	9.94003118956168	3.74360700055748	0.0269066001896828	1750	0.712571428571429	2	TRUE
c20	0.000982732022539155	17.2537964214582	12.1628847567719	4.71731382330972	0.0153863152924593	1718	0.835273573923166	2	TRUE
c21	0	18.2698152480716	11.7562577527731	4.41245921247524	0.0811980020697963	878	0.912300683371298	2	TRUE
c22	0.00161960499453788	13.1601427398341	7.34936445608378	2.78784232149795	0.0231095473640833	739	0.844384303112314	2	TRUE
c23	0	11.9342821601776	10.5048594441335	2.6806489775724	0.0302128099328749	654	0.825688073394495	2	TRUE
c24	0.00365109147554116	13.2135834577071	7.22132493841994	3.27245890688827	0.022083045742975	361	0.92797783933518	2	TRUE
c25	0.00122101866412499	0.836647946327338	0.537738035031002	0.241613978387277	0.0200705574928753	351	0.205128205128205	1	FALSE
c26	0	14.68275457041	10.9422880568531	6.53567126669147	0	350	0.531428571428571	2	TRUE
c27	15.5290954448009	1.27991890673936	0.986651712836966	0.39270168476776	11.8724209037466	349	0.171919770773639	1	FALSE
c28	0	16.954257139745	11.5326688840882	4.67730130659788	0.0354113333422344	340	0.529411764705882	2	TRUE
c29	0	1.60141738404053	1.07433721431296	0.301822697158455	0.176079617027594	81	0.148148148148148	1	FALSE
c30	0.0922428280522733	1.09067086782477	0.727684615890482	0.279804550708575	0.510413530191571	76	0.0921052631578947	1	FALSE
