Colitis	Control	NoColitis
c1	2988	6011	5492
c2	1488	4188	3260
c3	6476	38	49
c4	1211	3231	2111
c5	2153	1854	1296
c6	1161	1939	1890
c7	2385	1593	1001
c8	1773	1812	1005
c9	845	1942	1266
c10	3541	70	131
c11	2829	96	179
c12	429	180	240
c13	155	351	194
c14	89	99	119
c15	148	45	28
