Diagnosis	Sample	seurat_clusters	.n
Colitis	C1	c1	173
Colitis	C1	c2	82
Colitis	C1	c3	1383
Colitis	C1	c4	202
Colitis	C1	c5	127
Colitis	C1	c6	49
Colitis	C1	c7	165
Colitis	C1	c8	219
Colitis	C1	c9	108
Colitis	C1	c10	296
Colitis	C1	c11	296
Colitis	C1	c12	34
Colitis	C1	c13	8
Colitis	C1	c14	1
Colitis	C1	c15	16
Colitis	C2	c1	82
Colitis	C2	c2	75
Colitis	C2	c3	1393
Colitis	C2	c4	82
Colitis	C2	c5	271
Colitis	C2	c6	64
Colitis	C2	c7	402
Colitis	C2	c8	100
Colitis	C2	c9	72
Colitis	C2	c10	624
Colitis	C2	c11	583
Colitis	C2	c12	61
Colitis	C2	c13	22
Colitis	C2	c15	19
Colitis	C3	c1	301
Colitis	C3	c2	214
Colitis	C3	c3	1196
Colitis	C3	c4	346
Colitis	C3	c5	275
Colitis	C3	c6	190
Colitis	C3	c7	233
Colitis	C3	c8	414
Colitis	C3	c9	106
Colitis	C3	c10	171
Colitis	C3	c11	468
Colitis	C3	c12	49
Colitis	C3	c13	5
Colitis	C3	c14	15
Colitis	C3	c15	22
Colitis	C4	c1	458
Colitis	C4	c2	135
Colitis	C4	c3	89
Colitis	C4	c4	310
Colitis	C4	c5	286
Colitis	C4	c6	197
Colitis	C4	c7	365
Colitis	C4	c8	193
Colitis	C4	c9	116
Colitis	C4	c10	523
Colitis	C4	c11	300
Colitis	C4	c12	106
Colitis	C4	c13	10
Colitis	C4	c14	25
Colitis	C4	c15	11
Colitis	C5	c1	186
Colitis	C5	c2	134
Colitis	C5	c3	1900
Colitis	C5	c4	58
Colitis	C5	c5	252
Colitis	C5	c6	68
Colitis	C5	c7	327
Colitis	C5	c8	198
Colitis	C5	c9	92
Colitis	C5	c10	279
Colitis	C5	c11	248
Colitis	C5	c12	39
Colitis	C5	c13	49
Colitis	C5	c14	6
Colitis	C5	c15	33
Colitis	C6	c1	677
Colitis	C6	c2	425
Colitis	C6	c3	46
Colitis	C6	c4	88
Colitis	C6	c5	485
Colitis	C6	c6	169
Colitis	C6	c7	159
Colitis	C6	c8	170
Colitis	C6	c9	154
Colitis	C6	c10	165
Colitis	C6	c11	208
Colitis	C6	c12	51
Colitis	C6	c13	30
Colitis	C6	c14	26
Colitis	C6	c15	8
Colitis	C7	c1	826
Colitis	C7	c2	379
Colitis	C7	c3	167
Colitis	C7	c4	111
Colitis	C7	c5	273
Colitis	C7	c6	319
Colitis	C7	c7	400
Colitis	C7	c8	144
Colitis	C7	c9	36
Colitis	C7	c10	376
Colitis	C7	c11	295
Colitis	C7	c12	40
Colitis	C7	c13	27
Colitis	C7	c14	16
Colitis	C7	c15	2
Colitis	C8	c1	285
Colitis	C8	c2	44
Colitis	C8	c3	302
Colitis	C8	c4	14
Colitis	C8	c5	184
Colitis	C8	c6	105
Colitis	C8	c7	334
Colitis	C8	c8	335
Colitis	C8	c9	161
Colitis	C8	c10	1107
Colitis	C8	c11	431
Colitis	C8	c12	49
Colitis	C8	c13	4
Colitis	C8	c15	37
Control	CT1	c1	505
Control	CT1	c2	400
Control	CT1	c3	10
Control	CT1	c4	843
Control	CT1	c5	184
Control	CT1	c6	371
Control	CT1	c7	241
Control	CT1	c8	287
Control	CT1	c9	526
Control	CT1	c10	12
Control	CT1	c11	20
Control	CT1	c12	26
Control	CT1	c13	49
Control	CT1	c14	10
Control	CT1	c15	13
Control	CT2	c1	670
Control	CT2	c2	303
Control	CT2	c4	220
Control	CT2	c5	104
Control	CT2	c6	198
Control	CT2	c7	253
Control	CT2	c8	388
Control	CT2	c9	219
Control	CT2	c10	4
Control	CT2	c11	15
Control	CT2	c12	9
Control	CT2	c13	66
Control	CT2	c14	26
Control	CT2	c15	9
Control	CT3	c1	1131
Control	CT3	c2	640
Control	CT3	c3	1
Control	CT3	c4	149
Control	CT3	c5	420
Control	CT3	c6	362
Control	CT3	c7	160
Control	CT3	c8	337
Control	CT3	c9	136
Control	CT3	c10	10
Control	CT3	c11	9
Control	CT3	c12	16
Control	CT3	c13	24
Control	CT3	c14	10
Control	CT3	c15	2
