Colitis	Control	NoColitis
c1	0.107983086986376	0.256343554096124	0.300750232736433
c2	0.053774709985183	0.17860036675338	0.17852253436285
c3	0.234035632973149	0.0016205381892618	0.00268331416680357
c4	0.0437642296989628	0.137788391829076	0.115601555226986
c5	0.0778070904557118	0.0790652053392469	0.070970921636274
c6	0.0419572837989231	0.0826900933941746	0.103499260719566
c7	0.0861913194318962	0.0679346667235277	0.0548162751218444
c8	0.0640743016154096	0.0772740841826944	0.0550353211762773
c9	0.0305373857106718	0.0828180306196426	0.0693280762280269
c10	0.127967908640815	0.00298520192758753	0.00717375828267893
c11	0.102236999024249	0.00409399121497718	0.00980231093587427
c12	0.0155035958223411	0.00767623352808222	0.0131427632659767
c13	0.00560153229012323	0.0149686553797603	0.0106237336399978
c14	0.00321636370207076	0.00422192844044522	0.0065166201193801
c15	0.00534855986411767	0.00191905838202056	0.00153332238103061
