Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Focal adhesion	98/201	7.0092563641361e-16	2.17987872924633e-13	3.2524900171815	113.492809075483	BAD;ACTN1;COL1A2;COL1A1;MAPK10;COL9A1;COL9A3;MYL9;TLN2;KDR;IGF1;PTK2;PDGFC;PDGFB;PDGFA;MYLK;PDGFD;PIP5K1B;RHOA;JUN;VEGFC;FN1;VEGFD;VAV2;VEGFA;COL4A1;COL4A2;COL4A5;COL4A6;RAC1;PDGFRB;PDGFRA;ITGA11;ROCK2;TNXB;TNC;EGFR;RELN;TNN;CCND1;FLNB;FLNC;SPP1;PAK4;HGF;PGF;COL6A1;COL6A3;COL6A2;COL6A5;VCL;PXN;IGF1R;ARHGAP5;ITGA5;LAMB4;CAV2;CAV1;LAMB2;LAMB1;PARVA;ITGA9;ITGA8;ITGA7;ITGA6;DOCK1;BCAR1;SHC4;SHC2;ILK;LAMC1;LAMC3;PIK3R3;LAMC2;ERBB2;VWF;CRK;MET;MYLK2;ITGB1;FLT1;SRC;ITGB6;LAMA3;FLT4;ITGB5;LAMA2;ITGB4;LAMA5;ITGB3;LAMA4;LAMA1;THBS1;THBS3;THBS2;MAPK3;ITGB8;ITGAV	1	KEGG_2021_Human
ECM-receptor interaction	52/88	2.93416164821189e-13	4.56262136296949e-11	4.9089414132489	141.658227747132	NPNT;ITGA5;LAMB4;FN1;LAMB2;LAMB1;COL1A2;COL1A1;ITGA11;ITGA9;COL9A1;ITGA8;ITGA7;COL9A3;ITGA6;AGRN;TNXB;SDC4;LAMC1;TNC;LAMC3;LAMC2;RELN;TNN;DAG1;SPP1;CD36;VWF;COL4A1;HSPG2;COL6A1;COL4A2;COL4A5;COL6A3;COL6A2;COL6A5;COL4A6;ITGB1;ITGB6;LAMA3;ITGB5;LAMA2;ITGB4;LAMA5;ITGB3;LAMA4;LAMA1;THBS1;THBS3;THBS2;ITGB8;ITGAV	2	KEGG_2021_Human
Axon guidance	85/182	1.17916454054019e-12	1.22240057369333e-10	2.98803903486436	82.0701223947514	EPHA7;SEMA4C;WNT5A;WNT5B;SEMA4G;L1CAM;CXCL12;PLXNB3;PLXNB2;PLXNB1;EPHA2;MYL9;NGEF;EPHA4;EPHA3;SEMA5B;SEMA5A;ROCK2;NTN1;NTN4;EFNB3;DPYSL2;EFNB2;ABLIM3;EFNB1;CFL2;SLIT2;SLIT3;PAK4;ARHGEF12;SEMA6C;SEMA6D;SEMA6A;TRPC6;SEMA6B;TRPC4;PARD3;SSH3;PTK2;EFNA1;SMO;PLXNA2;SRGAP1;LRRC4C;RHOA;NFATC4;PTCH1;RHOD;BMP7;RGMA;ENAH;FES;BMPR2;ILK;LRRC4;PIK3R3;BOC;RRAS;TRPC1;WNT4;UNC5B;UNC5C;UNC5D;MET;NRP1;ROBO3;ITGB1;SEMA3A;SRC;SEMA3D;SEMA3E;SEMA3B;SEMA3C;SEMA3F;SEMA3G;GNAI1;RND1;ROBO1;ROBO2;MAPK3;RAC1;EPHB3;NEO1;EPHB2;EPHB4	3	KEGG_2021_Human
Vascular smooth muscle contraction	61/133	4.1397883122087e-09	3.21868541274226e-07	2.87826779302543	55.5581128712315	GUCY1A2;GUCY1A1;AGT;AGTR1;CALM2;MYL9;RAMP3;ADCY1;ROCK2;ADCY5;ADCY4;ADCY3;CALML4;ADCY2;ADCY6;MYH14;MYH10;MYH11;ARHGEF12;ARHGEF11;PLA2G4F;PLA2G4C;PLA2G4A;AVPR1A;KCNMA1;GNAQ;CALCRL;GUCY1B1;PLA2G5;MYL6B;MYLK;ACTG2;CALD1;KCNMB1;KCNMB2;KCNMB3;KCNMB4;EDN1;RHOA;PLA2G2A;ACTA2;ADORA2B;NPR1;NPR2;ADM;ADRA1D;ADRA1A;PRKG1;PPP1R14A;PLA2G12A;PTGIR;PLCB4;PLA2G10;RAMP1;PLCB3;RAMP2;MYLK2;EDNRA;GNA11;GNA12;MAPK3	4	KEGG_2021_Human
PI3K-Akt signaling pathway	128/354	8.74584057028538e-09	4.9355039245024e-07	1.93350206675243	35.8755268476692	BAD;COL1A2;COL1A1;TEK;COL9A1;COL9A3;EPHA2;PRKAA2;CREB3L1;GNG5;GNG7;KDR;NGFR;INSR;IGF1;PTK2;PDGFC;PDGFB;PDGFA;LPAR1;GNG11;PDGFD;VEGFC;FN1;VEGFD;GNG12;OSMR;VEGFA;KITLG;SGK2;TLR4;SGK1;PCK1;SYK;COL4A1;COL4A2;COL4A5;COL4A6;PKN3;PKN2;CDKN1A;PPP2CB;RAC1;PDGFRB;PDGFRA;PRLR;ITGA11;TNXB;CSF1;TNC;EGFR;HSP90B1;RELN;RXRA;TNN;CCND1;NTF3;SPP1;HGF;PGF;CREB3;EFNA1;COL6A1;COL6A3;COL6A2;COL6A5;FGF10;FGFR1;GNB4;FGFR4;CREB5;FGFR3;FGFR2;IRS1;EIF4EBP1;FGF2;IGF1R;FGF7;ANGPT2;ITGA5;LAMB4;ANGPT1;BDNF;PPP2R5B;LAMB2;LAMB1;GH1;G6PC3;IL7;IL6;CDK4;IL3RA;ITGA9;ITGA8;ITGA7;ITGA6;YWHAE;LAMC1;LAMC3;PIK3R3;LAMC2;GHR;ERBB2;ERBB3;MAGI2;MAGI1;NOS3;VWF;PPP2R3A;MET;ITGB1;FLT1;ITGB6;LAMA3;FLT4;ITGB5;LAMA2;ITGB4;LAMA5;ITGB3;LAMA4;LAMA1;THBS1;THBS3;THBS2;MAPK3;ITGB8;ITGAV	5	KEGG_2021_Human
Pathways in cancer	178/531	9.91289859937346e-09	4.9355039245024e-07	1.72643224917335	31.8171606267872	BAD;AGTR1;ADCY1;ADCY5;ADCY4;ADCY3;FZD10;ADCY2;DLL1;ADCY6;DLL4;GNG5;TFG;GNG7;HES1;HES5;FZD1;FZD4;JAG1;JAG2;FZD6;FZD5;FZD8;FZD7;AR;CTBP2;PDGFB;PDGFA;GSTM5;GSTM3;GSTM2;JUN;GSTM1;JUP;FN1;PTCH1;WNT9A;RARB;RET;MECOM;EGLN3;CDKN2B;IFNGR2;HEYL;COL4A1;PLCB4;COL4A2;COL4A5;COL4A6;PPARG;PLCB3;CDKN1A;GSTP1;GLI2;GLI1;GLI3;PTGS2;HEY2;HEY1;ZBTB16;MITF;AGT;CXCL12;IL6ST;ROCK2;EGFR;HSP90B1;CDH1;PGF;SMO;NOTCH3;NOTCH4;NOTCH1;FGF2;FGF7;IL13RA1;TXNRD3;CDK4;IL3RA;ITGA6;NFE2L2;DVL3;CRK;MET;ITGB1;FLT4;EDNRA;EDNRB;ITGAV;MAPK10;CALM2;EPAS1;LRP6;LRP5;CALML4;GSTT2B;IGF1;PTK2;HHIP;MGST2;MGST3;MGST1;LPAR1;GNG11;SKP1;EDN1;RHOA;IL15;VEGFC;VEGFD;GNG12;KIF7;VEGFA;KITLG;ARNT2;NQO1;F2RL3;PTGER1;GNAI1;CTNNA2;CTNNA1;RAC1;PDGFRB;PDGFRA;TGFB2;WNT5A;WNT5B;GSTA4;RXRA;CCND1;RXRG;RUNX1T1;ARHGEF12;ARHGEF11;HGF;GNAQ;FGF10;FGFR1;GNB4;FGFR4;FGFR3;FGFR2;WNT2B;RASGRP3;CSF2RB;IGF1R;LAMB4;MMP1;MMP2;LAMB2;LAMB1;TGFBR2;BMP4;IL7;BMP2;IL6;CXCL8;LAMC1;LAMC3;PIK3R3;LAMC2;PLD1;WNT6;BDKRB1;ERBB2;BDKRB2;WNT4;TCF7L2;TCF7L1;LAMA3;LAMA2;LAMA5;LAMA4;LAMA1;GNA11;GNA12;MAPK3;NOS2	6	KEGG_2021_Human
Cell adhesion molecules	65/148	1.11088512770151e-08	4.9355039245024e-07	2.66098510123792	48.7373355115746	CADM3;CADM1;VCAM1;L1CAM;CNTN2;CNTN1;PVR;CLDN3;CLDN1;CDH5;CDH2;CDH1;MPZ;JAM2;JAM3;HLA-DOA;SELE;IGSF11;MAG;ESAM;SDC2;CDH15;CD276;ICAM1;ALCAM;LRRC4B;LRRC4C;CLDN11;PTPRF;VCAN;ITGA9;ITGA8;ITGA6;NLGN2;CD40;CNTNAP1;NLGN3;NCAM1;NLGN1;NRXN2;SDC3;NRXN1;SDC4;PTPRM;LRRC4;NRXN3;CD99L2;MADCAM1;MPZL1;NCAM2;CD34;NLGN4X;NLGN4Y;NEGR1;CLDN7;CLDN5;CLDN4;NFASC;NECTIN2;ITGB1;CLDN23;ITGB8;ITGAV;NRCAM;NEO1	7	KEGG_2021_Human
Rap1 signaling pathway	84/210	1.93415228341156e-08	7.51901700176243e-07	2.26844642195032	40.2899032366753	TEK;CALM2;EPHA2;PFN2;TLN2;ADCY1;ADCY5;ADCY4;ADCY3;CALML4;ADCY2;ADCY6;PLCE1;KDR;NGFR;INSR;PARD3;IGF1;PRKD1;PDGFC;PDGFB;PDGFA;LPAR1;GRIN2A;PDGFD;RHOA;VEGFC;VEGFD;VAV2;VEGFA;ENAH;MRAS;KITLG;ID1;RAPGEF2;RAPGEF3;RAPGEF4;RAPGEF5;RRAS;PLCB4;PLCB3;F2RL3;GNAI1;SIPA1L2;RAC1;PDGFRB;PDGFRA;CTNND1;CSF1;EGFR;CDH1;HGF;PGF;EFNA1;GNAQ;FGF10;FGFR1;FGFR4;FGFR3;FGFR2;DOCK4;FGF2;RASGRP3;IGF1R;FGF7;ANGPT2;ANGPT1;ARAP3;AFDN;ADORA2B;BCAR1;PIK3R3;P2RY1;MAGI2;MAGI1;CRK;MET;ITGB1;FLT1;SRC;FLT4;ITGB3;THBS1;MAPK3	8	KEGG_2021_Human
Fluid shear stress and atherosclerosis	60/139	8.56150782859158e-08	2.9584765941022e-06	2.57848017232445	41.9606506360518	ACVR1;IL1R1;TRPV4;VCAM1;ASS1;MAPK10;GSTA4;CALM2;SQSTM1;PRKAA2;CALML4;HSP90B1;CDH5;GPC1;KDR;GSTT2B;SELE;PTK2;SDC2;MGST2;TXN;MGST3;PDGFB;PDGFA;MGST1;PLAT;ICAM1;GSTM5;EDN1;RHOA;GSTM3;GSTM2;JUN;GSTM1;MMP2;CAV2;CAV1;ACVR2B;TNFRSF1A;VEGFA;ACVR2A;BMP4;BMPR1A;NFE2L2;BMPR2;SDC4;PIK3R3;CTSL;NQO1;MEF2A;MEF2C;NOS3;KLF2;SRC;GSTP1;ITGB3;THBD;CCL2;RAC1;ITGAV	9	KEGG_2021_Human
Arrhythmogenic right ventricular cardiomyopathy	39/77	9.68158458317897e-08	3.01097280536866e-06	3.47749246464178	56.1630861175269	ITGA5;JUP;CACNA2D1;DES;ITGA11;ITGA9;DSG2;ITGA8;PKP2;ITGA7;ITGA6;DSC2;LMNA;CDH2;DAG1;DSP;TCF7L2;TCF7L1;CACNB3;RYR2;ITGB1;ITGB6;ITGB5;LAMA2;ITGB4;ITGB3;ATP2A2;LAMA1;SLC8A1;SLC8A3;SGCD;GJA1;SGCB;SGCA;CTNNA2;CTNNA1;ITGB8;DMD;ITGAV	10	KEGG_2021_Human
