Sample	seurat_clusters	Diagnosis	.n	.frac
C6	c14	Colitis	34	0.0117322291235335
C6	c15	Colitis	25	0.00862663906142167
C6	c16	Colitis	8	0.00276052449965493
C6	c17	Colitis	5	0.00172532781228433
C6	c19	Colitis	4	0.00138026224982747
CT1	c1	Control	480	0.136054421768707
CT1	c2	Control	403	0.114229024943311
CT1	c3	Control	7	0.00198412698412698
CT1	c4	Control	835	0.236678004535147
CT1	c5	Control	194	0.0549886621315193
CT1	c6	Control	379	0.107426303854875
CT1	c7	Control	281	0.0796485260770975
CT1	c8	Control	250	0.0708616780045351
CT1	c9	Control	526	0.149092970521542
CT1	c10	Control	30	0.00850340136054422
CT1	c11	Control	22	0.00623582766439909
CT1	c12	Control	1	0.000283446712018141
CT1	c13	Control	25	0.00708616780045352
CT1	c14	Control	52	0.0147392290249433
CT1	c15	Control	9	0.00255102040816327
CT1	c16	Control	10	0.00283446712018141
CT1	c17	Control	12	0.00340136054421769
CT1	c18	Control	8	0.00226757369614512
CT1	c19	Control	4	0.00113378684807256
CT2	c1	Control	660	0.259433962264151
CT2	c2	Control	300	0.117924528301887
CT2	c4	Control	220	0.0864779874213836
CT2	c5	Control	106	0.0416666666666667
CT2	c6	Control	214	0.0841194968553459
CT2	c7	Control	381	0.149764150943396
CT2	c8	Control	253	0.0994496855345912
CT2	c9	Control	223	0.0876572327044025
CT2	c10	Control	40	0.0157232704402516
CT2	c11	Control	3	0.00117924528301887
CT2	c13	Control	10	0.00393081761006289
CT2	c14	Control	66	0.0259433962264151
CT2	c15	Control	36	0.0141509433962264
CT2	c16	Control	17	0.00668238993710692
CT2	c17	Control	8	0.00314465408805031
CT2	c18	Control	4	0.00157232704402516
CT2	c19	Control	3	0.00117924528301887
CT3	c1	Control	1121	0.327490505404616
CT3	c2	Control	641	0.187262635115396
CT3	c3	Control	3	0.000876424189307625
CT3	c4	Control	143	0.0417762196903301
CT3	c5	Control	424	0.123867952088811
CT3	c6	Control	364	0.106339468302658
CT3	c7	Control	339	0.0990359333917616
CT3	c8	Control	156	0.0455740578439965
CT3	c9	Control	145	0.0423605024832019
CT3	c10	Control	18	0.00525854513584575
CT3	c11	Control	8	0.002337131171487
CT3	c12	Control	1	0.000292141396435875
CT3	c13	Control	17	0.00496640373940987
CT3	c14	Control	26	0.00759567630733275
CT3	c15	Control	1	0.000292141396435875
CT3	c16	Control	9	0.00262927256792287
CT3	c17	Control	1	0.000292141396435875
CT3	c18	Control	5	0.00146070698217937
CT3	c19	Control	1	0.000292141396435875
CT4	c1	Control	512	0.215760640539402
CT4	c2	Control	448	0.188790560471976
CT4	c3	Control	32	0.0134850400337126
CT4	c4	Control	209	0.0880741677201854
CT4	c5	Control	342	0.144121365360303
CT4	c6	Control	127	0.0535187526337969
CT4	c7	Control	138	0.0581542351453856
CT4	c8	Control	271	0.114201432785504
CT4	c9	Control	173	0.0729034976822587
CT4	c10	Control	11	0.00463548251158871
CT4	c11	Control	19	0.00800674252001686
CT4	c13	Control	37	0.0155920775389802
CT4	c14	Control	24	0.0101137800252845
CT4	c15	Control	5	0.00210703750526759
CT4	c16	Control	16	0.0067425200168563
CT4	c17	Control	3	0.00126422250316056
CT4	c18	Control	1	0.000421407501053519
CT4	c19	Control	5	0.00210703750526759
CT6	c1	Control	1483	0.399730458221024
CT6	c2	Control	758	0.204312668463612
CT6	c4	Control	339	0.0913746630727763
CT6	c5	Control	147	0.039622641509434
CT6	c6	Control	319	0.0859838274932615
CT6	c7	Control	197	0.053099730458221
CT6	c8	Control	120	0.032345013477089
CT6	c9	Control	261	0.0703504043126685
CT6	c10	Control	6	0.00161725067385445
CT6	c11	Control	1	0.000269541778975741
CT6	c13	Control	18	0.00485175202156334
CT6	c14	Control	29	0.0078167115902965
CT6	c15	Control	7	0.00188679245283019
CT6	c16	Control	15	0.00404312668463612
CT6	c17	Control	4	0.00107816711590297
CT6	c18	Control	2	0.000539083557951483
CT6	c19	Control	4	0.00107816711590297
NC1	c1	NoColitis	778	0.280259365994236
NC1	c2	NoColitis	162	0.05835734870317
NC1	c3	NoColitis	5	0.00180115273775216
NC1	c4	NoColitis	178	0.0641210374639769
NC1	c5	NoColitis	106	0.0381844380403458
NC1	c6	NoColitis	276	0.0994236311239193
NC1	c7	NoColitis	535	0.192723342939481
NC1	c8	NoColitis	257	0.0925792507204611
NC1	c9	NoColitis	333	0.119956772334294
NC1	c10	NoColitis	46	0.0165706051873199
NC1	c11	NoColitis	19	0.00684438040345821
NC1	c13	NoColitis	59	0.0212536023054755
NC1	c14	NoColitis	3	0.0010806916426513
NC1	c16	NoColitis	4	0.00144092219020173
NC1	c17	NoColitis	2	0.000720461095100865
NC1	c18	NoColitis	3	0.0010806916426513
NC1	c19	NoColitis	10	0.00360230547550432
NC2	c1	NoColitis	860	0.265104808877928
NC2	c2	NoColitis	393	0.1211467324291
NC2	c3	NoColitis	3	0.00092478421701603
NC2	c4	NoColitis	379	0.116831072749692
NC2	c5	NoColitis	416	0.128236744759556
NC2	c6	NoColitis	532	0.163995067817509
NC2	c7	NoColitis	137	0.0422318125770654
NC2	c8	NoColitis	136	0.0419235511713933
NC2	c9	NoColitis	202	0.062268803945746
NC2	c10	NoColitis	44	0.0135635018495684
NC2	c11	NoColitis	31	0.00955610357583231
NC2	c13	NoColitis	52	0.0160295930949445
NC2	c14	NoColitis	18	0.00554870530209618
NC2	c15	NoColitis	13	0.00400739827373613
NC2	c16	NoColitis	19	0.00585696670776819
NC2	c17	NoColitis	4	0.00123304562268804
NC2	c18	NoColitis	3	0.00092478421701603
NC2	c19	NoColitis	2	0.00061652281134402
NC3	c1	NoColitis	720	0.301255230125523
