Sample	Identity	.n	.frac
C1	c1	173	0.0546430827542641
C1	c2	74	0.0233733417561592
C1	c3	1334	0.421351863550221
C1	c4	200	0.0631711939355654
C1	c5	143	0.0451674036639292
C1	c6	43	0.0135818066961466
C1	c7	174	0.0549589387239419
C1	c8	110	0.034744156664561
C1	c9	324	0.102337334175616
C1	c10	272	0.0859128237523689
C1	c11	99	0.0312697409981049
C1	c12	125	0.0394819962097284
C1	c13	29	0.00915982312065698
C1	c14	33	0.0104232469993683
C1	c15	9	0.00284270372710044
C1	c16	1	0.000315855969677827
C1	c17	5	0.00157927984838913
C1	c18	18	0.00568540745420088
C2	c1	88	0.0228097459823743
C2	c2	70	0.0181441161223432
C2	c3	1343	0.348107827890098
C2	c4	76	0.0196993260756869
C2	c5	282	0.073094867807154
C2	c6	58	0.0150336962156558
C2	c7	413	0.107050285121825
C2	c8	73	0.018921721099015
C2	c9	626	0.162260238465526
C2	c10	612	0.158631415241058
C2	c11	56	0.0145152928978745
C2	c12	46	0.0119232763089684
C2	c13	11	0.00285121824779679
C2	c14	60	0.015552099533437
C2	c15	24	0.00622083981337481
C2	c16	2	0.000518403317781234
C2	c17	5	0.00129600829445308
C2	c18	12	0.0031104199066874
C2	c19	1	0.000259201658890617
C3	c1	287	0.0712512413108242
C3	c2	212	0.0526315789473684
C3	c3	109	0.0270605759682224
C3	c4	344	0.0854021847070506
C3	c5	293	0.0727408142999007
C3	c6	197	0.0489076464746773
C3	c7	225	0.0558589870903674
C3	c8	108	0.0268123138033764
C3	c9	489	0.121400198609732
C3	c10	157	0.0389771598808342
C3	c11	290	0.0719960278053625
C3	c12	129	0.032025819265144
C3	c13	1095	0.271847070506455
C3	c14	44	0.0109235352532274
C3	c15	5	0.00124131082423039
C3	c16	2	0.000496524329692155
C3	c17	8	0.00198609731876862
C3	c18	23	0.00571002979145978
C3	c19	4	0.00099304865938431
C3	c20	7	0.00173783515392254
C4	c1	469	0.14950589735416
C4	c2	125	0.0398469875677399
C4	c3	71	0.0226330889384763
C4	c4	312	0.0994580809690787
C4	c5	304	0.0969078737647434
C4	c6	184	0.0586547656997131
