seurat_clusters	Diagnosis	.n	.frac
c1	Colitis	1834	0.172514344840561
c1	Control	4256	0.400338632301759
c1	NoColitis	4541	0.42714702285768
c2	Colitis	940	0.156692782130355
c2	Control	2550	0.425070845140857
c2	NoColitis	2509	0.418236372728788
c3	Colitis	4738	0.984008307372793
c3	Control	42	0.00872274143302181
c3	NoColitis	35	0.00726895119418484
c4	Colitis	1067	0.229363714531384
c4	Control	1746	0.375322441960447
c4	NoColitis	1839	0.395313843508169
c5	Colitis	1857	0.442458899213724
c5	Control	1213	0.289015963783655
c5	NoColitis	1127	0.268525137002621
c6	Colitis	771	0.200468018720749
c6	Control	1403	0.364794591783671
c6	NoColitis	1672	0.43473738949558
c7	Colitis	1258	0.355367231638418
c7	Control	1336	0.377401129943503
c7	NoColitis	946	0.267231638418079
c8	Colitis	1664	0.472593013348481
c8	Control	1050	0.298210735586481
c8	NoColitis	807	0.229196251065038
c9	Colitis	658	0.223657375934738
c9	Control	1328	0.451393609789259
c9	NoColitis	956	0.324949014276003
c10	Colitis	2278	0.867148838979825
c10	Control	105	0.0399695470118005
c10	NoColitis	244	0.0928816140083746
c11	Colitis	2051	0.919730941704036
c11	Control	53	0.0237668161434978
c11	NoColitis	126	0.0565022421524664
c12	Colitis	1160	0.996563573883162
c12	Control	2	0.00171821305841924
c12	NoColitis	2	0.00171821305841924
c13	Colitis	360	0.536512667660209
c13	Control	107	0.15946348733234
c13	NoColitis	204	0.304023845007452
c14	Colitis	140	0.280561122244489
c14	Control	197	0.394789579158317
c14	NoColitis	162	0.324649298597194
c15	Colitis	41	0.176724137931034
c15	Control	58	0.25
c15	NoColitis	133	0.573275862068966
c16	Colitis	91	0.395652173913043
c16	Control	67	0.291304347826087
c16	NoColitis	72	0.31304347826087
c17	Colitis	94	0.657342657342657
c17	Control	28	0.195804195804196
c17	NoColitis	21	0.146853146853147
c18	Colitis	9	0.191489361702128
c18	Control	20	0.425531914893617
c18	NoColitis	18	0.382978723404255
c19	Colitis	12	0.266666666666667
c19	Control	17	0.377777777777778
c19	NoColitis	16	0.355555555555556
