Colitis	Control	NoColitis
c1	1909	4355	4656
c2	941	2542	2498
c3	4745	50	41
c4	1065	1734	1828
c5	1870	1230	1144
c6	704	1319	1584
c7	1662	1054	814
c8	648	1324	937
c9	2258	106	242
c10	1998	44	119
c11	906	724	373
c12	404	603	579
c13	1187	2	2
c14	350	103	198
c15	128	198	154
c16	41	58	133
c17	90	67	72
c18	96	28	22
c19	9	20	18
c20	12	17	16
