Diagnosis	Sample	seurat_clusters	.n
Colitis	C1	c1	173
Colitis	C1	c2	74
Colitis	C1	c3	1334
Colitis	C1	c4	200
Colitis	C1	c5	143
Colitis	C1	c6	43
Colitis	C1	c7	174
Colitis	C1	c8	110
Colitis	C1	c9	324
Colitis	C1	c10	272
Colitis	C1	c11	99
Colitis	C1	c12	125
Colitis	C1	c13	29
Colitis	C1	c14	33
Colitis	C1	c15	9
Colitis	C1	c16	1
Colitis	C1	c17	5
Colitis	C1	c18	18
Colitis	C2	c1	88
Colitis	C2	c2	70
Colitis	C2	c3	1343
Colitis	C2	c4	76
Colitis	C2	c5	282
Colitis	C2	c6	58
Colitis	C2	c7	413
Colitis	C2	c8	73
Colitis	C2	c9	626
Colitis	C2	c10	612
Colitis	C2	c11	56
Colitis	C2	c12	46
Colitis	C2	c13	11
Colitis	C2	c14	60
Colitis	C2	c15	24
Colitis	C2	c16	2
Colitis	C2	c17	5
Colitis	C2	c18	12
Colitis	C2	c19	1
Colitis	C3	c1	287
Colitis	C3	c2	212
Colitis	C3	c3	109
Colitis	C3	c4	344
Colitis	C3	c5	293
Colitis	C3	c6	197
Colitis	C3	c7	225
Colitis	C3	c8	108
Colitis	C3	c9	489
Colitis	C3	c10	157
Colitis	C3	c11	290
Colitis	C3	c12	129
Colitis	C3	c13	1095
Colitis	C3	c14	44
Colitis	C3	c15	5
Colitis	C3	c16	2
Colitis	C3	c17	8
Colitis	C3	c18	23
Colitis	C3	c19	4
Colitis	C3	c20	7
Colitis	C4	c1	469
Colitis	C4	c2	125
Colitis	C4	c3	71
Colitis	C4	c4	312
Colitis	C4	c5	304
Colitis	C4	c6	184
Colitis	C4	c7	365
Colitis	C4	c8	119
Colitis	C4	c9	323
Colitis	C4	c10	504
Colitis	C4	c11	179
Colitis	C4	c12	22
Colitis	C4	c13	19
Colitis	C4	c14	111
Colitis	C4	c15	9
Colitis	C4	c16	1
Colitis	C4	c17	8
Colitis	C4	c18	8
Colitis	C4	c19	3
Colitis	C4	c20	1
Colitis	C5	c1	186
Colitis	C5	c2	133
Colitis	C5	c3	1853
Colitis	C5	c4	47
Colitis	C5	c5	268
Colitis	C5	c6	63
Colitis	C5	c7	330
Colitis	C5	c8	94
Colitis	C5	c9	261
Colitis	C5	c10	294
Colitis	C5	c11	165
Colitis	C5	c12	28
Colitis	C5	c13	28
Colitis	C5	c14	40
Colitis	C5	c15	49
Colitis	C5	c16	10
Colitis	C5	c17	56
Colitis	C5	c18	30
Colitis	C5	c19	1
Colitis	C6	c1	706
Colitis	C6	c2	327
Colitis	C6	c3	35
Colitis	C6	c4	86
Colitis	C6	c5	580
Colitis	C6	c6	159
Colitis	C6	c7	155
Colitis	C6	c8	144
Colitis	C6	c9	235
Colitis	C6	c10	159
Colitis	C6	c11	117
Colitis	C6	c12	54
Colitis	C6	c13	5
Colitis	C6	c14	62
Colitis	C6	c15	32
Colitis	C6	c16	25
Colitis	C6	c17	8
Colitis	C6	c18	5
Colitis	C6	c20	4
Control	CT1	c1	499
Control	CT1	c2	401
Control	CT1	c3	7
Control	CT1	c4	835
Control	CT1	c5	195
Control	CT1	c6	361
Control	CT1	c7	257
Control	CT1	c8	524
Control	CT1	c9	30
Control	CT1	c10	15
Control	CT1	c11	114
Control	CT1	c12	170
Control	CT1	c13	1
Control	CT1	c14	24
Control	CT1	c15	52
Control	CT1	c16	9
Control	CT1	c17	10
Control	CT1	c18	12
Control	CT1	c19	8
Control	CT1	c20	4
