Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	60/158	5.30156399411526e-48	1.426120714417e-45	19.9083011583012	2167.13967518347	RPL22;RPS8;RPL21;RPS6;RPSA;FAU;RPL26;RPL22L1;RPL27;RPL11;RPL10;RPL13;RPL12;RPS4Y1;RPL36AL;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPS27;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL3;RPL31;RPL30;RPL32;RPL35;RPL34;RPL9;RPS16;RPS18;RPS19;RPL37;RPL36;RPL39;RPS10;RPL38;RPS12;RPS14;RPS13;RPS3A;RPL36A;RPS15A;RPS27A;RPL35A;RPL23A;RPLP0;RPLP2;RPLP1;RPL10A	1	KEGG_2021_Human
Coronavirus disease	69/232	7.04189440789064e-47	9.47134797861291e-45	13.9301160698313	1480.34817117305	RPL22;RPL21;RPL26;RPL22L1;RPL27;RPL11;RPL10;RPL13;C3AR1;RPL12;RPS4Y1;RPL36AL;RPL14;RPL17;RPL19;RPL18;RPS27;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL3;RPL31;RPL30;RPL32;RPL35;RPL34;RPL9;RPS16;RPS18;RPS19;RPL37;RPL36;RPL39;RPS10;RPL38;RPS12;RPS14;RPS13;ACE;JUN;RPS15A;RPS27A;FOS;RPLP0;RPLP2;RPLP1;RPS8;RPS6;RPSA;FAU;CSF2;TNF;NLRP3;RPS5;RPS2;RPS3;RPS3A;IL2;NFKBIA;RPL36A;RPL35A;RPL23A;RPL10A	2	KEGG_2021_Human
Inflammatory bowel disease	12/65	1.07898884112898e-06	9.67493327545648e-05	6.82606132075472	93.7865754097355	JUN;IL2;IL23A;IFNG;IL18R1;TNF;SMAD3;IFNGR1;STAT4;GATA3;RORA;IL18RAP	3	KEGG_2021_Human
Th17 cell differentiation	15/107	1.99645111037438e-06	0.00010406666233887	4.92867381066139	64.6846021404087	CD4;IL23A;AHR;SMAD3;GATA3;RORA;HSP90AA1;JUN;IL2;NFKBIA;IFNG;RARA;IFNGR1;FOS;HSP90AB1	4	KEGG_2021_Human
Lipid and atherosclerosis	22/215	2.28323991157538e-06	0.00010406666233887	3.46582778188996	45.0208086720541	CALM1;HSPA1B;AKT3;ABCA1;XBP1;JUN;FOS;CD40LG;PLCB1;ERN1;NCF1;TNF;NLRP3;TNFRSF10B;NCF4;HSP90AA1;HSPA8;HSPA2;NFKBIA;BCL2;CYCS;HSP90AB1	5	KEGG_2021_Human
Salmonella infection	24/249	2.32118949454729e-06	0.00010406666233887	3.24806794055202	42.1385846296312	AHNAK;AKT3;MYC;S100A10;MYL12A;JUN;TUBB2A;RHOB;FOS;TUBB4B;TUBA1A;TUBA1C;TNF;NLRP3;RPS3;TNFRSF10B;TCF7;HSP90AA1;NFKBIA;BCL2;CYCS;TRADD;DYNLT3;HSP90AB1	6	KEGG_2021_Human
Apoptosis	17/142	3.9209154253792e-06	0.000136942660601069	4.11705196850394	51.2539432760426	ERN1;TNF;LMNA;AKT3;GADD45B;TNFRSF10B;CTSB;JUN;NFKBIA;BCL2;CYCS;BCL2A1;TRADD;MCL1;FOS;TUBA1A;TUBA1C	7	KEGG_2021_Human
Colorectal cancer	13/86	4.07264418144444e-06	0.000136942660601069	5.37172808540742	66.6696888065802	JUN;AXIN2;BCL2;CYCS;AREG;CCND1;AKT3;MYC;SMAD3;GADD45B;FOS;TCF7;CDKN1A	8	KEGG_2021_Human
JAK-STAT signaling pathway	18/162	5.97326064621217e-06	0.000178534123759008	3.78627760252366	45.5421709265519	IL23A;CSF2;IFNL1;CCND1;AKT3;MYC;CISH;IL7R;IL5RA;IL2;IFNG;BCL2;SOCS3;MCL1;IFNGR1;STAT4;CDKN1A;FHL1	9	KEGG_2021_Human
Legionellosis	10/57	1.36980692156409e-05	0.000368478061900741	6.39656658049977	71.6303879672736	HSPA8;HSPA2;CLK1;EEF1A1;NFKBIA;EEF1G;CYCS;HSPA1B;TNF;CR1	10	KEGG_2021_Human
Pathways in cancer	36/531	3.06570977013873e-05	0.000749705389243017	2.2258559622196	23.1325338408348	AKT3;MYC;NKX3-1;JUN;PTCH1;RARA;EGLN3;IFNGR1;STAT4;FOS;PLCB1;CDKN1A;IL5RA;HSP90AA1;BCL2;ITGA6;HSP90AB1;IL23A;CALM1;EPAS1;FLT3LG;GADD45B;MGST3;PTGER2;PTGER4;CXCR4;CCND1;SMAD3;TCF7;IL7R;IGF1R;AXIN2;IL2;NFKBIA;IFNG;CYCS	11	KEGG_2021_Human
Measles	15/139	4.94824621185294e-05	0.00110923185915703	3.6506811161189	36.1924592309009	HSPA1B;SLAMF1;CCND1;AKT3;JUN;HSPA8;HSPA2;IL2;NFKBIA;BCL2;CYCS;TRADD;TNFAIP3;FOS;CD46	12	KEGG_2021_Human
IL-17 signaling pathway	12/94	5.41077053180636e-05	0.00111961328696609	4.40533536585366	43.2803668846951	HSP90AA1;JUN;NFKBIA;IFNG;CSF2;TRADD;TNFAIP3;TNF;JUND;FOS;FOSB;HSP90AB1	13	KEGG_2021_Human
Toxoplasmosis	13/112	7.33101415360181e-05	0.00140860200522778	3.95562827018226	37.6607915282659	HSPA1B;TNF;AKT3;HSPA8;HSPA2;NFKBIA;IFNG;BCL2;CYCS;ITGA6;IFNGR1;IRGM;CD40LG	14	KEGG_2021_Human
MAPK signaling pathway	23/294	0.000104603249186391	0.00187588493540929	2.57405593133833	23.5920873489716	CACNA2D4;HSPA1B;AKT3;FLT3LG;MYC;JUND;GADD45B;DUSP6;JUN;DUSP1;AREG;MAP4K2;FOS;TNF;MAP3K8;CACNA1I;IGF1R;NR4A1;HSPA8;HSPA2;RASGRF2;TRADD;ERBB3	15	KEGG_2021_Human
T cell receptor signaling pathway	12/104	0.000145744554126946	0.00245033031625927	3.92445652173913	34.6672953597964	CD4;CSF2;TNF;AKT3;MAP3K8;JUN;IL2;NFKBIA;IFNG;ICOS;FOS;CD40LG	16	KEGG_2021_Human
Leishmaniasis	10/77	0.00019395608025813	0.00306906974055512	4.48249407169759	38.3158161136168	JUN;EEF1A1;NFKBIA;IFNG;NCF1;TNF;CR1;IFNGR1;FOS;NCF4	17	KEGG_2021_Human
TGF-beta signaling pathway	11/94	0.000240981979367965	0.00360134180277681	3.98314004849351	33.1826969182415	ACVR2A;BAMBI;ID1;IFNG;NBL1;ZFYVE9;TNF;MYC;SMAD3;ACVR1C;NEO1	18	KEGG_2021_Human
Osteoclast differentiation	13/127	0.000263027375630156	0.00372391389707958	3.4324739862175	28.2947495667749	NCF1;TNF;AKT3;JUND;NCF4;JUNB;JUN;NFKBIA;IFNG;SOCS3;IFNGR1;FOS;FOSB	19	KEGG_2021_Human
TNF signaling pathway	12/112	0.000294132818767413	0.00395608641242171	3.609	29.3465081734047	CSF2;TNF;AKT3;MAP3K8;JUNB;JUN;NFKBIA;IL18R1;TRADD;TNFAIP3;SOCS3;FOS	20	KEGG_2021_Human
Prostate cancer	11/97	0.000317958457732918	0.00407289643476929	3.84359467401952	30.9547349380355	SPINT1;CCND1;AKT3;TCF7;IGF1R;NKX3-1;HSP90AA1;NFKBIA;BCL2;HSP90AB1;CDKN1A	21	KEGG_2021_Human
Protein processing in endoplasmic reticulum	15/171	0.000495055926338375	0.00605318382659195	2.89699311677334	22.0485505693066	ERN1;HSPA1B;PRKN;PPP1R15A;XBP1;STT3B;HSP90AA1;HSPA8;HSPA2;BCL2;TRAM1;DNAJB1;DNAJA1;DAD1;HSP90AB1	22	KEGG_2021_Human
C-type lectin receptor signaling pathway	11/104	0.000580899233546214	0.00653067857663056	3.55300018452351	26.4731672206187	IL23A;CALM1;TNF;AKT3;NLRP3;EGR2;EGR3;PLK3;JUN;IL2;NFKBIA	23	KEGG_2021_Human
p53 signaling pathway	9/73	0.000594026890034633	0.00653067857663056	4.21743779160187	31.3295992089173	BCL2;CYCS;CCND1;PERP;GADD45B;IGFBP3;TNFRSF10B;CDKN1A;SESN1	24	KEGG_2021_Human
Kaposi sarcoma-associated herpesvirus infection	16/193	0.000608541075510497	0.00653067857663056	2.7247983512774	20.1756226478051	CALM1;AKT3;MYC;JUN;CD200R1;RPS27A;IFNGR1;FOS;CDKN1A;CSF2;ZFP36;CCND1;TCF7;NFKBIA;CYCS;TRADD	25	KEGG_2021_Human
Fluid shear stress and atherosclerosis	13/139	0.000631218003689199	0.00653067857663056	3.10363415058251	22.8671396342845	NCF1;CALM1;TNF;AKT3;MGST3;HSP90AA1;JUN;DUSP1;ACVR2A;IFNG;BCL2;FOS;HSP90AB1	26	KEGG_2021_Human
