Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Parkinson disease	107/249	1.26451988816075e-19	3.99588284658797e-17	3.43291931617836	149.381507546384	PSMC6;PSMC4;UQCRC2;BAX;PSMC1;UQCRC1;CALM3;UBE2L6;UBE2L3;PSMD9;PSMD7;PSMD8;PSMD6;PSMD4;COX8A;DAXX;XBP1;COX7A2L;ATF4;TXN;UBE2J1;UBE2J2;PLCG1;ATP5F1D;COX6C;UBE2G1;COX7B;ATP5PD;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA10;COX5B;GNAI2;PSMB7;ATP5F1A;ATP5F1B;ATP5F1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;SDHB;SDHC;ERN1;PINK1;PPIF;NDUFB11;NDUFB10;PARK7;COX6A1;KIF5B;NDUFV2;MAP3K5;SEM1;BCL2L1;TXN2;ATP5MC3;HTRA2;COX7A2;ATP5MC2;UQCRH;UBB;CYC1;APAF1;EIF2AK3;NDUFS8;NDUFS7;NDUFS6;ADORA2A;NDUFS4;NDUFS3;NDUFS2;NFE2L2;NDUFB9;PSMD13;SLC25A4;UBA7;NDUFB5;NDUFB4;ITPR2;NDUFB3;CASP9;UQCRFS1;CASP3;COX4I1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA2;DDIT3;VDAC3;VDAC1;SLC25A6;SLC25A5;MAPK9	1	KEGG_2021_Human
Huntington disease	120/306	5.43234836437038e-18	8.5831104157052e-16	2.94202291397242	116.957650098248	ATG13;PSMC6;PSMC4;TBPL1;UQCRC2;BAX;PSMC1;UQCRC1;STX1A;PSMD9;PSMD7;PSMD8;PSMD6;PSMD4;NRBF2;AP2S1;COX8A;CREBBP;COX7A2L;ATG2A;ATP5F1D;COX6C;COX7B;CLTC;CLTB;CLTA;ACTR1A;ACTR1B;ATG101;ATP5PD;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;NDUFAB1;PSMA1;COX5A;NDUFA12;HTT;NDUFA10;AP2A1;COX5B;PSMB7;ATP5F1A;ATP5F1B;ATP5F1C;PSMB6;PSMB3;PSMB4;EP300;PSMB1;PSMB2;SDHB;SDHC;ERN1;PPIF;NDUFB11;NDUFB10;COX6A1;KIF5B;NDUFV2;MAP3K5;CREB1;SEM1;DNAL4;ATP5MC3;COX7A2;ATP5MC2;UQCRH;CYC1;AP2M1;MAP2K7;APAF1;GPX7;WIPI1;WIPI2;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;PIK3C3;NDUFB9;PSMD13;SLC25A4;NDUFB5;NDUFB4;NDUFB3;CASP8;CASP9;UQCRFS1;CASP3;COX4I1;DNAI2;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA2;VDAC3;VDAC1;SLC25A6;SLC25A5;BECN1;DCTN6;DCTN3;DCTN2;DCTN5;RB1CC1;AMBRA1;MAPK9;POLR2A;POLR2E;POLR2G;POLR2J	2	KEGG_2021_Human
Pathways of neurodegeneration	164/475	1.23207727721047e-17	1.29778806532837e-15	2.41610548241623	94.0716588861928	BAD;ATG13;PSMC6;PSMC4;UQCRC2;BAX;PSMC1;UQCRC1;OPTN;PSMD9;PSMD7;PSMD8;PSMD6;PSMD4;NRBF2;GABARAPL2;DAXX;GABARAPL1;PRKCB;ATG2A;ATF4;GABARAP;TBK1;PLCG1;CSNK1A1;TOMM40L;ATG101;ATXN1;CSNK2A2;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA1;NDUFA12;HTT;NDUFA10;PSMB7;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;BID;PINK1;PARK7;TANK;NRAS;MAP3K5;MAP2K2;MAP2K3;BCL2L1;FASLG;UQCRH;MAP2K7;APAF1;GPX7;EIF2AK3;WIPI1;WIPI2;TNFRSF1A;TNFRSF1B;CDK5;PIK3C3;NDUFB9;SLC25A4;NDUFB5;NDUFB4;ITPR2;NDUFB3;COX4I1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA2;SLC25A6;SLC25A5;BECN1;AMBRA1;HSD17B10;BAK1;MAPK11;APC;CALM3;STX1A;UBE2L6;UBE2L3;FRAT2;COX8A;XBP1;COX7A2L;CSNK2B;UBE2J1;UBE2J2;ATP5F1D;COX6C;UBE2G1;COX7B;ACTR1A;ACTR1B;PPP3CC;ATP5PD;ATP5PB;NDUFAB1;COX5A;COX5B;ATP5F1A;ATP5F1B;ATP5F1C;RAB8A;SDHB;SDHC;ERN1;PPIF;PPID;NDUFB11;NDUFB10;COX6A1;KIF5B;CAPN1;CAPN2;NDUFV2;SEM1;DNAL4;ATP5MC3;HTRA2;COX7A2;ATP5MC2;UBB;CYC1;AXIN1;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;GSK3B;PSMD13;UBA7;CASP8;CASP9;CASP7;UQCRFS1;CASP3;DNAI2;CAT;DDIT3;VDAC3;KRAS;VDAC1;DCTN6;DCTN3;DCTN2;DCTN5;ATP2A3;RB1CC1;MAPK9;MAPK3;MAPK1	3	KEGG_2021_Human
Epstein-Barr virus infection	88/202	7.78474837500544e-17	6.1499512162543e-15	3.50413807321886	129.974718844538	RUNX3;MAPK11;PSMC6;PSMC4;BAX;PSMC1;RB1;PSMD7;PSMD8;PSMD6;PSMD4;AKT1;E2F3;B2M;HLA-DRB5;HLA-A;HLA-B;HLA-G;HLA-E;HLA-F;SNW1;HLA-DRB1;TBK1;PLCG2;TYK2;NCOR2;HLA-DQB1;CD3G;CD3E;CD3D;STAT1;STAT2;HLA-DPB1;CD44;CDKN1B;IKBKB;HLA-DPA1;CD58;IKBKG;JAK3;BID;HLA-DMA;IKBKE;JAK1;TAP2;TAP1;RELB;BCL2L11;CCND3;CIR1;HLA-DOA;MAP2K3;DDX58;TRAF3;ISG15;NFKB2;MYD88;MAVS;SEM1;TRAF5;MAP3K14;MDM2;MAP2K7;APAF1;IRAK4;OAS1;NFKBIB;NFKBIA;OAS2;IRF3;HLA-DRA;IRF9;IRF7;CD247;NFKBIE;PSMD13;TRADD;TNFAIP3;CASP8;CASP9;IRAK1;CASP3;ADRM1;PIK3CD;ITGAL;MAPK9;SAP30L;BAK1	4	KEGG_2021_Human
Shigellosis	99/246	5.94875172356127e-16	3.75961108929073e-14	3.06038250270639	107.291440907996	ACTN4;ATG12;MAPK11;RRAGC;BAX;PLCD1;RBCK1;PFN1;TLN1;TECPR1;TIFA;ARPC5L;MYL12B;ACTB;CAPNS1;AKT1;GABARAPL2;GABARAPL1;PRKCQ;GABARAP;TBK1;PLCG1;PLCG2;ATG5;RHOA;ARHGEF2;ARF1;ARPC1B;UBE2V1;UBE2V2;ARF6;CD44;IKBKB;RPTOR;IKBKG;FBXW11;RBX1;ATG16L1;PPID;UBE2N;ROCK1;UBE2D3;UBE2D1;UBE2D2;FOXO1;RNF31;PYCARD;CAPN1;CAPN2;GLMN;ARPC5;DIAPH1;MYD88;ARPC3;TRAF5;ARPC4;ARPC2;BCL2L1;MDM2;VCL;CALCOCO2;PXN;ACTG1;UBB;ACTR2;ITGA5;CBX3;WIPI1;WIPI2;TNIP1;TNFRSF1A;NFKBIB;NFKBIA;AKT1S1;IRF3;PIK3C3;GSK3B;GSK3A;ILK;TRADD;ITPR2;HK1;CASP4;WASF2;CDC42;RPS6KB2;RPS6KB1;HKDC1;VDAC1;BECN1;ITGB1;PIK3CD;MALT1;CYTH4;MAPK9;CCL5;MAPK3;MAPK1;CYTH1	5	KEGG_2021_Human
Endocytosis	99/252	3.81804313345191e-15	2.01083605028467e-13	2.9392778722491	97.581198867581	PML;VPS25;ARPC5L;CBLB;IL2RG;PARD6G;AP2S1;MVB12A;HLA-A;IQSEC1;SNF8;VPS37B;HLA-B;HLA-G;VPS37A;ARFGAP2;HLA-E;EHD1;HLA-F;BIN1;TFRC;VPS26B;PIP5K1A;RHOA;EPS15L1;RAB7A;ARF5;RAB5C;ARF3;ARF1;ARPC1B;CLTC;CLTB;CLTA;SNX4;SNX5;SNX3;SNX1;CCR5;GBF1;ITCH;RAB11B;ARF6;AP2A1;RAB22A;CXCR1;RAB8A;GIT2;USP8;SH3GLB1;IST1;RNF41;ACAP2;CAPZA2;RAB35;CHMP4B;STAMBP;CHMP4A;ACAP1;KIF5B;LDLR;IGF2R;SMAD2;ARPC5;ARPC3;ARPC4;ARPC2;CHMP2A;CHMP7;CHMP5;MDM2;TSG101;CHMP1A;RAB4A;WASHC3;AP2M1;ACTR2;ARFGEF1;ARAP1;ARAP2;EPN1;DNM2;TGFBR2;RABEP1;AGAP2;GRK2;CAPZB;CDC42;SMAP1;RAB10;IL2RB;SMAP2;SPG21;WIPF1;WIPF2;ARRB2;CBL;CYTH4;CYTH1	6	KEGG_2021_Human
Amyotrophic lateral sclerosis	128/364	9.90434498512209e-15	4.4711043075694e-13	2.47121905364834	79.6864423948712	BAD;ATG13;MAPK11;PSMC6;NUP98;PSMC4;UQCRC2;BAX;PSMC1;UQCRC1;PFN1;OPTN;PSMD9;ACTB;PSMD7;PSMD8;PSMD6;PSMD4;NRBF2;COX8A;GABARAPL2;DAXX;GABARAPL1;XBP1;COX7A2L;SETX;ATG2A;ATF4;GABARAP;POM121;TBK1;POM121C;ATP5F1D;COX6C;TOMM40L;COX7B;ACTR1A;ACTR1B;PPP3CC;ATG101;ATP5PD;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA10;COX5B;PSMB7;ATP5F1A;ATP5F1B;ATP5F1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;RAB8A;BID;SDHB;SDHC;ERN1;PINK1;SRSF3;NDUFB11;NDUFB10;TANK;COX6A1;KIF5B;NDUFV2;MAP3K5;MAP2K3;SEM1;BCL2L1;DNAL4;ACTG1;ATP5MC3;COX7A2;ATP5MC2;UQCRH;CYC1;APAF1;GPX7;EIF2AK3;WIPI1;WIPI2;TNFRSF1A;TNFRSF1B;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;PIK3C3;NDUFB9;PSMD13;NDUFB5;NDUFB4;NDUFB3;CASP9;UQCRFS1;CASP3;COX4I1;DNAI2;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA2;CAT;DDIT3;VDAC1;BECN1;DCTN6;DCTN3;DCTN2;DCTN5;RB1CC1;AMBRA1;HNRNPA1	7	KEGG_2021_Human
Alzheimer disease	129/369	1.29362272489641e-14	5.10980976334081e-13	2.44910133031418	78.3191862003019	BAD;ATG13;PSMC6;APC;PSMC4;UQCRC2;PSMC1;UQCRC1;CALM3;PSMD9;FRAT2;PSMD7;PSMD8;PSMD6;PSMD4;AKT1;NRBF2;COX8A;XBP1;COX7A2L;CSNK2B;ATG2A;ATF4;PSENEN;CSNK1A1;ATP5F1D;COX6C;COX7B;IDE;PPP3CC;ATG101;ATP5PD;CSNK2A2;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA10;COX5B;PSMB7;ATP5F1A;IKBKB;ATP5F1B;ATP5F1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;BID;SDHB;SDHC;ERN1;PPIF;PPID;NDUFB11;NDUFB10;COX6A1;NRAS;KIF5B;CAPN1;CAPN2;NDUFV2;MAP3K5;MAP2K2;SEM1;ATP5MC3;COX7A2;ATP5MC2;UQCRH;CYC1;MAP2K7;APAF1;AXIN1;EIF2AK3;WIPI1;WIPI2;TNFRSF1A;NDUFS8;CDK5;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;PIK3C3;GSK3B;NDUFB9;PSMD13;SLC25A4;NDUFB5;NDUFB4;ITPR2;NDUFB3;CASP8;CASP9;CASP7;UQCRFS1;CASP3;COX4I1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA2;DDIT3;VDAC3;KRAS;VDAC1;SLC25A6;SLC25A5;GAPDH;BECN1;ATP2A3;RB1CC1;PIK3CD;AMBRA1;HSD17B10;MAPK9;MAPK3;MAPK1	8	KEGG_2021_Human
Proteasome	32/46	3.63110543672382e-14	1.2749214644497e-12	10.2787878787879	318.094093791948	ADRM1;PSMB9;PSMA6;PSMA7;PSMA4;PSMC6;PSMA5;SEM1;PSMA2;PSMC4;PSME4;IFNG;PSMA1;PSME2;PSMC1;PSME1;PSMD13;POMP;PSMB10;PSMB7;PSMD9;PSMB8;PSMD7;PSMB6;PSMD8;PSMB3;PSMB4;PSMD6;PSMB1;PSMB2;PSMD4;PSMF1	9	KEGG_2021_Human
Non-alcoholic fatty liver disease	68/155	1.63006448541766e-13	5.15100377391982e-12	3.53420451710706	104.064604765497	TGFB1;SDHB;SDHC;ERN1;MAPK11;UQCRC2;BAX;UQCRC1;NDUFB11;NDUFB10;COX6A1;BCL2L11;AKT1;NDUFV2;MAP3K5;COX8A;XBP1;COX7A2L;MAP3K11;ATF4;FASLG;COX7A2;UQCRH;CYC1;EIF2AK3;COX6C;TNFRSF1A;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;GSK3B;NDUFB9;COX7B;GSK3A;NDUFB5;NDUFB4;NDUFB3;ADIPOR2;CASP8;CASP7;UQCRFS1;CASP3;COX4I1;MLX;NDUFA9;NDUFA8;NDUFA7;PPARA;NDUFA6;NR1H3;NDUFA2;ITCH;COX6B1;CDC42;NDUFAB1;DDIT3;COX5A;NDUFA12;NDUFA10;PIK3CD;PRKAG1;COX5B;IKBKB;MAPK9;BID	10	KEGG_2021_Human
