p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	5.60099575110556	0.239	0.008	0	TRBV6-4	c13
0	5.50298280387767	0.128	0.004	0	TMEM171	c13
0	5.18944347033405	0.156	0.005	0	FEZ1	c13
0	5.08720066742115	0.236	0.007	0	S1PR5	c13
0	5.03094375782872	0.208	0.008	0	ME1	c13
0	4.89884791485679	0.525	0.024	0	SLC4A10	c13
0	4.59533043739708	0.809	0.094	0	NCR3	c13
0	4.40944054158473	0.841	0.042	0	TRAV1-2	c13
0	4.21851836235638	0.222	0.019	0	BLK	c13
0	2.67228397211775	0.795	0.202	0	KLRG1	c13
3.76377808192437e-303	3.340729371706	0.338	0.044	1.2622958931158e-298	ZBTB16	c13
3.84568740264112e-300	4.81492220180937	0.115	0.005	1.28976664109778e-295	PRSS35	c13
1.73551294554036e-265	2.44903644102036	0.646	0.17	5.82056331675327e-261	CEBPD	c13
1.60463531131089e-261	2.97954808163585	0.37	0.06	5.38162590707446e-257	RORC	c13
1.28889488491979e-257	2.74477018475392	0.391	0.066	4.32269566504401e-253	IL23R	c13
4.63366587269703e-239	1.68991567124936	0.99	0.607	1.55403886038513e-234	KLRB1	c13
6.77199879457933e-237	2.87414036299258	0.404	0.076	2.27119295572602e-232	IL4I1	c13
1.68045125727444e-235	3.03420473321218	0.276	0.037	5.635897426647e-231	TRBV6-1	c13
1.82252484112981e-235	4.23693620451791	0.117	0.007	6.11238381218114e-231	LINC01644	c13
2.52375678153455e-222	3.19906424290291	0.373	0.071	8.46417549391056e-218	LST1	c13
6.707062508793e-216	2.26858833274666	0.419	0.085	2.249414624199e-211	EOMES	c13
7.10397669877732e-212	1.21994343690259	0.741	0.221	2.38253170523594e-207	GZMK	c13
4.36272475860345e-199	2.90780973536394	0.266	0.04	1.46317062954043e-194	IGFBP4	c13
1.05401350208593e-185	3.33927415174008	0.165	0.017	3.5349504832958e-181	CA2	c13
2.07036330934491e-171	3.29188499459812	0.207	0.028	6.94358446688097e-167	COLQ	c13
3.02168881999955e-167	4.74267282297555	0.075	0.004	1.01341399645145e-162	PLD1	c13
1.05154603815216e-161	1.41998721770181	0.878	0.456	3.5266751027547e-157	CTSW	c13
5.01776534227785e-156	0.95944922450077	1	0.892	1.68285814049314e-151	S100A4	c13
1.99357640021712e-144	1.82468175417741	0.931	0.701	6.68605653104819e-140	NFKBIA	c13
4.38819475502462e-141	2.49014607307482	0.271	0.054	1.47171275694016e-136	CXXC5	c13
3.11724419325673e-140	4.06639141461606	0.083	0.006	1.04546135753444e-135	SCART1	c13
2.03695723221509e-135	1.12969597859991	0.994	0.955	6.83154716540295e-131	DUSP1	c13
4.17043403379445e-134	1.53379859853937	0.956	0.763	1.39868016625398e-129	DUSP2	c13
1.03843435691237e-131	7.89011230502198	0.014	0	3.48270114621269e-127	AC010967.1	c13
1.94645463193342e-128	3.28217042739698	0.139	0.017	6.5280195445783e-124	B3GNT8	c13
2.6937155542106e-126	3.60800998352738	0.097	0.009	9.0341832257115e-122	SCRN1	c13
2.85017008554693e-124	3.43280465314245	0.335	0.087	9.5589004329073e-120	CCL20	c13
1.24643226514339e-123	2.95692587562199	0.16	0.023	4.18028453083791e-119	PLXND1	c13
7.03361217967864e-118	1.12578340639268	0.962	0.733	2.35893285282062e-113	LTB	c13
3.5899761366401e-107	0.813540384077765	0.986	0.9	1.20400619670636e-102	S100A6	c13
7.30986826715355e-107	3.63427065222239	0.087	0.008	2.45158361943796e-102	P2RY14	c13
6.06400719435254e-106	1.7229534981151	0.166	0.027	2.03374673284196e-101	TRBV4-2	c13
5.8903610982902e-104	1.8224313947906	0.414	0.139	1.97550930514457e-99	DPP4	c13
7.32602422496443e-104	1.58234477962226	0.619	0.296	2.45700200456857e-99	IFNGR1	c13
8.02100514937645e-104	3.07071406382823	0.134	0.019	2.69008470699787e-99	TLE1	c13
8.34244976036022e-100	3.70691346522694	0.075	0.007	2.79789080062961e-95	ELOVL4	c13
4.82903343118804e-98	4.07515094071088	0.055	0.004	1.61956123215185e-93	FLT4	c13
6.30935122809769e-98	1.8485268243148	0.302	0.083	2.1160302148794e-93	CTSH	c13
6.51274859775371e-98	2.18854018946439	0.27	0.068	2.18424562471464e-93	ADRB2	c13
9.4589478453442e-93	2.96219922889317	0.122	0.018	3.17234192837154e-88	LTK	c13
1.19066553773322e-89	4.44578205934576	0.031	0.001	3.99325408044968e-85	MNDA	c13
1.67432198369604e-89	0.925704762087614	0.931	0.724	5.61534106891978e-85	SPOCK2	c13
1.36496211563561e-87	2.50299838122735	0.163	0.031	4.5778099434187e-83	IL17RE	c13
1.99989466926567e-85	1.69296603233726	0.339	0.109	6.70724674178321e-81	IKZF2	c13
1.22597797968554e-84	1.34522380138372	0.38	0.129	4.11168494826937e-80	PLEK	c13
2.82131037710495e-84	2.81143005113007	0.115	0.017	9.46211074273459e-80	TSPAN15	c13
1.07407922580847e-81	2.10741258845702	0.232	0.06	3.60224690751646e-77	AC006369.1	c13
4.25529710019002e-78	5.67614412304058	0.017	0	1.42714154146173e-73	AC123912.4	c13
4.19075077433519e-77	2.75955125624259	0.114	0.018	1.40549399469654e-72	ADAM12	c13
4.45841537342766e-77	1.75628828875463	0.363	0.134	1.49526334794017e-72	PHACTR2	c13
1.39064489953e-76	2.5661701104431	0.172	0.038	4.66394486404372e-72	AC004585.1	c13
6.010436364151e-75	1.03119577024483	0.99	0.964	2.01578014780896e-70	CD69	c13
1.18849326637056e-71	0.451182829497888	0.918	0.555	3.98596871675358e-67	NKG7	c13
1.06725017020301e-70	0.983984133405689	0.775	0.478	3.57934362082685e-66	GBP5	c13
1.09727671059512e-69	0.995648238904161	0.917	0.78	3.6800466319939e-65	CXCR4	c13
2.9331624957925e-68	0.8125381176072	0.955	0.894	9.83724037838888e-64	ZFP36L1	c13
5.82571773828768e-68	0.788164647741828	0.8	0.434	1.95382921506692e-63	CCL4	c13
6.21338668817828e-68	2.37161140080356	0.113	0.019	2.08384562748123e-63	DKK3	c13
2.59149360315743e-63	0.844673286544255	0.772	0.501	8.69135124626937e-59	PRF1	c13
1.13748972803949e-62	3.19951579494702	0.076	0.01	3.81491304989883e-58	ESPN	c13
4.74164244766682e-61	1.59357989015874	0.294	0.104	1.5902520440985e-56	PTGDR	c13
6.11113803002086e-60	1.25276598353892	0.432	0.193	2.04955347250839e-55	SAMD3	c13
6.06658264837601e-59	5.6912756154624	0.014	0	2.03461048861235e-54	SHISA8	c13
7.67051761995568e-58	1.61741687577206	0.426	0.206	2.57253819938074e-53	LYST	c13
1.26175836145483e-57	0.964418124697764	0.678	0.416	4.2316851926472e-53	AQP3	c13
2.7429788868599e-57	1.02808502964232	0.674	0.439	9.19940259075074e-53	GPR65	c13
2.64638148303086e-53	1.97172482785318	0.166	0.045	8.87543421778889e-49	LINC02084	c13
3.37160414225211e-53	0.547554064820845	0.985	0.914	1.13076859722851e-48	HCST	c13
4.80519051402906e-52	1.0295499999693	0.924	0.839	1.61156479459507e-47	BTG2	c13
1.24702297070594e-51	1.15772600288535	0.496	0.268	4.18226563915357e-47	CMC1	c13
1.2651570100598e-51	1.46816723545815	0.339	0.146	4.24308358033855e-47	IL18RAP	c13
2.06650777625603e-51	3.02797805410869	0.066	0.009	6.93065378000748e-47	TNFRSF13C	c13
2.97016381078567e-51	1.90074414476711	0.212	0.07	9.96133538861297e-47	CPNE7	c13
4.47796412997145e-50	1.16457927484413	0.48	0.257	1.50181960990982e-45	TNFRSF25	c13
4.48989734724701e-50	4.91597673511565	0.017	0.001	1.5058217723197e-45	NRN1	c13
