c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
Colitis	0.0872377871854635	0.0447129334538363	0.225372211387528	0.0507539361651525	0.088331827046568	0.0366741188222423	0.0598392237073681	0.0791514056033868	0.0312990534176854	0.108357513199829	0.0975598154402321	0.0551776625600533	0.0171241021738096	0.00665937306759264	0.00195024496979499	0.00432859249393521	0.00447129334538363	0.000428102554345241	0.000570803405793655
Control	0.273205803055591	0.163692386699191	0.00269610989857491	0.112081140069329	0.0778662215945564	0.0900629092309667	0.0857619720118115	0.0674027474643728	0.0852484272692258	0.00674027474643728	0.00340223391963025	0.000128386185646424	0.00686866093208371	0.0126460392861728	0.00372319938374631	0.00430093721915522	0.00179740659904994	0.00128386185646424	0.00109128257799461
NoColitis	0.294296824368114	0.162605314322748	0.00226830848995463	0.119183408943616	0.0730395333765392	0.108360337005833	0.0613091380427738	0.052300712896954	0.0619572261827609	0.0158133506156837	0.00816591056383668	0.000129617627997408	0.0132209980557356	0.01049902786779	0.00861957226182761	0.00466623460790668	0.00136098509397278	0.00116655865197667	0.00103694102397926
