Diagnosis	Sample	seurat_clusters	.n	.frac
Colitis	C1	c1	165	0.0521162349968414
Colitis	C1	c2	74	0.0233733417561592
Colitis	C1	c3	1335	0.421667719519899
Colitis	C1	c4	201	0.0634870499052432
Colitis	C1	c5	141	0.0445356917245736
Colitis	C1	c6	50	0.0157927984838913
Colitis	C1	c7	220	0.0694883133291219
Colitis	C1	c8	177	0.0559065066329754
Colitis	C1	c9	112	0.0353758686039166
Colitis	C1	c10	325	0.102653190145294
Colitis	C1	c11	273	0.0862286797220467
Colitis	C1	c12	27	0.00852811118130133
Colitis	C1	c13	33	0.0104232469993683
Colitis	C1	c14	9	0.00284270372710044
Colitis	C1	c15	1	0.000315855969677827
Colitis	C1	c16	5	0.00157927984838913
Colitis	C1	c17	18	0.00568540745420088
Colitis	C2	c1	84	0.0217729393468118
Colitis	C2	c2	71	0.0184033177812338
Colitis	C2	c3	1338	0.346811819595645
Colitis	C2	c4	76	0.0196993260756869
Colitis	C2	c5	280	0.0725764644893727
Colitis	C2	c6	63	0.0163297045101089
Colitis	C2	c7	99	0.0256609642301711
Colitis	C2	c8	411	0.106531881804044
Colitis	C2	c9	73	0.018921721099015
Colitis	C2	c10	627	0.162519440124417
Colitis	C2	c11	619	0.160445826853292
Colitis	C2	c12	11	0.00285121824779679
Colitis	C2	c13	61	0.0158113011923276
Colitis	C2	c14	25	0.00648004147226542
Colitis	C2	c15	2	0.000518403317781234
Colitis	C2	c16	5	0.00129600829445308
Colitis	C2	c17	12	0.0031104199066874
Colitis	C2	c18	1	0.000259201658890617
Colitis	C3	c1	255	0.0633068520357497
Colitis	C3	c2	212	0.0526315789473684
Colitis	C3	c3	109	0.0270605759682224
Colitis	C3	c4	343	0.0851539225422046
Colitis	C3	c5	292	0.0724925521350546
Colitis	C3	c6	218	0.0541211519364449
Colitis	C3	c7	418	0.10377358490566
Colitis	C3	c8	222	0.0551142005958292
Colitis	C3	c9	107	0.0265640516385303
Colitis	C3	c10	505	0.125372393247269
Colitis	C3	c11	170	0.0422045680238332
Colitis	C3	c12	1073	0.266385302879841
Colitis	C3	c13	48	0.0119165839126117
Colitis	C3	c14	12	0.00297914597815293
Colitis	C3	c15	2	0.000496524329692155
Colitis	C3	c16	9	0.0022343594836147
Colitis	C3	c17	22	0.0054617676266137
Colitis	C3	c18	4	0.00099304865938431
Colitis	C3	c19	7	0.00173783515392254
Colitis	C4	c1	446	0.142174051641696
Colitis	C4	c2	126	0.0401657634682818
Colitis	C4	c3	72	0.0229518648390182
Colitis	C4	c4	313	0.0997768568696207
Colitis	C4	c5	303	0.0965890978642015
Colitis	C4	c6	203	0.0647115078100096
Colitis	C4	c7	192	0.0612049729040485
Colitis	C4	c8	368	0.117309531399426
Colitis	C4	c9	123	0.039209435766656
Colitis	C4	c10	325	0.103602167676124
Colitis	C4	c11	508	0.161938157475295
Colitis	C4	c12	17	0.00541919030921262
Colitis	C4	c13	111	0.035384124960153
Colitis	C4	c14	10	0.00318775900541919
Colitis	C4	c15	1	0.000318775900541919
Colitis	C4	c16	8	0.00255020720433535
Colitis	C4	c17	7	0.00223143130379343
Colitis	C4	c18	3	0.000956327701625757
Colitis	C4	c19	1	0.000318775900541919
Colitis	C5	c1	180	0.0457317073170732
Colitis	C5	c2	132	0.0335365853658537
Colitis	C5	c3	1849	0.469766260162602
Colitis	C5	c4	48	0.0121951219512195
Colitis	C5	c5	261	0.0663109756097561
Colitis	C5	c6	73	0.0185467479674797
Colitis	C5	c7	172	0.0436991869918699
Colitis	C5	c8	332	0.084349593495935
Colitis	C5	c9	98	0.0248983739837398
Colitis	C5	c10	261	0.0663109756097561
Colitis	C5	c11	312	0.0792682926829268
Colitis	C5	c12	27	0.00685975609756098
Colitis	C5	c13	44	0.0111788617886179
Colitis	C5	c14	50	0.0127032520325203
Colitis	C5	c15	10	0.00254065040650406
Colitis	C5	c16	56	0.0142276422764228
Colitis	C5	c17	30	0.00762195121951219
Colitis	C5	c18	1	0.000254065040650407
Colitis	C6	c1	704	0.242926155969634
Colitis	C6	c2	325	0.112146307798482
Colitis	C6	c3	35	0.0120772946859903
Colitis	C6	c4	86	0.0296756383712905
Colitis	C6	c5	580	0.200138026224983
Colitis	C6	c6	164	0.0565907522429262
Colitis	C6	c7	157	0.0541752933057281
Colitis	C6	c8	154	0.0531400966183575
Colitis	C6	c9	145	0.0500345065562457
Colitis	C6	c10	235	0.0810904071773637
Colitis	C6	c11	169	0.0583160800552105
Colitis	C6	c12	5	0.00172532781228433
Colitis	C6	c13	63	0.0217391304347826
Colitis	C6	c14	34	0.0117322291235335
Colitis	C6	c15	25	0.00862663906142167
Colitis	C6	c16	8	0.00276052449965493
Colitis	C6	c17	5	0.00172532781228433
Colitis	C6	c19	4	0.00138026224982747
Control	CT1	c1	480	0.136054421768707
Control	CT1	c2	403	0.114229024943311
Control	CT1	c3	7	0.00198412698412698
Control	CT1	c4	835	0.236678004535147
Control	CT1	c5	194	0.0549886621315193
Control	CT1	c6	379	0.107426303854875
Control	CT1	c7	281	0.0796485260770975
Control	CT1	c8	250	0.0708616780045351
Control	CT1	c9	526	0.149092970521542
Control	CT1	c10	30	0.00850340136054422
Control	CT1	c11	22	0.00623582766439909
Control	CT1	c12	1	0.000283446712018141
Control	CT1	c13	25	0.00708616780045352
Control	CT1	c14	52	0.0147392290249433
Control	CT1	c15	9	0.00255102040816327
Control	CT1	c16	10	0.00283446712018141
Control	CT1	c17	12	0.00340136054421769
Control	CT1	c18	8	0.00226757369614512
Control	CT1	c19	4	0.00113378684807256
Control	CT2	c1	660	0.259433962264151
Control	CT2	c2	300	0.117924528301887
Control	CT2	c4	220	0.0864779874213836
Control	CT2	c5	106	0.0416666666666667
Control	CT2	c6	214	0.0841194968553459
Control	CT2	c7	381	0.149764150943396
Control	CT2	c8	253	0.0994496855345912
Control	CT2	c9	223	0.0876572327044025
Control	CT2	c10	40	0.0157232704402516
Control	CT2	c11	3	0.00117924528301887
Control	CT2	c13	10	0.00393081761006289
Control	CT2	c14	66	0.0259433962264151
Control	CT2	c15	36	0.0141509433962264
Control	CT2	c16	17	0.00668238993710692
Control	CT2	c17	8	0.00314465408805031
Control	CT2	c18	4	0.00157232704402516
Control	CT2	c19	3	0.00117924528301887
Control	CT3	c1	1121	0.327490505404616
