Diagnosis	Sample	seurat_clusters	.n
NoColitis	NC2	c2	393
NoColitis	NC2	c3	3
NoColitis	NC2	c4	379
NoColitis	NC2	c5	416
NoColitis	NC2	c6	532
NoColitis	NC2	c7	137
NoColitis	NC2	c8	136
NoColitis	NC2	c9	202
NoColitis	NC2	c10	44
NoColitis	NC2	c11	31
NoColitis	NC2	c13	52
NoColitis	NC2	c14	18
NoColitis	NC2	c15	13
NoColitis	NC2	c16	19
NoColitis	NC2	c17	4
NoColitis	NC2	c18	3
NoColitis	NC2	c19	2
NoColitis	NC3	c1	720
NoColitis	NC3	c2	321
NoColitis	NC3	c4	357
NoColitis	NC3	c5	115
NoColitis	NC3	c6	279
NoColitis	NC3	c7	62
NoColitis	NC3	c8	165
NoColitis	NC3	c9	171
NoColitis	NC3	c10	70
NoColitis	NC3	c11	22
NoColitis	NC3	c13	10
NoColitis	NC3	c14	33
NoColitis	NC3	c15	38
NoColitis	NC3	c16	16
NoColitis	NC3	c17	7
NoColitis	NC3	c18	2
NoColitis	NC3	c19	2
NoColitis	NC4	c1	1279
NoColitis	NC4	c2	910
NoColitis	NC4	c3	3
NoColitis	NC4	c4	196
NoColitis	NC4	c5	286
NoColitis	NC4	c6	193
NoColitis	NC4	c7	52
NoColitis	NC4	c8	97
NoColitis	NC4	c9	83
NoColitis	NC4	c10	16
NoColitis	NC4	c11	20
NoColitis	NC4	c13	41
NoColitis	NC4	c14	21
NoColitis	NC4	c15	35
NoColitis	NC4	c16	22
NoColitis	NC4	c17	2
NoColitis	NC4	c18	10
NoColitis	NC6	c1	904
NoColitis	NC6	c2	723
NoColitis	NC6	c3	24
NoColitis	NC6	c4	729
NoColitis	NC6	c5	204
NoColitis	NC6	c6	392
NoColitis	NC6	c7	160
NoColitis	NC6	c8	152
NoColitis	NC6	c9	167
NoColitis	NC6	c10	68
NoColitis	NC6	c11	34
NoColitis	NC6	c12	2
NoColitis	NC6	c13	42
NoColitis	NC6	c14	87
NoColitis	NC6	c15	47
NoColitis	NC6	c16	11
NoColitis	NC6	c17	6
NoColitis	NC6	c19	2
