Colitis	Control	NoColitis
s1	2959	5924	5455
s2	1155	1975	1888
s3	2308	1437	907
s4	3976	185	197
s5	854	1974	1289
s6	777	989	671
s7	606	722	284
s8	479	341	332
s9	156	45	30
