Colitis	Control	NoColitis
s1	0.222984174830445	0.435844614479105	0.493531168008685
s2	0.0870384325546345	0.145306062389641	0.170813353840586
s3	0.173926149208742	0.105723955267805	0.0820591694562562
s4	0.299623210248681	0.0136109476162449	0.017823215416629
s5	0.0643556895252449	0.145232489699823	0.11661992219307
s6	0.0585531273549359	0.0727633902295468	0.0607075002261829
s7	0.0456669178598342	0.0531194820482637	0.0256943816158509
s8	0.0360964581763376	0.025088287227781	0.0300370940016285
s9	0.0117558402411454	0.00331077104178929	0.00271419524111101
