Diagnosis	Sample	cd8_subcluster	.n	.frac
Colitis	C1	s1	71	0.0224754669199114
Colitis	C1	s2	200	0.0633111744222855
Colitis	C1	s3	127	0.0402025957581513
Colitis	C1	s4	1315	0.416270971826527
Colitis	C1	s5	170	0.0538144982589427
Colitis	C1	s6	154	0.0487496043051599
Colitis	C1	s7	39	0.0123456790123457
Colitis	C1	s8	8	0.00253244697689142
Colitis	C1	s9	15	0.00474833808167141
Colitis	C1	NA	1060	0.335549224438113
Colitis	C2	s1	70	0.0181818181818182
Colitis	C2	s2	73	0.018961038961039
Colitis	C2	s3	271	0.0703896103896104
Colitis	C2	s4	1315	0.341558441558442
Colitis	C2	s5	367	0.0953246753246753
Colitis	C2	s6	259	0.0672727272727273
Colitis	C2	s7	42	0.0109090909090909
Colitis	C2	s8	22	0.00571428571428571
Colitis	C2	s9	7	0.00181818181818182
Colitis	C2	NA	1424	0.36987012987013
Colitis	C3	s1	187	0.0466916354556804
Colitis	C3	s2	346	0.0863920099875156
Colitis	C3	s3	274	0.068414481897628
Colitis	C3	s4	151	0.0377028714107366
Colitis	C3	s5	222	0.0554307116104869
Colitis	C3	s6	277	0.06916354556804
Colitis	C3	s7	1024	0.255680399500624
Colitis	C3	s8	5	0.00124843945068664
Colitis	C3	s9	33	0.00823970037453184
Colitis	C3	NA	1486	0.37103620474407
Colitis	C4	s1	124	0.0396927016645326
Colitis	C4	s2	310	0.0992317541613316
Colitis	C4	s3	276	0.088348271446863
Colitis	C4	s4	65	0.0208066581306018
Colitis	C4	s5	192	0.0614596670934699
Colitis	C4	s6	138	0.0441741357234315
Colitis	C4	s7	17	0.00544174135723431
Colitis	C4	s8	10	0.00320102432778489
Colitis	C4	s9	23	0.00736235595390525
Colitis	C4	NA	1969	0.630281690140845
Colitis	C5	s1	126	0.0325665546652882
Colitis	C5	s2	48	0.0124063065391574
Colitis	C5	s3	251	0.0648746446110106
Colitis	C5	s4	1861	0.481002843111915
Colitis	C5	s5	142	0.0367019901783407
Colitis	C5	s6	120	0.0310157663478935
Colitis	C5	s7	33	0.00852933574567072
Colitis	C5	s8	49	0.0126647712587232
Colitis	C5	s9	17	0.00439390023261825
Colitis	C5	NA	1222	0.315843887309382
Colitis	C6	s1	345	0.120587207270185
Colitis	C6	s2	85	0.0297098916462775
Colitis	C6	s3	483	0.168822090178259
Colitis	C6	s4	33	0.011534428521496
Colitis	C6	s5	123	0.0429919608528487
Colitis	C6	s6	114	0.0398462076197134
Colitis	C6	s7	9	0.00314575323313527
Colitis	C6	s8	31	0.0108353722474659
Colitis	C6	s9	85	0.0297098916462775
Colitis	C6	NA	1553	0.542817196784341
Colitis	C7	s1	361	0.10583406625623
Colitis	C7	s2	108	0.0316622691292876
Colitis	C7	s3	271	0.0794488419818235
Colitis	C7	s4	96	0.0281442392260334
Colitis	C7	s5	147	0.0430958663148637
Colitis	C7	s6	173	0.0507182644385811
Colitis	C7	s7	48	0.0140721196130167
Colitis	C7	s8	27	0.0079155672823219
Colitis	C7	s9	37	0.010847258868367
Colitis	C7	NA	2143	0.628261506889475
Colitis	C8	s1	37	0.0109080188679245
Colitis	C8	s2	11	0.00324292452830189
Colitis	C8	s3	184	0.0542452830188679
Colitis	C8	s4	175	0.0515919811320755
Colitis	C8	s5	253	0.0745872641509434
Colitis	C8	s6	185	0.0545400943396226
Colitis	C8	s7	121	0.0356721698113208
Colitis	C8	s8	4	0.00117924528301887
Colitis	C8	s9	9	0.00265330188679245
Colitis	C8	NA	2413	0.711379716981132
Control	CT1	s1	381	0.108950529024878
Control	CT1	s2	823	0.235344581069488
Control	CT1	s3	183	0.0523305690591936
Control	CT1	s4	10	0.00285959393766085
Control	CT1	s5	15	0.00428939090649128
Control	CT1	s6	15	0.00428939090649128
Control	CT1	s7	1	0.000285959393766085
Control	CT1	s8	49	0.0140120102945382
Control	CT1	s9	39	0.0111524163568773
Control	CT1	NA	1981	0.566485559050615
Control	CT2	s1	286	0.115136876006441
Control	CT2	s2	211	0.0849436392914654
