s1	s2	s3	s4	s5	s6	s7	s8	s9	NA
Colitis	0.0477395106790503	0.042680062158939	0.077228867767699	0.181092118101984	0.0584004914892848	0.051317263561129	0.0481731776950598	0.00563767120812403	0.00816739546817968	0.47956344187055
Control	0.170540321548893	0.135357584545183	0.0782975819864387	0.00217493283295663	0.00268668173482878	0.00550130069512559	4.2645741822679e-05	0.0150965926052284	0.0106614354556698	0.579640922853853
NoColitis	0.176003504736871	0.113301571655441	0.0691637916872022	0.00306664476206122	0.00607852801051421	0.0102951645583484	0.000273807568041181	0.0106237336399978	0.0059142434696895	0.605279009911834
