Sample	cd8_subcluster	.n	.frac
C1	s1	56	0.0262295081967213
C1	s2	138	0.0646370023419204
C1	s3	192	0.0899297423887588
C1	s4	1366	0.639812646370023
C1	s5	26	0.0121779859484778
C1	s6	209	0.0978922716627635
C1	s7	85	0.0398126463700234
C1	s8	11	0.00515222482435597
C1	s9	8	0.00374707259953162
C1	s10	28	0.0131147540983607
C1	s11	9	0.00421545667447307
C1	s12	1	0.000468384074941452
C1	s13	6	0.00281030444964871
C2	s1	82	0.0328525641025641
C2	s2	246	0.0985576923076923
C2	s3	55	0.0220352564102564
C2	s4	1367	0.547676282051282
C2	s5	33	0.0132211538461538
C2	s6	417	0.167067307692308
C2	s7	163	0.0653044871794872
C2	s9	4	0.0016025641025641
C2	s10	56	0.0224358974358974
C2	s11	23	0.00921474358974359
C2	s12	1	0.000400641025641026
C2	s13	49	0.0196314102564103
C3	s1	238	0.0963172804532578
C3	s2	275	0.111290975313638
C3	s3	324	0.13112100364225
C3	s4	37	0.0149736948603804
C3	s5	59	0.0238769728854715
C3	s6	284	0.114933225414812
C3	s7	191	0.0772966410360178
C3	s8	927	0.375151760420882
C3	s9	25	0.0101173613921489
C3	s10	36	0.0145690004046945
C3	s11	3	0.00121408336705787
C3	s12	1	0.000404694455685957
C3	s13	71	0.028733306353703
C4	s1	130	0.104923325262308
C4	s2	258	0.208232445520581
C4	s3	291	0.234866828087167
C4	s4	57	0.0460048426150121
C4	s5	16	0.0129136400322841
C4	s6	228	0.184019370460048
C4	s7	93	0.0750605326876513
C4	s8	5	0.00403551251008878
C4	s9	3	0.00242130750605327
C4	s10	104	0.0839386602098467
C4	s11	6	0.00484261501210654
C4	s12	3	0.00242130750605327
C4	s13	45	0.036319612590799
C5	s1	148	0.0550595238095238
C5	s2	224	0.0833333333333333
C5	s3	48	0.0178571428571429
C5	s4	154	0.0572916666666667
C5	s5	1720	0.639880952380952
C5	s6	147	0.0546875
C5	s7	112	0.0416666666666667
C5	s8	7	0.00260416666666667
C5	s9	12	0.00446428571428571
C5	s10	40	0.0148809523809524
C5	s11	48	0.0178571428571429
C5	s12	6	0.00223214285714286
C5	s13	22	0.00818452380952381
C6	s1	409	0.302738712065137
C6	s2	489	0.361954108068098
C6	s3	82	0.0606957809030348
C6	s4	18	0.0133234641006662
C6	s5	8	0.00592153960029608
C6	s6	132	0.0977054034048853
C6	s7	96	0.0710584752035529
C6	s8	5	0.00370096225018505
C6	s9	10	0.0074019245003701
C6	s10	59	0.0436713545521836
C6	s11	28	0.0207253886010363
C6	s12	1	0.00074019245003701
C6	s13	14	0.0103626943005181
C7	s1	424	0.319277108433735
C7	s2	263	0.198042168674699
C7	s3	112	0.0843373493975904
C7	s4	101	0.0760542168674699
C7	s5	12	0.00903614457831325
C7	s6	178	0.134036144578313
C7	s7	131	0.098644578313253
C7	s8	18	0.0135542168674699
C7	s9	22	0.016566265060241
C7	s10	29	0.0218373493975904
C7	s11	23	0.0173192771084337
C7	s12	1	0.000753012048192771
C7	s13	14	0.0105421686746988
C8	s1	56	0.0543161978661494
C8	s2	179	0.173617846750727
C8	s3	6	0.005819592628516
C8	s4	205	0.198836081474297
C8	s5	6	0.005819592628516
C8	s6	301	0.291949563530553
C8	s7	113	0.109602327837051
C8	s8	8	0.00775945683802134
C8	s9	4	0.00387972841901067
C8	s10	38	0.0368574199806014
C8	s11	8	0.00775945683802134
C8	s12	2	0.00193986420950533
C8	s13	105	0.10184287099903
NC1	s1	166	0.29695885509839
NC1	s2	97	0.173524150268336
NC1	s3	155	0.277280858676207
NC1	s4	3	0.00536672629695885
NC1	s5	2	0.0035778175313059
NC1	s6	28	0.0500894454382826
NC1	s7	20	0.035778175313059
NC1	s9	18	0.0322003577817531
NC1	s10	57	0.101967799642218
NC1	s11	1	0.00178890876565295
NC1	s12	9	0.0161001788908766
NC1	s13	3	0.00536672629695885
NC2	s1	304	0.237129485179407
NC2	s2	368	0.287051482059282
NC2	s3	348	0.271450858034321
NC2	s4	3	0.00234009360374415
NC2	s5	3	0.00234009360374415
NC2	s6	12	0.0093603744149766
NC2	s7	32	0.0249609984399376
NC2	s9	137	0.106864274570983
NC2	s10	47	0.0366614664586583
NC2	s11	6	0.0046801872074883
NC2	s12	2	0.0015600624024961
NC2	s13	20	0.015600624024961
NC3	s1	311	0.346325167037862
NC3	s2	106	0.11804008908686
NC3	s3	73	0.0812917594654788
NC3	s5	1	0.00111358574610245
NC3	s6	22	0.0244988864142539
NC3	s7	32	0.0356347438752784
NC3	s9	307	0.341870824053452
NC3	s10	10	0.0111358574610245
NC3	s11	31	0.0345211581291759
NC3	s12	2	0.0022271714922049
NC3	s13	3	0.00334075723830735
NC4	s1	917	0.627222982216142
NC4	s2	265	0.181258549931601
NC4	s3	182	0.124487004103967
NC4	s4	5	0.00341997264021888
NC4	s5	2	0.00136798905608755
NC4	s6	5	0.00341997264021888
NC4	s7	10	0.00683994528043776
NC4	s8	1	0.000683994528043776
NC4	s9	10	0.00683994528043776
NC4	s10	35	0.0239398084815321
NC4	s11	18	0.012311901504788
NC4	s12	4	0.0027359781121751
NC4	s13	8	0.00547195622435021
NC5	s1	762	0.574227581009797
NC5	s2	201	0.151469480030143
NC5	s3	200	0.150715900527506
NC5	s4	1	0.000753579502637528
NC5	s5	22	0.0165787490580256
NC5	s6	24	0.0180859080633007
NC5	s7	33	0.0248681235870384
NC5	s9	2	0.00150715900527506
NC5	s10	42	0.0316503391107762
NC5	s11	33	0.0248681235870384
NC5	s12	3	0.00226073850791258
NC5	s13	4	0.00301431801055011
NC6	s1	740	0.396995708154506
NC6	s2	183	0.0981759656652361
NC6	s3	676	0.362660944206009
NC6	s4	25	0.013412017167382
NC6	s5	10	0.00536480686695279
NC6	s6	45	0.0241416309012876
NC6	s7	20	0.0107296137339056
NC6	s8	1	0.000536480686695279
NC6	s9	14	0.00751072961373391
NC6	s10	37	0.0198497854077253
NC6	s11	82	0.0439914163090129
NC6	s12	23	0.0123390557939914
NC6	s13	8	0.00429184549356223
CT1	s1	390	0.253411306042885
CT1	s2	186	0.120857699805068
CT1	s3	255	0.165692007797271
CT1	s4	4	0.00259909031838856
CT1	s5	8	0.00519818063677713
CT1	s6	18	0.0116959064327485
CT1	s7	11	0.00714749837556855
CT1	s8	1	0.000649772579597141
CT1	s9	66	0.0428849902534113
CT1	s10	28	0.0181936322287199
CT1	s11	46	0.0298895386614685
CT1	s12	526	0.341780376868096
CT2	s1	300	0.402144772117962
CT2	s2	86	0.115281501340483
CT2	s3	129	0.172922252010724
CT2	s4	2	0.00268096514745308
CT2	s5	1	0.00134048257372654
CT2	s6	11	0.014745308310992
CT2	s7	27	0.0361930294906166
CT2	s9	98	0.131367292225201
CT2	s10	10	0.0134048257372654
CT2	s11	67	0.0898123324396783
CT2	s12	11	0.014745308310992
CT2	s13	4	0.00536193029490617
CT3	s1	615	0.488095238095238
CT3	s2	413	0.327777777777778
CT3	s3	97	0.076984126984127
CT3	s4	1	0.000793650793650794
CT3	s5	1	0.000793650793650794
CT3	s6	7	0.00555555555555556
CT3	s7	10	0.00793650793650794
CT3	s8	1	0.000793650793650794
CT3	s9	52	0.0412698412698413
CT3	s10	25	0.0198412698412698
CT3	s11	22	0.0174603174603175
CT3	s12	14	0.0111111111111111
CT3	s13	2	0.00158730158730159
CT4	s1	244	0.222020018198362
