Sample	Identity	.n	.frac
C1	c1	175	0.0123657433578293
C1	c2	54	0.00629737609329446
C1	c3	1412	0.210150319988093
C1	c4	201	0.0315343583307185
C1	c5	166	0.0261458497401166
C1	c6	157	0.0323978539001238
C1	c7	49	0.0102876338442158
C1	c8	213	0.0488196195278478
C1	c9	113	0.0272749215544292
C1	c10	286	0.0757014293276866
C1	c11	294	0.0872403560830861
C1	c12	2	0.00219058050383352
C1	c13	8	0.0112517580872011
C1	c14	30	0.0923076923076923
C2	c1	95	0.0067128321085359
C2	c2	77	0.00897959183673469
C2	c3	1401	0.208513171602917
C2	c4	73	0.0114527769061814
C2	c5	344	0.0541817609072295
C2	c6	389	0.0802723895996698
C2	c7	64	0.0134369095108125
C2	c8	93	0.0213156085262434
C2	c9	78	0.0188269370021723
C2	c10	616	0.163049232398094
C2	c11	577	0.171216617210682
C2	c13	24	0.0337552742616034
C2	c14	19	0.0584615384615385
C3	c1	303	0.0214104013566987
C3	c2	234	0.0272886297376093
C3	c3	1087	0.161780026789701
C3	c4	347	0.0544399121430813
C3	c5	322	0.0507166482910695
C3	c6	235	0.0484936029715229
C3	c7	168	0.0352718874658828
C3	c8	391	0.0896172358468943
C3	c9	106	0.0255853246439778
C3	c10	268	0.0709370037056644
C3	c11	476	0.141246290801187
C3	c12	39	0.0427163198247536
C3	c13	5	0.0070323488045007
C3	c14	25	0.0769230769230769
C4	c1	458	0.0323629169022046
C4	c2	122	0.0142274052478134
C4	c3	83	0.0123530287245126
C4	c4	301	0.0472230938186382
C4	c5	402	0.0633170578043786
C4	c6	358	0.0738753611225753
C4	c7	180	0.0377913079991602
C4	c8	173	0.0396516158606463
C4	c9	123	0.0296886314265025
C4	c10	561	0.148491265219693
C4	c11	321	0.0952522255192878
C4	c12	16	0.0175246440306681
C4	c13	10	0.0140646976090014
C4	c14	16	0.0492307692307692
C5	c1	192	0.0135669869983041
C5	c2	143	0.0166763848396501
C5	c3	1875	0.279059383836881
C5	c4	62	0.0097270160025102
C5	c5	304	0.0478815561505749
C5	c6	332	0.068510111432109
C5	c7	65	0.013646861221919
C5	c8	167	0.0382764153105661
C5	c9	101	0.0243784697079411
C5	c10	269	0.0712016940179989
C5	c11	256	0.0759643916913947
C5	c12	13	0.0142387732749179
C5	c13	48	0.0675105485232067
C5	c14	40	0.123076923076923
C6	c1	126	0.00890333521763708
C6	c2	333	0.0388338192419825
C6	c3	33	0.0049114451555291
C6	c4	87	0.0136491998744901
C6	c5	640	0.100803276106473
C6	c6	151	0.03115971935617
C6	c7	70	0.0146966197774512
C6	c8	135	0.0309420123768049
C6	c9	134	0.0323437122857832
C6	c10	165	0.0436739015352038
C6	c11	229	0.0679525222551929
C6	c12	721	0.789704271631982
C6	c13	29	0.0407876230661041
C6	c14	8	0.0246153846153846
C7	c1	867	0.0612634256642171
C7	c2	410	0.0478134110787172
C7	c3	149	0.0221759190355708
C7	c4	115	0.0180420458111076
C7	c5	312	0.0491415971019058
C7	c6	384	0.0792406108130417
C7	c7	331	0.0694940163762335
C7	c8	131	0.0300252120100848
C7	c9	34	0.00820661356504948
C7	c10	323	0.0854949708840656
C7	c11	311	0.0922848664688427
