Sample	Identity	.n	.frac
C7	c12	11	0.0120481927710843
C7	c13	31	0.0436005625879044
C7	c14	3	0.00923076923076923
C8	c1	312	0.0220463538722442
C8	c2	48	0.00559766763848397
C8	c3	298	0.0443518380711415
C8	c4	12	0.00188264825855036
C8	c5	248	0.0390612694912585
C8	c6	328	0.0676846884028064
C8	c7	102	0.0214150745328574
C8	c8	308	0.0705936282374513
C8	c9	170	0.0410330678252474
C8	c10	1095	0.289835892006353
C8	c11	416	0.123442136498516
C8	c13	9	0.0126582278481013
C8	c14	46	0.141538461538462
NC1	c1	790	0.0558224985867722
NC1	c2	164	0.0191253644314869
NC1	c3	5	0.000744158356898348
NC1	c4	179	0.0280828365233762
NC1	c5	158	0.0248858087887856
NC1	c6	239	0.0493190260008254
NC1	c7	260	0.0545874448876758
NC1	c8	516	0.118267247306899
NC1	c9	354	0.0854453294713975
NC1	c10	21	0.00555849655902594
NC1	c11	48	0.0142433234421365
NC1	c12	14	0.0153340635268346
NC1	c13	5	0.0070323488045007
NC1	c14	6	0.0184615384615385
NC2	c1	883	0.0623940079140757
NC2	c2	370	0.0431486880466472
NC2	c3	5	0.000744158356898348
NC2	c4	382	0.0599309695638532
NC2	c5	466	0.073397385415026
NC2	c6	145	0.0299215848122163
NC2	c7	525	0.110224648330884
NC2	c8	122	0.0279624111849645
NC2	c9	197	0.0475500844798455
NC2	c10	20	0.00529380624669137
NC2	c11	42	0.0124629080118694
NC2	c12	20	0.0219058050383352
NC2	c13	17	0.0239099859353024
NC2	c14	12	0.0369230769230769
NC3	c1	754	0.0532786885245902
NC3	c2	315	0.036734693877551
NC3	c3	2	0.000297663342759339
NC3	c4	360	0.0564794477565108
NC3	c5	121	0.0190581193888801
NC3	c6	166	0.0342550557160545
NC3	c7	238	0.049968507243334
NC3	c8	74	0.0169608067843227
NC3	c9	165	0.0398262128892107
NC3	c10	25	0.00661725780836421
NC3	c11	69	0.0204747774480712
NC3	c12	2	0.00219058050383352
NC3	c13	31	0.0436005625879044
NC3	c14	10	0.0307692307692308
NC4	c1	1275	0.0900932730356133
NC4	c2	911	0.106239067055394
NC4	c3	7	0.00104182169965769
NC4	c4	195	0.0305930342014434
NC4	c5	313	0.0492991022208222
NC4	c6	106	0.0218737102765167
NC4	c7	189	0.0396808733991182
NC4	c8	48	0.0110016044006418
NC4	c9	74	0.017861453053343
NC4	c10	18	0.00476442562202223
NC4	c11	16	0.00474777448071217
NC4	c12	23	0.0251916757940854
NC4	c13	20	0.0281293952180028
NC4	c14	3	0.00923076923076923
NC5	c1	869	0.0614047484454494
NC5	c2	741	0.0864139941690962
NC5	c3	31	0.00461378181276976
NC5	c4	211	0.0331032318795105
NC5	c5	254	0.0400063002047567
NC5	c6	150	0.0309533635988444
NC5	c7	279	0.0585765273986983
NC5	c8	56	0.0128352051340821
NC5	c9	364	0.0878590393434709
NC5	c10	10	0.00264690312334569
NC5	c11	57	0.0169139465875371
NC5	c12	7	0.00766703176341731
NC5	c13	33	0.0464135021097046
NC5	c14	10	0.0307692307692308
NC6	c1	954	0.0674109666478236
NC6	c2	728	0.0848979591836735
NC6	c3	34	0.00506027682690877
NC6	c4	714	0.112017571383746
NC6	c5	239	0.0376437234210112
NC6	c6	159	0.0328105654147751
NC6	c7	375	0.0787318916649171
NC6	c8	148	0.0339216135686454
NC6	c9	156	0.0376538740043447
NC6	c10	21	0.00555849655902594
NC6	c11	66	0.0195845697329377
NC6	c12	4	0.00438116100766703
NC6	c13	83	0.116736990154712
NC6	c14	13	0.04
CT1	c1	509	0.0359666478236292
CT1	c2	384	0.0447813411078717
CT1	c3	12	0.00178598005655604
CT1	c4	850	0.133354251647317
CT1	c5	216	0.0340211056859348
CT1	c6	229	0.0472554684275691
CT1	c7	355	0.0745328574427882
CT1	c8	281	0.0644052257620903
CT1	c9	521	0.125754284335023
CT1	c10	22	0.00582318687136051
CT1	c11	30	0.00890207715133531
CT1	c12	24	0.0262869660460022
CT1	c13	47	0.0661040787623066
CT1	c14	17	0.0523076923076923
CT2	c1	695	0.0491096664782363
CT2	c2	304	0.0354518950437318
CT2	c3	4	0.000595326685518678
CT2	c4	221	0.0346721054283025
CT2	c5	110	0.0173255630808001
CT2	c6	237	0.0489063144861742
CT2	c7	195	0.0409405836657569
CT2	c8	365	0.0836580334632134
CT2	c9	224	0.0540671011344436
CT2	c10	6	0.00158814187400741
CT2	c11	39	0.0115727002967359
CT2	c12	3	0.00328587075575027
CT2	c13	68	0.0956399437412096
CT2	c14	13	0.04
CT3	c1	1151	0.0813312605992086
CT3	c2	637	0.0742857142857143
CT3	c3	4	0.000595326685518678
CT3	c4	139	0.0218073423282083
CT3	c5	436	0.068672231847535
CT3	c6	154	0.0317787866281469
CT3	c7	355	0.0745328574427882
CT3	c8	323	0.0740316296126518
CT3	c9	148	0.035722906106686
CT3	c10	10	0.00264690312334569
CT3	c11	18	0.00534124629080119
CT3	c12	4	0.00438116100766703
CT3	c13	26	0.0365682137834037
CT3	c14	2	0.00615384615384615
CT4	c1	549	0.0387931034482759
CT4	c2	238	0.0277551020408163
CT4	c3	230	0.034231284417324
CT4	c4	217	0.0340445560087857
CT4	c5	380	0.0598519451882186
CT4	c6	282	0.0581923235658275
CT4	c7	106	0.0222548813772832
CT4	c8	131	0.0300252120100848
CT4	c9	158	0.0381366159787594
CT4	c10	11	0.00291159343568025
CT4	c11	12	0.00356083086053412
CT4	c12	5	0.00547645125958379
CT4	c13	22	0.0309423347398031
CT4	c14	5	0.0153846153846154
CT5	c1	413	0.0291831543244771
CT5	c2	392	0.0457142857142857
CT5	c3	38	0.00565560351242744
CT5	c4	483	0.075776592406652
CT5	c5	233	0.036698692707513
CT5	c6	215	0.0443664878250103
CT5	c7	137	0.028763384421583
CT5	c8	43	0.00985560394224158
CT5	c9	224	0.0540671011344436
CT5	c10	19	0.0050291159343568
CT5	c11	26	0.00771513353115727
CT5	c12	3	0.00328587075575027
CT5	c13	2	0.00281293952180028
CT5	c14	19	0.0584615384615385
CT6	c1	1502	0.106133408705483
CT6	c2	741	0.0864139941690962
CT6	c3	2	0.000297663342759339
CT6	c4	326	0.0511452776906181
CT6	c5	171	0.0269333753346984
CT6	c6	127	0.0262071811803549
CT6	c7	298	0.0625656099097208
CT6	c8	211	0.0483612193444877
CT6	c9	255	0.0615496017378711
CT6	c11	6	0.00178041543026706
CT6	c12	1	0.00109529025191676
CT6	c13	30	0.0421940928270042
CT6	c14	12	0.0369230769230769
CT7	c1	691	0.0488270209157716
CT7	c2	771	0.0899125364431487
CT7	c3	5	0.000744158356898348
CT7	c4	704	0.110448697834955
CT7	c5	350	0.0551267916207277
CT7	c6	118	0.0243499793644243
CT7	c7	143	0.0300230946882217
CT7	c8	96	0.0220032088012835
CT7	c9	72	0.0173787110789283
CT7	c10	5	0.00132345156167284
CT7	c11	32	0.00949554896142433
CT7	c12	1	0.00109529025191676
CT7	c13	7	0.00984528832630099
CT7	c14	8	0.0246153846153846
CT8	c1	589	0.0416195590729226
CT8	c2	458	0.0534110787172012
CT8	c3	2	0.000297663342759339
CT8	c4	195	0.0305930342014434
CT8	c5	164	0.0258308395022838
CT8	c6	185	0.0381758151052414
CT8	c7	279	0.0585765273986983
CT8	c8	338	0.0774696309878524
CT8	c9	372	0.0897900072411296
CT8	c10	7	0.00185283218634198
CT8	c11	29	0.0086053412462908
CT8	c13	156	0.219409282700422
CT8	c14	8	0.0246153846153846
