Sample	Identity	.n	.frac
C1	c1	175	0.055379746835443
C1	c2	54	0.0170886075949367
C1	c3	1412	0.446835443037975
C1	c4	201	0.0636075949367089
C1	c5	166	0.0525316455696203
C1	c6	157	0.0496835443037975
C1	c7	49	0.015506329113924
C1	c8	213	0.0674050632911392
C1	c9	113	0.0357594936708861
C1	c10	286	0.090506329113924
C1	c11	294	0.0930379746835443
C1	c12	2	0.000632911392405063
C1	c13	8	0.00253164556962025
C1	c14	30	0.00949367088607595
C2	c1	95	0.0246753246753247
C2	c2	77	0.02
C2	c3	1401	0.363896103896104
C2	c4	73	0.018961038961039
C2	c5	344	0.0893506493506493
C2	c6	389	0.101038961038961
C2	c7	64	0.0166233766233766
C2	c8	93	0.0241558441558442
C2	c9	78	0.0202597402597403
C2	c10	616	0.16
C2	c11	577	0.14987012987013
C2	c13	24	0.00623376623376623
C2	c14	19	0.00493506493506494
C3	c1	303	0.0756365451822267
C3	c2	234	0.0584123814278582
C3	c3	1087	0.271342985521717
C3	c4	347	0.0866200698951573
C3	c5	322	0.0803794308537194
C3	c6	235	0.0586620069895157
C3	c7	168	0.0419370943584623
C3	c8	391	0.0976035946080879
C3	c9	106	0.0264603095356965
C3	c10	268	0.0668996505242137
C3	c11	476	0.118821767348977
C3	c12	39	0.00973539690464304
C3	c13	5	0.00124812780828757
C3	c14	25	0.00624063904143784
C4	c1	458	0.146606914212548
C4	c2	122	0.0390524967989757
C4	c3	83	0.0265685019206146
C4	c4	301	0.0963508322663252
C4	c5	402	0.128681177976953
C4	c6	358	0.114596670934699
C4	c7	180	0.057618437900128
C4	c8	173	0.0553777208706786
C4	c9	123	0.0393725992317542
C4	c10	561	0.179577464788732
C4	c11	321	0.102752880921895
C4	c12	16	0.00512163892445583
C4	c13	10	0.00320102432778489
C4	c14	16	0.00512163892445583
C5	c1	192	0.0496508921644686
C5	c2	143	0.0369795707266615
C5	c3	1875	0.484871993793638
C5	c4	62	0.0160331005947763
C5	c5	304	0.0786139125937419
C5	c6	332	0.0858546677010602
C5	c7	65	0.0168088957848461
C5	c8	167	0.0431859322472201
C5	c9	101	0.026118438065684
C5	c10	269	0.069562968709594
C5	c11	256	0.0662011895526248
C5	c12	13	0.00336177915696923
C5	c13	48	0.0124127230411171
C5	c14	40	0.0103439358675976
C6	c1	126	0.0440405452638937
C6	c2	333	0.116392869626005
C6	c3	33	0.011534428521496
C6	c4	87	0.0304089479203076
C6	c5	640	0.223698007689619
C6	c6	151	0.0527787486892695
C6	c7	70	0.0244669695910521
C6	c8	135	0.047186298497029
C6	c9	134	0.046836770360014
C6	c10	165	0.0576721426074799
C6	c11	229	0.0800419433764418
C6	c12	721	0.252009786787836
C6	c13	29	0.0101363159734359
C6	c14	8	0.00279622509612024
C7	c1	867	0.254103165298945
C7	c2	410	0.120164126611958
C7	c3	149	0.0436694021101993
C7	c4	115	0.033704572098476
C7	c5	312	0.0914419695193435
C7	c6	384	0.112543962485346
C7	c7	331	0.097010550996483
C7	c8	131	0.0383939038686987
C7	c9	34	0.00996483001172333
C7	c10	323	0.0946658851113716
C7	c11	311	0.0911488862837046
C7	c12	11	0.00322391559202814
C7	c13	31	0.00908558030480656
C7	c14	3	0.000879249706916764
C8	c1	312	0.0919811320754717
C8	c2	48	0.0141509433962264
C8	c3	298	0.0878537735849057
C8	c4	12	0.0035377358490566
C8	c5	248	0.0731132075471698
C8	c6	328	0.0966981132075472
C8	c7	102	0.0300707547169811
C8	c8	308	0.0908018867924528
C8	c9	170	0.0501179245283019
C8	c10	1095	0.322818396226415
C8	c11	416	0.122641509433962
C8	c13	9	0.00265330188679245
C8	c14	46	0.013561320754717
NC1	c1	790	0.286335628851033
NC1	c2	164	0.059441826748822
NC1	c3	5	0.00181225081551287
NC1	c4	179	0.0648785791953606
