Sample	cd8_subcluster	.n	.frac
C1	s1	56	0.0064822317397847
C1	s2	138	0.0271867612293144
C1	s3	192	0.0380047505938242
C1	s4	1366	0.404980729321079
C1	s5	26	0.011754068716094
C1	s6	209	0.0995238095238095
C1	s7	85	0.0681635926222935
C1	s8	11	0.0111675126903553
C1	s9	8	0.00883977900552486
C1	s10	28	0.0340632603406326
C1	s11	9	0.0135542168674699
C1	s12	1	0.00157977883096367
C1	s13	6	0.0153846153846154
C2	s1	82	0.00949183933325616
C2	s2	246	0.0484633569739953
C2	s3	55	0.0108867775138559
C2	s4	1367	0.405277201304477
C2	s5	33	0.0149186256781193
C2	s6	417	0.198571428571429
C2	s7	163	0.130713712910986
C2	s9	4	0.00441988950276243
C2	s10	56	0.0681265206812652
C2	s11	23	0.0346385542168675
C2	s12	1	0.00157977883096367
C2	s13	49	0.125641025641026
C3	s1	238	0.027549484894085
C3	s2	275	0.0541765169424744
C3	s3	324	0.0641330166270784
C3	s4	37	0.0109694633857101
C3	s5	59	0.0266726943942134
C3	s6	284	0.135238095238095
C3	s7	191	0.153167602245389
C3	s8	927	0.941116751269035
C3	s9	25	0.0276243093922652
C3	s10	36	0.0437956204379562
C3	s11	3	0.00451807228915663
C3	s12	1	0.00157977883096367
C3	s13	71	0.182051282051282
C4	s1	130	0.0150480379673573
C4	s2	258	0.0508274231678487
C4	s3	291	0.0576009501187648
C4	s4	57	0.0168989030536614
C4	s5	16	0.00723327305605787
C4	s6	228	0.108571428571429
C4	s7	93	0.07457898957498
C4	s8	5	0.0050761421319797
C4	s9	3	0.00331491712707182
C4	s10	104	0.126520681265207
C4	s11	6	0.00903614457831325
C4	s12	3	0.004739336492891
C4	s13	45	0.115384615384615
C5	s1	148	0.0171316124551453
C5	s2	224	0.0441292356185973
C5	s3	48	0.00950118764845606
C5	s4	154	0.0456566854432256
C5	s5	1720	0.777576853526221
C5	s6	147	0.07
C5	s7	112	0.0898155573376103
C5	s8	7	0.00710659898477157
C5	s9	12	0.0132596685082873
C5	s10	40	0.048661800486618
C5	s11	48	0.072289156626506
C5	s12	6	0.00947867298578199
C5	s13	22	0.0564102564102564
C6	s1	409	0.0473434425280704
C6	s2	489	0.0963356973995272
C6	s3	82	0.0162311955661124
C6	s4	18	0.00533649570115624
C6	s5	8	0.00361663652802893
C6	s6	132	0.0628571428571429
C6	s7	96	0.0769847634322374
C6	s8	5	0.0050761421319797
C6	s9	10	0.0110497237569061
C6	s10	59	0.0717761557177616
C6	s11	28	0.0421686746987952
C6	s12	1	0.00157977883096367
C6	s13	14	0.0358974358974359
C7	s1	424	0.049079754601227
C7	s2	263	0.051812450748621
C7	s3	112	0.0221694378463975
C7	s4	101	0.0299436703231545
C7	s5	12	0.0054249547920434
C7	s6	178	0.0847619047619048
C7	s7	131	0.105052125100241
C7	s8	18	0.0182741116751269
C7	s9	22	0.0243093922651934
C7	s10	29	0.0352798053527981
C7	s11	23	0.0346385542168675
C7	s12	1	0.00157977883096367
C7	s13	14	0.0358974358974359
C8	s1	56	0.0064822317397847
C8	s2	179	0.035263987391647
C8	s3	6	0.00118764845605701
C8	s4	205	0.0607767565965016
C8	s5	6	0.0027124773960217
C8	s6	301	0.143333333333333
C8	s7	113	0.0906174819566961
C8	s8	8	0.00812182741116751
C8	s9	4	0.00441988950276243
C8	s10	38	0.0462287104622871
C8	s11	8	0.0120481927710843
C8	s12	2	0.00315955766192733
C8	s13	105	0.269230769230769
NC1	s1	166	0.0192151869429332
NC1	s2	97	0.0191095350669819
NC1	s3	155	0.0306809184481394
NC1	s4	3	0.000889415950192707
NC1	s5	2	0.000904159132007233
NC1	s6	28	0.0133333333333333
NC1	s7	20	0.0160384923817161
NC1	s9	18	0.0198895027624309
NC1	s10	57	0.0693430656934307
NC1	s11	1	0.00150602409638554
NC1	s12	9	0.014218009478673
NC1	s13	3	0.00769230769230769
NC2	s1	304	0.0351892580159741
NC2	s2	368	0.0724980299448384
NC2	s3	348	0.0688836104513064
NC2	s4	3	0.000889415950192707
NC2	s5	3	0.00135623869801085
NC2	s6	12	0.00571428571428571
NC2	s7	32	0.0256615878107458
NC2	s9	137	0.151381215469613
NC2	s10	47	0.0571776155717762
NC2	s11	6	0.00903614457831325
NC2	s12	2	0.00315955766192733
NC2	s13	20	0.0512820512820513
NC3	s1	311	0.0359995369834472
NC3	s2	106	0.0208825847123719
NC3	s3	73	0.0144497228820269
NC3	s5	1	0.000452079566003617
NC3	s6	22	0.0104761904761905
NC3	s7	32	0.0256615878107458
NC3	s9	307	0.339226519337017
NC3	s10	10	0.0121654501216545
NC3	s11	31	0.0466867469879518
NC3	s12	2	0.00315955766192733
NC3	s13	3	0.00769230769230769
NC4	s1	917	0.106146544738974
NC4	s2	265	0.0522064617809299
NC4	s3	182	0.0360253365003959
NC4	s4	5	0.00148235991698784
NC4	s5	2	0.000904159132007233
NC4	s6	5	0.00238095238095238
NC4	s7	10	0.00801924619085806
NC4	s8	1	0.00101522842639594
