Sample	cd8_subcluster	.n	.frac
NC4	s9	10	0.0110497237569061
NC4	s10	35	0.0425790754257908
NC4	s11	18	0.0271084337349398
NC4	s12	4	0.00631911532385466
NC4	s13	8	0.0205128205128205
NC5	s1	762	0.0882046533163561
NC5	s2	201	0.0395981087470449
NC5	s3	200	0.0395882818685669
NC5	s4	1	0.000296471983397569
NC5	s5	22	0.00994575045207957
NC5	s6	24	0.0114285714285714
NC5	s7	33	0.0264635124298316
NC5	s9	2	0.00220994475138122
NC5	s10	42	0.0510948905109489
NC5	s11	33	0.0496987951807229
NC5	s12	3	0.004739336492891
NC5	s13	4	0.0102564102564103
NC6	s1	740	0.0856580622757264
NC6	s2	183	0.0360520094562648
NC6	s3	676	0.133808392715756
NC6	s4	25	0.00741179958493922
NC6	s5	10	0.00452079566003617
NC6	s6	45	0.0214285714285714
NC6	s7	20	0.0160384923817161
NC6	s8	1	0.00101522842639594
NC6	s9	14	0.0154696132596685
NC6	s10	37	0.0450121654501217
NC6	s11	82	0.123493975903614
NC6	s12	23	0.0363349131121643
NC6	s13	8	0.0205128205128205
CT1	s1	390	0.045144113902072
CT1	s2	186	0.0366430260047281
CT1	s3	255	0.0504750593824228
CT1	s4	4	0.00118588793359028
CT1	s5	8	0.00361663652802893
CT1	s6	18	0.00857142857142857
CT1	s7	11	0.00882117080994387
CT1	s8	1	0.00101522842639594
CT1	s9	66	0.0729281767955801
CT1	s10	28	0.0340632603406326
CT1	s11	46	0.0692771084337349
CT1	s12	526	0.830963665086888
CT2	s1	300	0.0347262414631323
CT2	s2	86	0.0169424743892829
CT2	s3	129	0.0255344418052257
CT2	s4	2	0.000592943966795138
CT2	s5	1	0.000452079566003617
CT2	s6	11	0.00523809523809524
CT2	s7	27	0.0216519647153168
CT2	s9	98	0.10828729281768
CT2	s10	10	0.0121654501216545
CT2	s11	67	0.100903614457831
CT2	s12	11	0.0173775671406003
CT2	s13	4	0.0102564102564103
CT3	s1	615	0.0711887949994212
CT3	s2	413	0.0813632781717888
CT3	s3	97	0.0192003167062549
CT3	s4	1	0.000296471983397569
CT3	s5	1	0.000452079566003617
CT3	s6	7	0.00333333333333333
CT3	s7	10	0.00801924619085806
CT3	s8	1	0.00101522842639594
CT3	s9	52	0.0574585635359116
CT3	s10	25	0.0304136253041363
CT3	s11	22	0.0331325301204819
CT3	s12	14	0.0221169036334913
CT3	s13	2	0.00512820512820513
CT4	s1	244	0.0282440097233476
CT4	s2	333	0.0656028368794326
CT4	s3	184	0.0364212193190816
CT4	s4	15	0.00444707975096353
CT4	s5	233	0.105334538878843
CT4	s6	7	0.00333333333333333
CT4	s7	5	0.00400962309542903
CT4	s9	6	0.00662983425414365
CT4	s10	40	0.048661800486618
CT4	s11	20	0.0301204819277108
CT4	s12	10	0.0157977883096366
CT4	s13	2	0.00512820512820513
CT5	s1	383	0.0443338349345989
CT5	s2	195	0.0384160756501182
CT5	s3	443	0.0876880443388757
CT5	s4	4	0.00118588793359028
CT5	s5	43	0.0194394213381555
CT5	s6	9	0.00428571428571429
CT5	s7	15	0.0120288692862871
CT5	s9	55	0.0607734806629834
CT5	s10	17	0.0206812652068127
CT5	s11	2	0.00301204819277108
CT5	s12	4	0.00631911532385466
CT5	s13	4	0.0102564102564103
CT6	s1	734	0.0849635374464637
CT6	s2	139	0.0273837667454689
CT6	s3	310	0.0613618368962787
CT6	s4	1	0.000296471983397569
CT6	s5	1	0.000452079566003617
CT6	s6	3	0.00142857142857143
CT6	s7	3	0.00240577385725742
CT6	s9	26	0.0287292817679558
CT6	s10	24	0.0291970802919708
CT6	s11	29	0.0436746987951807
CT6	s12	4	0.00631911532385466
CT6	s13	2	0.00512820512820513
CT7	s1	771	0.08924644056025
CT7	s2	299	0.0589046493301812
CT7	s3	704	0.139350752177356
CT7	s4	2	0.000592943966795138
CT7	s5	4	0.00180831826401447
CT7	s6	7	0.00333333333333333
CT7	s7	24	0.0192461908580593
CT7	s9	14	0.0154696132596685
CT7	s10	31	0.037712895377129
CT7	s11	7	0.0105421686746988
CT7	s12	2	0.00315955766192733
CT7	s13	4	0.0102564102564103
CT8	s1	459	0.0531311494385924
CT8	s2	133	0.0262017336485422
CT8	s3	186	0.0368171021377672
CT8	s4	2	0.000592943966795138
CT8	s5	1	0.000452079566003617
CT8	s6	6	0.00285714285714286
CT8	s7	21	0.0168404170008019
CT8	s9	12	0.0132596685082873
CT8	s10	29	0.0352798053527981
CT8	s11	152	0.228915662650602
CT8	s12	3	0.004739336492891
