Sample	treg_subcluster	.n	.frac
C1	s1	66	0.0501519756838906
C1	s2	25	0.0305250305250305
C1	s3	13	0.0265848670756646
C1	s4	12	0.0334261838440111
C2	s1	268	0.203647416413374
C2	s2	66	0.0805860805860806
C2	s3	16	0.032719836400818
C2	s4	6	0.0167130919220056
C2	s5	1	0.00306748466257669
C3	s1	89	0.067629179331307
C3	s2	41	0.0500610500610501
C3	s3	19	0.0388548057259714
C3	s4	8	0.0222841225626741
C3	s5	8	0.0245398773006135
C4	s1	163	0.123860182370821
C4	s2	59	0.072039072039072
C4	s3	22	0.0449897750511247
C4	s4	43	0.119777158774373
C4	s5	14	0.0429447852760736
C5	s1	151	0.114741641337386
C5	s2	104	0.126984126984127
C5	s3	18	0.0368098159509202
C5	s4	4	0.011142061281337
C5	s5	22	0.0674846625766871
C6	s1	52	0.0395136778115502
C6	s2	12	0.0146520146520147
C6	s3	8	0.016359918200409
C6	s4	6	0.0167130919220056
C6	s5	2	0.00613496932515337
C7	s1	63	0.0478723404255319
C7	s2	112	0.136752136752137
C7	s3	8	0.016359918200409
C7	s4	15	0.0417827298050139
C7	s5	29	0.0889570552147239
C8	s1	129	0.0980243161094225
C8	s2	76	0.0927960927960928
C8	s3	24	0.049079754601227
C8	s4	18	0.0501392757660167
C8	s5	1	0.00306748466257669
NC1	s1	31	0.0235562310030395
NC1	s2	30	0.0366300366300366
NC1	s3	55	0.112474437627812
NC1	s4	17	0.0473537604456825
NC1	s5	22	0.0674846625766871
NC2	s1	22	0.0167173252279635
NC2	s2	12	0.0146520146520147
NC2	s3	18	0.0368098159509202
NC2	s4	15	0.0417827298050139
NC2	s5	14	0.0429447852760736
NC3	s1	25	0.0189969604863222
NC3	s2	25	0.0305250305250305
NC3	s3	16	0.032719836400818
NC3	s4	20	0.0557103064066852
NC3	s5	7	0.0214723926380368
NC4	s1	14	0.0106382978723404
NC4	s2	19	0.0231990231990232
NC4	s3	6	0.0122699386503067
NC4	s4	17	0.0473537604456825
NC4	s5	8	0.0245398773006135
NC5	s1	19	0.0144376899696049
NC5	s2	15	0.0183150183150183
NC5	s3	19	0.0388548057259714
NC5	s4	11	0.0306406685236769
NC5	s5	30	0.0920245398773006
NC6	s1	31	0.0235562310030395
NC6	s2	28	0.0341880341880342
NC6	s3	25	0.0511247443762781
NC6	s4	5	0.0139275766016713
NC6	s5	17	0.0521472392638037
CT1	s1	13	0.00987841945288754
CT1	s2	20	0.0244200244200244
CT1	s3	36	0.0736196319018405
CT1	s4	13	0.0362116991643454
CT1	s5	20	0.0613496932515337
CT2	s1	47	0.0357142857142857
CT2	s2	31	0.0378510378510378
CT2	s3	40	0.081799591002045
CT2	s4	30	0.0835654596100279
CT2	s5	17	0.0521472392638037
CT3	s1	11	0.00835866261398176
CT3	s2	12	0.0146520146520147
CT3	s3	9	0.0184049079754601
CT3	s4	14	0.0389972144846797
CT3	s5	13	0.0398773006134969
CT4	s1	39	0.0296352583586626
CT4	s2	49	0.0598290598290598
CT4	s3	64	0.130879345603272
CT4	s4	27	0.0752089136490251
CT4	s5	31	0.0950920245398773
CT5	s1	26	0.0197568389057751
CT5	s2	39	0.0476190476190476
CT5	s3	18	0.0368098159509202
CT5	s4	28	0.0779944289693593
CT5	s5	42	0.128834355828221
CT6	s1	13	0.00987841945288754
CT6	s2	16	0.0195360195360195
CT6	s3	11	0.0224948875255624
CT6	s4	21	0.0584958217270195
CT6	s5	9	0.0276073619631902
CT7	s1	18	0.013677811550152
CT7	s2	10	0.0122100122100122
CT7	s3	11	0.0224948875255624
CT7	s4	11	0.0306406685236769
CT7	s5	6	0.0184049079754601
CT8	s1	26	0.0197568389057751
CT8	s2	18	0.021978021978022
CT8	s3	33	0.0674846625766871
CT8	s4	18	0.0501392757660167
CT8	s5	13	0.0398773006134969
