s1	s2	s3	s4	s5	s6	s7	s8	s9
Colitis	0.222984174830445	0.0870384325546345	0.173926149208742	0.299623210248681	0.0643556895252449	0.0585531273549359	0.0456669178598342	0.0360964581763376	0.0117558402411454
Control	0.435844614479105	0.145306062389641	0.105723955267805	0.0136109476162449	0.145232489699823	0.0727633902295468	0.0531194820482637	0.025088287227781	0.00331077104178929
NoColitis	0.493531168008685	0.170813353840586	0.0820591694562562	0.017823215416629	0.11661992219307	0.0607075002261829	0.0256943816158509	0.0300370940016285	0.00271419524111101
