Diagnosis	Sample	cd4_subcluster	.n	.frac
Colitis	C1	s1	170	0.0538144982589427
Colitis	C1	s2	50	0.0158277936055714
Colitis	C1	s3	161	0.0509654954099399
Colitis	C1	s4	327	0.103513770180437
Colitis	C1	s5	111	0.0351377018043685
Colitis	C1	s6	147	0.0465337132003799
Colitis	C1	s7	44	0.0139284583729028
Colitis	C1	s8	34	0.0107628996517885
Colitis	C1	s9	16	0.00506489395378284
Colitis	C1	NA	2099	0.664450775561887
Colitis	C2	s1	88	0.0228571428571429
Colitis	C2	s2	56	0.0145454545454545
Colitis	C2	s3	399	0.103636363636364
Colitis	C2	s4	645	0.167532467532468
Colitis	C2	s5	75	0.0194805194805195
Colitis	C2	s6	51	0.0132467532467532
Colitis	C2	s7	28	0.00727272727272727
Colitis	C2	s8	62	0.0161038961038961
Colitis	C2	s9	20	0.00519480519480519
Colitis	C2	NA	2426	0.63012987012987
Colitis	C3	s1	298	0.0744069912609238
Colitis	C3	s2	181	0.0451935081148564
Colitis	C3	s3	229	0.0571785268414482
Colitis	C3	s4	218	0.0544319600499376
Colitis	C3	s5	106	0.0264669163545568
Colitis	C3	s6	210	0.052434456928839
Colitis	C3	s7	167	0.0416978776529338
Colitis	C3	s8	53	0.0132334581772784
Colitis	C3	s9	24	0.00599250936329588
Colitis	C3	NA	2519	0.62896379525593
Colitis	C4	s1	454	0.145326504481434
Colitis	C4	s2	200	0.0640204865556978
Colitis	C4	s3	346	0.110755441741357
Colitis	C4	s4	593	0.189820742637644
Colitis	C4	s5	119	0.0380921895006402
Colitis	C4	s6	37	0.0118437900128041
Colitis	C4	s7	88	0.028169014084507
Colitis	C4	s8	122	0.0390524967989757
Colitis	C4	s9	10	0.00320102432778489
Colitis	C4	NA	1155	0.369718309859155
Colitis	C5	s1	182	0.0470405789609718
Colitis	C5	s2	70	0.0180925303696045
Colitis	C5	s3	322	0.0832256397001809
Colitis	C5	s4	347	0.0896872576893254
Colitis	C5	s5	89	0.0230033600413544
Colitis	C5	s6	40	0.0103385887826312
Colitis	C5	s7	95	0.024554148358749
Colitis	C5	s8	42	0.0108555182217627
Colitis	C5	s9	35	0.00904626518480227
Colitis	C5	NA	2647	0.684156112690618
Colitis	C6	s1	663	0.231737154840965
Colitis	C6	s2	173	0.0604683677036001
Colitis	C6	s3	151	0.0527787486892695
Colitis	C6	s4	225	0.0786438308283817
Colitis	C6	s5	154	0.0538273331003146
Colitis	C6	s6	75	0.0262146102761272
Colitis	C6	s7	44	0.0153792380286613
Colitis	C6	s8	59	0.0206221600838868
Colitis	C6	s9	9	0.00314575323313527
Colitis	C6	NA	1308	0.457182803215659
Colitis	C7	s1	827	0.242450894165934
Colitis	C7	s2	317	0.0929346232776312
