s1	s2	s3	s4	s5	s6	s7	s8	s9	NA
Colitis	0.106935058364353	0.0417404502909183	0.083408622745835	0.143688337971161	0.030862635972679	0.0280799392866178	0.0219001843084818	0.0173105417223808	0.00563767120812403	0.52043655812945
Control	0.25263337455755	0.084225340099791	0.0612819309991897	0.00788946223719562	0.0841826943579684	0.0421766386626295	0.0307902255959742	0.0145421979615335	0.00191905838202056	0.420359077146147
NoColitis	0.298724056732928	0.10338973769235	0.0496686928426702	0.0107880181808225	0.0705875910410164	0.0367449756311264	0.0155522698647391	0.0181808225179344	0.00164284540824708	0.394720990088166
