c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15
Colitis	0.107983086986376	0.053774709985183	0.234035632973149	0.0437642296989628	0.0778070904557118	0.0419572837989231	0.0861913194318962	0.0640743016154096	0.0305373857106718	0.127967908640815	0.102236999024249	0.0155035958223411	0.00560153229012323	0.00321636370207076	0.00534855986411767
Control	0.256343554096124	0.17860036675338	0.0016205381892618	0.137788391829076	0.0790652053392469	0.0826900933941746	0.0679346667235277	0.0772740841826944	0.0828180306196426	0.00298520192758753	0.00409399121497718	0.00767623352808222	0.0149686553797603	0.00422192844044522	0.00191905838202056
NoColitis	0.300750232736433	0.17852253436285	0.00268331416680357	0.115601555226986	0.070970921636274	0.103499260719566	0.0548162751218444	0.0550353211762773	0.0693280762280269	0.00717375828267893	0.00980231093587427	0.0131427632659767	0.0106237336399978	0.0065166201193801	0.00153332238103061
