p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	14.4649735398591	0.467	0	0	TCL1A	c20
0	14.0861465849233	0.133	0	0	AC133065.1	c20
0	13.6726246096927	0.089	0	0	AL928742.1	c20
0	13.4865932103671	0.8	0	0	VPREB3	c20
0	13.0077539211502	0.111	0	0	GUCY2C	c20
0	12.8858325899651	0.333	0	0	PAX5	c20
0	12.7862318488723	0.889	0.001	0	CD19	c20
0	12.7460686815188	0.533	0	0	LINC02397	c20
0	12.7453822675944	0.133	0	0	AL161781.2	c20
0	12.3863617808305	0.044	0	0	GALNTL6	c20
0	12.230271021766	0.644	0.001	0	FCRLA	c20
0	12.1361750789355	0.044	0	0	ESPNL	c20
0	12.0970920244756	0.178	0	0	FAM177B	c20
0	12.0477803000809	0.044	0	0	CNTNAP2	c20
0	11.939233129608	0.511	0	0	TLR10	c20
0	11.8963915580195	0.044	0	0	AC068898.1	c20
0	11.8209256532855	0.644	0	0	CD22	c20
0	11.7767744336649	0.933	0.001	0	BANK1	c20
0	11.6972794284967	0.111	0	0	KLHL14	c20
0	11.5912093092337	0.333	0	0	CD1C	c20
0	11.3840564022991	0.156	0	0	CNR1	c20
0	11.2316953124625	0.067	0	0	ZNF860	c20
0	11.1285557436767	0.6	0.001	0	FCER2	c20
0	11.109078764814	0.244	0	0	LINC01857	c20
0	11.0718440653052	0.378	0	0	CLEC17A	c20
0	11.0285710587766	0.4	0	0	IGHV5-78	c20
0	10.8961484690063	0.089	0	0	AL139020.1	c20
0	10.7799321416905	0.222	0	0	LINC01781	c20
0	10.6800586579478	0.044	0	0	KCNH8	c20
0	10.580516638405	0.311	0	0	EBF1	c20
0	10.5704775320661	0.444	0	0	BCL11A	c20
0	10.5056871047312	0.689	0.001	0	LINC00926	c20
0	10.4265761246196	0.156	0	0	KHDRBS2	c20
0	10.3935268962582	0.222	0	0	COL19A1	c20
0	10.3847010271929	0.156	0	0	MEF2C-AS1	c20
0	10.3537432082336	0.133	0	0	IL6	c20
0	10.0168574456432	0.089	0	0	MACROD2	c20
0	9.62449264153239	0.333	0.001	0	IGHD	c20
0	9.57815321272186	0.333	0.001	0	GAPT	c20
0	9.5475594544638	0.644	0.002	0	SPIB	c20
0	9.3304429030971	0.2	0	0	ABCB4	c20
0	9.3231134695308	0.578	0.001	0	FAM129C	c20
0	9.28502774530483	0.311	0.002	0	PNOC	c20
0	9.26714183453028	0.622	0.001	0	CD24	c20
0	9.21733282741227	0.489	0.002	0	CD180	c20
0	9.16483131237966	0.578	0.003	0	BTK	c20
0	8.90311050793224	0.511	0.002	0	ARHGAP24	c20
0	8.89682821906521	0.444	0.001	0	RUBCNL	c20
0	8.56826431441722	0.222	0.001	0	BHLHE41	c20
0	8.49556067553353	0.556	0.004	0	BLNK	c20
0	8.37387646307355	0.867	0.007	0	MEF2C	c20
0	8.30549608049081	0.2	0.001	0	PLD4	c20
0	8.23073417450121	1	0.017	0	MS4A1	c20
0	8.15373417771962	0.489	0.005	0	TSPAN13	c20
0	8.08442873197523	0.378	0.002	0	SCIMP	c20
0	7.81172946310341	0.222	0.001	0	KYNU	c20
0	7.79317432275696	0.356	0.003	0	FAM30A	c20
0	7.74570479393699	0.467	0.004	0	HLA-DOB	c20
0	7.73724702974537	0.667	0.005	0	LY86	c20
0	7.73354761384699	0.444	0.003	0	MARCH1	c20
0	7.65695792146426	0.533	0.006	0	TCF4	c20
0	7.51512880979922	0.467	0.004	0	SYK	c20
0	7.37282052428773	0.444	0.005	0	BASP1	c20
0	7.26892580979444	0.6	0.006	0	PKIG	c20
0	6.99265336644796	0.467	0.006	0	CR2	c20
0	6.73718764334887	0.733	0.016	0	RALGPS2	c20
0	6.55144699033883	0.644	0.004	0	CYBB	c20
0	6.27743917889866	0.644	0.012	0	IGHM	c20
0	5.79587187669893	0.533	0.005	0	SPI1	c20
0	2.94729073880416	0.133	0	0	IGHG2	c20
4.69684317641629e-303	8.54745054767902	0.178	0.001	1.5752272645065e-298	WDFY4	c20
2.57547742140835e-298	8.58474765340829	0.222	0.001	8.63763617591933e-294	CD1D	c20
3.11599648998501e-293	7.48430396213798	1	0.034	1.04504290281117e-288	CD79A	c20
5.09954543770367e-287	7.48713611327746	0.289	0.003	1.71028554889706e-282	PHACTR1	c20
8.3214631096284e-284	1.7898389917432	0.067	0	2.79085229770717e-279	IGKV2-29	c20
2.3160849802958e-274	8.29458214992206	0.2	0.001	7.76768580691605e-270	CBFA2T3	c20
8.35524036907724e-269	8.62724045282863	0.089	0	2.80218051498113e-264	SLC45A3	c20
9.07705352498914e-269	8.05124021369111	0.089	0	3.04426221121086e-264	DSP	c20
1.01036720407013e-263	8.41039524093557	0.222	0.002	3.3885695290104e-259	COBLL1	c20
3.37975046942565e-257	7.1410158267056	0.289	0.003	1.13350071243597e-252	CNR2	c20
3.32463133517092e-253	14.1972838243384	0.022	0	1.11501485718962e-248	IGHVIII-2-1	c20
3.32463133517092e-253	12.8944265317275	0.022	0	1.11501485718962e-248	KRTAP4-11	c20
3.32463133517092e-253	12.0702814552396	0.022	0	1.11501485718962e-248	AC008539.1	c20
3.32463133517092e-253	11.9426191393974	0.022	0	1.11501485718962e-248	AC018755.2	c20
3.32463133517092e-253	11.8430428291326	0.022	0	1.11501485718962e-248	LINC02161	c20
3.32463133517092e-253	11.8430428291326	0.022	0	1.11501485718962e-248	SYN3	c20
3.32463133517092e-253	11.8113797252276	0.022	0	1.11501485718962e-248	LINC01685	c20
3.32463133517092e-253	11.6536831761361	0.022	0	1.11501485718962e-248	TREML4	c20
3.32463133517092e-253	11.637165651045	0.022	0	1.11501485718962e-248	RGS7	c20
3.32463133517092e-253	11.6292953351133	0.022	0	1.11501485718962e-248	LINC00635	c20
3.32463133517092e-253	11.6118011722742	0.022	0	1.11501485718962e-248	GABBR2	c20
