Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Intestinal immune network for IgA production	21/48	3.23183067225357e-18	7.82103022685363e-16	21.4228262597361	862.771827589944	HLA-DRB5;TNFSF13;IL6;HLA-DQB1;HLA-DRA;HLA-DPB1;HLA-DRB1;CD86;CD40;TNFRSF13C;TNFRSF13B;HLA-DMB;CXCR4;HLA-DPA1;TNFRSF17;HLA-DOB;HLA-DMA;HLA-DQA2;HLA-DOA;HLA-DQA1;ICOSLG	1	KEGG_2021_Human
Hematopoietic cell lineage	26/99	8.08711417595251e-16	9.78540815290254e-14	9.85713157790849	342.54606202646	HLA-DOB;HLA-DOA;HLA-DRB5;HLA-DRB1;CD1D;CD1C;CD1A;CD19;IL6;HLA-DQB1;HLA-DRA;CD24;FCER2;MS4A1;CD22;CD37;HLA-DQA2;HLA-DQA1;CR1;CR2;MME;HLA-DPB1;HLA-DMB;HLA-DPA1;HLA-DMA;CD55	2	KEGG_2021_Human
Ribosome	27/158	1.51526415720821e-11	9.485418856253e-10	5.69515217606821	141.882450464277	RPS8;RPS9;RPS6;RPS7;RPSA;FAU;RPL26;RPL22L1;RPL29;RPL11;RPL13;RPL12;RPL15;RPS5;RPL19;RPL18;RPS23;RPL5;RPL3;RPL8;RPS18;RPS10;RPS11;RPS3A;RPL23A;RPL10A;RPL18A	3	KEGG_2021_Human
Asthma	13/31	1.73747735169702e-11	9.485418856253e-10	19.6767248153387	487.510568647153	HLA-DRB5;HLA-DQB1;HLA-DRA;HLA-DPB1;HLA-DRB1;CD40;HLA-DMB;HLA-DPA1;HLA-DOB;HLA-DMA;HLA-DQA2;HLA-DOA;HLA-DQA1	4	KEGG_2021_Human
Leishmaniasis	19/77	2.10052511218798e-11	9.485418856253e-10	8.98268483447292	220.850522939194	TGFB2;HLA-DQB1;HLA-DRA;NCF1;HLA-DOB;HLA-DQA2;HLA-DOA;HLA-DQA1;CR1;MARCKSL1;HLA-DRB5;IFNGR2;CYBB;HLA-DPB1;HLA-DRB1;NCF4;HLA-DMB;HLA-DPA1;HLA-DMA	5	KEGG_2021_Human
Allograft rejection	14/38	2.35175674121975e-11	9.485418856253e-10	15.9102927289896	389.376944221974	HLA-DRB5;HLA-DQB1;HLA-DRA;HLA-DPB1;HLA-DRB1;CD86;CD40;HLA-DMB;HLA-DPA1;HLA-DOB;HLA-DMA;HLA-DQA2;HLA-DOA;HLA-DQA1	6	KEGG_2021_Human
Coronavirus disease	32/232	7.16966913302875e-11	2.47865704313280e-09	4.43720930232558	103.646893003256	RPL26;RPL22L1;RPL29;RPL11;RPL13;RPL12;RPL15;RPL19;RPL18;RPS23;RPL5;RPL3;RPL8;RPS18;RPS10;PLCG2;RPS11;TLR7;SYK;RPL18A;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;RPS5;CYBB;RPS3A;IL6;RPL23A;RPL10A	7	KEGG_2021_Human
Graft-versus-host disease	14/42	1.12472420017727e-10	3.40229070553625e-09	13.6345609065156	312.344789951209	HLA-DRB5;IL6;HLA-DQB1;HLA-DRA;HLA-DPB1;HLA-DRB1;CD86;HLA-DMB;HLA-DPA1;HLA-DOB;HLA-DMA;HLA-DQA2;HLA-DOA;HLA-DQA1	8	KEGG_2021_Human
Viral myocarditis	16/60	2.30292723757989e-10	6.19231546104816e-09	9.93595041322314	220.495331755001	HLA-DQB1;HLA-DRA;CD86;CD40;HLA-DOB;HLA-DQA2;HLA-DOA;HLA-DQA1;HLA-DRB5;HLA-DPB1;HLA-DRB1;HLA-DMB;SGCA;HLA-DPA1;HLA-DMA;CD55	9	KEGG_2021_Human
B cell receptor signaling pathway	18/81	4.55867137677733e-10	1.10319847318011e-08	7.82132682132682	168.227508521148	LYN;CD72;VAV2;FCGR2B;CD22;BLNK;CR2;SYK;BTK;GRB2;PIK3AP1;RASGRP3;LILRA4;DAPP1;CD79B;CD79A;CD19;PLCG2	10	KEGG_2021_Human
Inflammatory bowel disease	16/65	8.43323453288794e-10	1.85531159723535e-08	8.91975881261595	186.366501912891	TGFB2;IL6;HLA-DQB1;HLA-DRA;HLA-DOB;HLA-DQA2;HLA-DOA;HLA-DQA1;SMAD3;HLA-DRB5;IFNGR2;HLA-DPB1;HLA-DRB1;HLA-DMB;HLA-DPA1;HLA-DMA	11	KEGG_2021_Human
Type I diabetes mellitus	13/43	2.06650904052926e-09	4.16745989840067e-08	11.7986798679868	235.942981050107	HLA-DRB5;HLA-DQB1;HLA-DRA;HLA-DPB1;HLA-DRB1;CD86;HLA-DMB;HLA-DPA1;HLA-DOB;HLA-DMA;HLA-DQA2;HLA-DOA;HLA-DQA1	12	KEGG_2021_Human
Autoimmune thyroid disease	14/53	3.54250244192462e-09	6.5945045457366e-08	9.78332243771337	190.368118840138	HLA-DQB1;HLA-DRA;CD86;CD40;HLA-DOB;HLA-DQA2;HLA-DOA;HLA-DQA1;HLA-DRB5;HLA-DPB1;HLA-DRB1;HLA-DMB;HLA-DPA1;HLA-DMA	13	KEGG_2021_Human
Tuberculosis	25/180	7.48958608715516e-09	1.29462845220825e-07	4.43838477605013	83.0410797853322	CD74;TGFB2;HLA-DOB;HLA-DOA;HLA-DRB5;HLA-DRB1;TLR1;FCGR2B;IL6;HLA-DQB1;HLA-DRA;TLR9;TLR6;CIITA;HLA-DQA2;CAMP;HLA-DQA1;CR1;IFNGR2;SYK;HLA-DPB1;HLA-DMB;HLA-DPA1;ITGAX;HLA-DMA	14	KEGG_2021_Human
Rheumatoid arthritis	17/93	3.17564947831607e-08	5.12338115834993e-07	6.11042898854533	105.497586537084	TGFB2;IL6;HLA-DQB1;HLA-DRA;CD86;HLA-DOB;HLA-DQA2;HLA-DOA;HLA-DQA1;HLA-DRB5;TNFSF13;LTB;HLA-DPB1;HLA-DRB1;HLA-DMB;HLA-DPA1;HLA-DMA	15	KEGG_2021_Human
Toxoplasmosis	18/112	9.96498909541508e-08	1.44339051470765e-06	5.23349699945445	84.3723603228283	TGFB2;ALOX5;HLA-DOB;HLA-DOA;HLA-DRB5;HLA-DRB1;HLA-DQB1;HLA-DRA;CD40;LAMC3;CIITA;HLA-DQA2;HLA-DQA1;IFNGR2;HLA-DPB1;HLA-DMB;HLA-DPA1;HLA-DMA	16	KEGG_2021_Human
Antigen processing and presentation	15/78	1.01395201446405e-07	1.44339051470765e-06	6.49003714961162	104.517116320063	CD74;HLA-DQB1;HLA-DRA;HLA-DOB;CIITA;HLA-DQA2;HLA-DOA;HLA-DQA1;HLA-DRB5;HLA-DPB1;HLA-DRB1;IFI30;HLA-DMB;HLA-DPA1;HLA-DMA	17	KEGG_2021_Human
Cell adhesion molecules	19/148	1.59439240939643e-06	2.14357201707743e-05	4.02380873392385	53.7138945290284	CD86;HLA-DOB;HLA-DOA;HLA-DRB5;SELL;ESAM;HLA-DRB1;HLA-DQB1;HLA-DRA;CD22;CNTNAP2;CD40;HLA-DQA2;HLA-DQA1;HLA-DPB1;HLA-DMB;HLA-DPA1;HLA-DMA;ICOSLG	18	KEGG_2021_Human
Epstein-Barr virus infection	22/202	4.02674655239452e-06	5.12880350357618e-05	3.34447628143903	41.5469299007222	HLA-DRB5;BTK;HLA-DRB1;CD19;PLCG2;LYN;HLA-DQB1;FCER2;CD40;HLA-DQA2;HLA-DQA1;SYK;HLA-DPB1;HLA-DMB;HLA-DPA1;HLA-DMA;HLA-DOB;HLA-DOA;IL6;HLA-DRA;BLNK;CR2	19	KEGG_2021_Human
Th17 cell differentiation	15/107	6.65598069222941e-06	8.05373663759758e-05	4.43755781683626	52.8956659028355	HLA-DOB;HLA-DOA;SMAD3;HLA-DRB5;HLA-DRB1;IL6;HLA-DQB1;HLA-DRA;HLA-DQA2;HLA-DQA1;IFNGR2;HLA-DPB1;HLA-DMB;HLA-DPA1;HLA-DMA	20	KEGG_2021_Human
Staphylococcus aureus infection	14/95	7.44724832305533e-06	8.58206711513996e-05	4.70020634421012	55.4984663916315	FCGR2B;HLA-DQB1;HLA-DRA;HLA-DOB;HLA-DQA2;CAMP;HLA-DOA;HLA-DQA1;HLA-DRB5;HLA-DPB1;HLA-DRB1;HLA-DMB;HLA-DPA1;HLA-DMA	21	KEGG_2021_Human
Phagosome	18/152	9.42594348651783e-06	0.000103685378351696	3.66360505166475	42.3954015124906	NCF1;STX7;HLA-DOB;HLA-DOA;HLA-DRB5;CYBB;HLA-DRB1;NCF4;FCGR2B;HLA-DQB1;HLA-DRA;TLR6;HLA-DQA2;HLA-DQA1;HLA-DPB1;HLA-DMB;HLA-DPA1;HLA-DMA	22	KEGG_2021_Human
Th1 and Th2 cell differentiation	13/92	2.48898820141355e-05	0.000261884845540034	4.46910640431132	47.3772167911943	HLA-DQB1;HLA-DRA;HLA-DOB;HLA-DQA2;HLA-DOA;HLA-DQA1;HLA-DRB5;IFNGR2;HLA-DPB1;HLA-DRB1;HLA-DMB;HLA-DPA1;HLA-DMA	23	KEGG_2021_Human
Primary immunodeficiency	8/38	5.08949080288547e-05	0.000513190322624285	7.20973782771536	71.2736489903197	BTK;CD40;TNFRSF13C;TNFRSF13B;CD79A;CD19;BLNK;CIITA	24	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	20/219	0.000135134468512578	0.00130810165520176	2.73955491744436	24.4073528340567	HLA-DRB5;HLA-DRB1;SPI1;KAT2A;HLA-DQB1;CD40;HLA-DQA2;HLA-DQA1;HLA-DPB1;TNFRSF13C;HLA-DMB;HLA-DPA1;HLA-DMA;MAP3K1;TGFB2;HLA-DOB;HLA-DOA;SMAD3;IL6;HLA-DRA	25	KEGG_2021_Human
Systemic lupus erythematosus	14/135	0.000370501215128985	0.00344851131004671	3.13986374171798	24.8069765077759	CD86;HLA-DOB;HLA-DOA;HLA-DRB5;HLA-DRB1;HLA-DQB1;HLA-DRA;CD40;HLA-DQA2;HLA-DQA1;HLA-DPB1;HLA-DMB;HLA-DPA1;HLA-DMA	26	KEGG_2021_Human
Influenza A	16/172	0.000500270059684874	0.00448390201643479	2.78613053613054	21.1756020078619	HLA-DOB;HLA-DOA;HLA-DRB5;HLA-DRB1;IL6;HLA-DQB1;HLA-DRA;TLR7;CIITA;HLA-DQA2;HLA-DQA1;IFNGR2;HLA-DPB1;HLA-DMB;HLA-DPA1;HLA-DMA	27	KEGG_2021_Human
Osteoclast differentiation	12/127	0.00212738461256079	0.0183866812942754	2.82461311717023	17.3794545301669	TGFB2;NCF1;BTK;GRB2;SPI1;NCF4;PLCG2;FCGR2B;BLNK;IFNGR2;SYK;LILRA4	28	KEGG_2021_Human
Fc gamma R-mediated phagocytosis	10/97	0.0025769606128595	0.0215042920107586	3.10717176622956	18.5223002935148	MARCKS;NCF1;PLPP3;PLCG2;LYN;VAV2;FCGR2B;MARCKSL1;SYK;HCK	29	KEGG_2021_Human
